PeT,fepmbkvmmw,iqqsunlrtc
ulgiddspyu,pkwvoleork,cat
dog,pwmzdqbxyd,-478
751,-989,tccfmfnuhv
DoG,696,31
cAt,-0.285,mbzdcnooag
CaT,DoG,0.248
doG,0.373,jjctiwyiwb
-0.195,-0.2075,270
dOG,yqecppvjqe,ibqxieszri
cAt,0.448,490
dOG,0.385,-665
doG,sbgfspplhl,uymftmbpfo
DOg,-313,Dog
dog,0.001,bbtdmdozum
cAT,915,jfcxrqtpyd
cAt,cat,lxsgkptdfg
dvotbhdiar,dog,hzsplbvnah
cAt,-799,-0.139
olhiiaacho,-0.374,-724
CaT,698,-207
DOG,428,869
zjvtucsdhn,0.3425,0.2195
Dog,-116,stqogyiavi
DOG,-0.0935,dog
DoG,56,bsddrixfdq
Cat,uueizldpze,dhidezdkey
dOg,DOG,0.398
DoG,jnomemjcbh,-0.39
DOg,-357,-143
CAt,849,-0.2085
dog,603,0.219
cylcwdyjez,864,crjurkqxwj
dOG,-0.314,-0.3985
0.237,knfbdefrmm,884
DoG,0.2385,-875
Cat,byogluqjjx,248
wyimspukxq,0.007,niuwwpppky
DOG,-592,0.057
DOg,xgaccbsslu,cAT
cAT,-0.327,-0.08
dOG,copgwuibay,wfsvsvougo
doG,Dog,ltsajzhkrb
DoG,hzxgqelivp,71
