PET,otvnmdsqst,vwlahvcpmv,wznxuistil,rbkaqxzxaj,kivghexktg
-0.139,578,dpqszwtouy,swauhqensc,0.286,0.0935
CAt,-0.03,fuardyhxcw,nkokesqofx,piboedvmje,-0.3155
-903,0.3375,-0.225,CAt,ptzswqbndr,804
cAt,-323,820,sspjvekdzh,sbggfilmya,-0.388
CaT,dog,0.4235,CaT,0.456,0.1615
DOg,0.1985,CAT,bwujwubazi,irxsakamgt,tecuyeunuo
dog,628,DoG,-0.456,ckmeumakrp,-0.1875
DoG,anjxyppbwn,-0.315,564,odmsxzxhis,dog
dOG,-158,-617,-493,jteawcnbda,dOg
caT,Dog,-350,-661,0.4045,852
cAt,0.2615,cat,-122,0.251,0.447
caT,0.2015,bjvjxzprwl,941,btitrqnsev,jturnmrhum
DoG,fosdbbiweu,0.213,elopcnivyl,-469,jefbqwgdxw
jywkwztqlp,aqstyqpyrk,vcgbamoena,rzjjegwpkn,806,doG
Cat,0.2195,587,0.441,0.437,vsasdbpxwp
CaT,0.376,CAT,natbedwftn,cat,593
DOg,opewtrgngk,pdwxrzswqv,-502,-808,wrayffsasv
Cat,ajkcewyukt,hkqoywejtf,mwaqvshvid,645,340
caT,-682,cAT,0.343,-0.3235,bahqcctvtb
xblobhhiir,ffadnwtwqx,-0.166,-0.3365,-0.4145,ycpwsnwaes
Cat,425,-744,sunxxopqag,-0.1045,-240
dog,-519,-466,gqdfuqcmjd,0.17,bxxgupraik
cAt,551,-0.4885,-0.4285,rrdiksmqvl,cAt
xjpqnedbhs,dOG,-0.415,dOG,lhsjelwsqz,-217
CAT,-35,0.094,smkttjyhiz,-61,zckjwevraa
CaT,0.4705,Cat,0.3385,Cat,-604
cAt,-0.237,-763,DoG,qgdoczmnwr,-0.0805
-20,0.4205,-787,-948,caT,0.05
DoG,iqdsqfmfal,179,DOg,561,-909
DOg,0.1125,qllevlxjzm,-0.2345,258,-0.321
Cat,DOg,207,589,wcbwgtorwr,CAt
caT,ijwbdlmkib,-810,-579,-0.495,646
DOg,0.425,-120,841,0.2205,Cat
dog,woyuhgmoqq,-404,-0.1055,cvxyjkratm,fzecuxcvgn
CaT,-0.1855,828,69,-351,-0.4915
doG,374,dcaddfjwsu,-986,634,109
emphnyepws,704,-0.227,443,186,0.302
wokpvwkplv,-885,rrcynmtcer,0.4775,aiisjyuijg,-0.2825
cat,-0.2685,ibigytkpao,qkzfigjjlk,0.298,-0.49
dOG,-0.4805,56,cAT,0.132,wbzvvfcfwl
CAt,0.422,-0.3805,-103,ieidlcjypd,-801
DoG,0.371,18,CAt,0.2685,eewezofhmp
Cat,-311,-353,jysafxfnly,doG,0.299
DOG,wnmwempovq,-293,bikebfdcid,jpkkjslhks,-12
310,optzozcdur,jiljqgstos,qhexinnofw,DOG,dog
-57,vmejvcydkr,-0.257,cat,khkfzgftij,-0.4315
781,caT,-0.229,kmsvsjbscr,0.041,-776
dOg,-610,-0.038,wyrxqougcy,588,svremibxzx
cAT,304,-0.4545,-4,-0.334,-930
dOG,-0.454,0.003,Cat,Dog,tfbtqkrgjx
0.4415,nhgbeftwvm,cneifbnlsl,plilxdkbxs,-936,-0.0495
Dog,brwizpnkwv,tiftzomeik,-0.279,0.112,dOg
0.0365,0.4115,-831,-0.3825,dOG,caT
-0.477,qvojodvzbe,0.378,-893,ftmjqaikln,yxruslkrbp
