xkudmgcarp,usbplkjono,mkvgaecvjc,fgfqrcozmk,qigovqdind,etihjuokap,upodgtxdfa
tlvwkxkdss,DOg,0.0525,0.21,0.133,CAT,vnmqzuvfeh
-0.154,0.1705,-588,-0.343,0.1445,-53,qbjlbtdlvd
vqaiphnrwn,0.306,-166,-0.2485,-0.1945,mrcanrhqzl,-0.2315
ruekgaefot,-366,-0.1065,-0.285,198,858,-170
689,qkjqznytai,0.17,nnntmexrtu,-0.391,0.1995,aazdflsmbt
-0.439,0.237,DoG,0.036,-580,cAT,-0.4545
-0.0605,xpfvfjfmck,uhvnpgusks,-0.1205,0.1825,-14,984
rtxttqtusa,0.018,DoG,-122,-352,-0.2715,zmlmwmrkzj
dOg,615,agoxkbkwtv,rwlppjanlf,0.0185,-548,befxjlbtsj
-77,-0.379,0.195,0.4435,ljbvhfnfgg,26,iorhcunxkd
-0.398,nhevdvotqu,xochllxrwl,500,njffmekckm,301,0.1015
841,0.2585,xxwbkhpjfa,-224,-0.1945,-0.196,0.095
-374,lyqsftzzbq,ozjqybqmwd,186,0.0615,teyxzxxtgh,dOg
Cat,-0.098,fvvvesggbg,dOg,-0.2905,0.436,-397
-0.1565,0.285,-589,cat,cAT,-0.191,843
tvbymyxflk,-0.097,0.0765,-972,-330,dog,-0.4155
baugharsre,-423,DOg,cat,0.2125,0.184,xtexaisrjk
-0.233,CAt,-563,848,831,390,0.0845
0.156,683,-436,ofyzboyind,CAt,kspqjnqqpu,dOg
dOG,vfyqowqmee,-0.391,0.0065,0.079,256,-0.4425
-117,ozleohcvus,0.105,-0.0575,CaT,doG,407
lamdzgzlko,807,CaT,0.2175,-0.3095,0.1595,836
CaT,-0.439,dOG,0.193,0.013,squsuagnlb,yjqoasrnjk
epidimonnt,-220,jbacfdupsj,wrivbyhmms,eynjevsbmb,czlwxvojbo,njewnqiwii
doG,-879,dog,587,-32,390,575
854,zqugqezklc,pyhmdxwdfk,0.387,Cat,hxeyexxrbe,-0.4465
-0.049,fpaqywmdmx,349,-229,rkveqpiuyh,6,fryorwfxmp
-242,DOg,mehfokhpub,nfoagmulme,0.1075,-0.2665,hxfhazvgtd
-249,odfzttuwsb,7,fsmlrppjsv,0.1495,umlhgvtocs,nlzfyokjky
-818,0.0645,-408,0.0805,cat,cat,qocybuhbxc
84,byixlzbqgr,0.388,975,CaT,-0.3255,0.4475
-0.0625,CAt,578,ptwulcggbu,-570,iizjxssiug,0.406
0.115,bntvqllssd,-914,ireitzeifs,DOG,ighjngtlse,DoG
-975,lplonlutcn,doG,0.4665,-836,-493,0.3675
-0.389,-0.2835,dOg,DOg,sksnmiggpe,DOg,751
-546,keniktzupy,DOG,zlfsambmuj,983,737,ddbuueiybk
832,12,jinueexcjt,dog,scchrmsaux,qkvsxuayrt,-0.3635
otymrztrvo,449,-622,270,257,bxdtsykdxm,879
569,skqcsrfihj,DOG,0.354,teveyvqgfe,hppjluivae,CAT
682,471,-0.4925,0.0825,0.0255,-350,-125
xvnvmquknw,-0.108,eeglbthetd,-0.209,0.2405,grjjqdmqkv,ocjwayqvxe
ctntqkjiza,uegdmpeoka,-0.266,doG,ufimfedriq,159,zxakjmtnfv
rraddzngxj,-802,lodzlrokci,-0.481,-0.105,gmylbqjkqd,pqgptxsmix
naorkvcezz,378,0.164,dog,-0.099,-0.4715,-715
-908,-0.303,DOG,hcxejfcoyu,-0.048,vxnborxnju,-0.2365
bqnwpbtsaz,-190,103,ihkqmdmxcz,mhsmjpcnkj,doG,-0.086
hqwcqxagcn,980,-0.011,nebjkmxjbz,-315,hyrtrnqpbs,-973
