peT,vcccgvjxif,ogomuucmbl
Cat,yyrxmficxf,doG
doG,afpxazmzqt,643
caT,dvvbaeiigm,aewqepkssc
Cat,91,-89
gevpoapdja,0.2915,532
rvsrcvpcpg,Cat,-719
0.4065,830,lhntznpvrf
cAT,cat,0.487
dog,sumlrdlnav,-0.3155
Cat,130,-0.155
-0.3315,0.196,yunzqzclps
cAt,dOg,861
DOG,0.1075,0.0455
injgibnhsb,827,0.384
doG,xxalmgulol,doG
CaT,uwlovciblr,uhtkyqvrbn
DoG,dbkpwonsat,cAT
DOg,0.12,-664
CAT,DoG,dkuogdfudw
cAt,-313,-586
cAt,0.1585,hghmookeuy
-863,doG,39
DoG,yrbycdkrmc,-0.082
soyavokjrl,-942,-573
CaT,cnllysbdhj,589
0.211,tdurhtafqm,-0.3205
930,Cat,beajqwqgwf
doG,0.365,0.273
lvuaoafsvv,-0.0535,ypxjkavghs
DoG,0.198,-0.2345
Dog,907,0.0445
DOg,507,-670
doG,0.4685,0.111
-574,-0.0925,kfdwbuiodc
Dog,lfgarrjtlz,810
caT,-740,841
fvbvffiwwr,0.3915,DoG
dog,yzwauqvozq,sajexzklli
dog,-0.109,ptnstfegyp
caT,0.217,CAt
xrwsiqfhdr,459,0.4145
0.4155,312,qibkplcbfc
caT,0.3105,cat
-0.269,-0.048,pvmuxxxvqh
DoG,716,0.05
dOg,-0.2345,-319
131,pixrohmvyr,751
dOG,fgeedpmgum,porgmhdoza
caT,840,0.2775
0.034,-0.1255,0.204
CAT,wkxnmlqjcg,DOG
DOg,cAT,0.2375
dOG,gvlcmgrmvi,-584
-0.4755,-368,631
Cat,-890,130
dOg,ulwqxlgaii,kyxepnpfev
doG,464,-0.235
doG,bcebjloukj,dog
dOG,901,llcwdcdpbt
dog,0.2055,-0.4545
doG,-339,-0.1595
-0.386,-0.392,gsuxkclqvk
CAT,142,ruzjeoxpmc
fmctngisub,901,-0.2775
hxjhmzuovm,-0.292,-129
DOg,pviafqsgsj,zkqzxehvyr
dOg,CAt,-0.086
CAt,zblgbaoiay,936
doG,cAt,-447
Dog,464,389
cpcaynjxnr,-0.2715,-629
CaT,-0.4435,cat
0.0125,-0.0625,dOG
