ascfwzxwtf,szscarbbjq,aujjtvjxjq
-0.278,298,-0.0095
Cat,437,762
0.379,-0.0605,DOg
DoG,bhvlmwkaet,-933
shqahwheqo,-0.041,-556
luqelbqwbx,328,DoG
Cat,-929,0.1085
0.2575,-744,-209
dOg,caT,-600
835,0.029,zgftacicuy
ucvzyqsjho,762,vizvjosjdk
-0.0725,sgeieieeja,-348
220,Cat,qclhwcywjk
CAt,-48,qsihujppwd
-0.3935,floqdepets,-0.2205
oeciemztfa,dOg,xjioaysctp
fkwecwqzxt,CAT,-646
ldopjvrsbx,Cat,dOG
caT,rjcfbvtrst,cbaaelvnwu
0.362,167,-377
dog,DoG,-398
nhrftpeusz,-0.2665,-0.023
DOg,vthyumaywk,0.0285
DOg,891,0.246
-546,-0.4745,-0.201
ozfkamndka,-264,32
fmevkpzbqn,0.3805,oquscihwtx
qqoyltlzxp,antymcdsnf,0.1025
0.2525,ytrkvozpzl,DOg
tbiidgztta,-0.1785,dOG
459,-0.491,ozfybbcxhc
-0.2695,DOg,lcuxfhltiv
226,0.1605,-405
0.188,ywoqmozhsw,uuxyptjaej
qhcaznvdwo,jdndywjddo,qqkqlphepw
enrxtijpqy,590,-0.416
CaT,0.158,-0.077
-457,ggftsepssc,Cat
0.0955,cdvyrqrxbl,928
goepzstcxn,Cat,CAt
824,Cat,-0.309
-808,0.194,321
534,543,-136
-0.1095,-395,61
DOg,athvwdpexf,-0.0635
rfaznczenw,cgnbpzkytg,-0.0225
Cat,clxiueiyur,159
dog,Cat,-427
-739,0.1385,-506
736,Dog,-46
0.4795,-0.257,CAt
0.409,-0.2085,378
DOg,bcplnykprc,dOG
0.008,212,-0.218
-0.4145,bdlhuveybm,dOg
0.27,964,CaT
njepeaapjq,-0.3145,aaffvmgwam
nxdhoatcuf,vvkfhcgpvd,-0.1825
913,-0.457,0.1895
mlaelojrcc,-488,26
wnynnffpcn,DoG,-818
0.427,zztzliquml,cAt
-0.047,-0.408,kbhjnledss
