vduzrwzhin,zlemfvuegh,cuneuqlizr,brbowhmtbm,pET
-612,0.425,798,0.4185,Cat
-0.278,-0.227,bsqamizawd,-490,CaT
0.0445,392,ahkxzasjiq,cAt,0.224
525,DOg,dog,0.0255,onhcbbockz
eowqilsooo,jufdpakqpy,-12,-0.213,cat
kruzupeksf,DOG,-564,wgglwndeiu,-0.06
cAt,lgxewlkwyg,0.4405,dOg,CAT
-812,-0.1775,pvfwhagasg,iuwslfypsv,dOg
Dog,xbiwzparlq,dOg,-0.147,DOG
irojemoafy,DoG,otzjizuiri,DOg,-0.254
qqtfcbzrbd,cgcubshvlq,0.2065,ytdujzofab,-826
-0.0155,0.154,yvpjnkxebc,dOg,dOg
fsmtviovrg,eypvhbzihk,-807,cAT,caT
-0.0205,ldlwfkqaup,248,602,dOg
dOG,-464,exjyamcvah,ziyclvvcvw,dOG
332,0.403,742,pqylugymiz,dOG
-0.1415,ryzzyiaczq,yzykzqifjw,355,qrcngxkwrt
781,0.48,-629,ojquddwhss,dOg
crlzmitrzc,-0.0895,613,dOg,cAT
-766,-0.1785,fbinohjxao,0.294,CaT
0.2995,-0.202,jscufmcnxk,aplvyvqmeb,953
235,doG,nfkbxwease,pgnxkvabgz,dOg
hpkobrybgh,iipnldejtv,-418,-0.0195,-997
270,0.3495,612,-576,doG
durttlgvya,0.448,DOG,889,cAt
0.0595,490,ixzieqvoxx,-128,Dog
yylmdxcygz,996,kdvhfqlyqs,sjrvkdadvj,DOG
nkxejruifc,Cat,diayjbepnq,iztdzecchq,317
0.295,-0.249,0.2675,yminpyicad,noweqvfrsu
-732,cat,mkmoffhzec,-0.1305,cAt
-199,-0.365,yegcdflzhi,-737,dOG
fxlboxluer,95,folzkndxix,-0.216,malomwywwn
jwqeibtlxw,-38,-263,861,omjjncwsom
0.223,-0.15,DOg,261,aemsbcduvy
CaT,-739,dOg,-0.1345,DOG
CAT,CAt,718,czuxhdxrfh,dog
451,-134,0.486,jezqikkkii,pfonidtogz
kmtpiclsdy,-896,-0.3355,pqezyhppli,-644
nkbnecnmlt,mngobiqdck,ssbccomwha,vggolvyjbz,CaT
264,vrcriskplj,myddhohysw,761,cAt
-0.473,pwknfbowsr,36,avrqpncbgk,DoG
njotptjsry,dOg,0.1985,Cat,cAT
-0.0115,-862,180,qalvftpbwu,ztpnhiqyub
myaujbdmuv,0.406,0.105,iazdgfoxkl,Dog
tczypymzsf,CAt,zeltbvjvvs,qbhhdsuayk,CAt
879,0.269,-22,ixflstbgvg,doG
ztaetcxdvq,CAt,DOG,-0.45,CAt
zaxqffxepu,-508,rgbghpcsxl,xlbqwmohxj,cAt
-0.2335,-226,-983,-691,ocfovvtjlu
vjyocvjblg,-0.0305,0.4905,lvswasxmci,-0.4465
vzgppoqxqr,CAt,0.4455,-0.2415,-802
dtewpbtyre,0.402,vmcarrlojh,-0.2915,Cat
-220,0.094,dOG,0.416,-344
zfkevzcexq,-0.4385,dOG,clpjdpcnhp,DoG
-0.499,smtbmbnret,ziuzxblejk,0.466,dOG
-0.209,jbbsaaigjs,doG,0.45,cAT
ilheahpzde,arkchdybsg,nbzlhefnap,gijfjvedrk,CAT
kszdbjping,819,-532,Dog,851
hancjgmwen,-151,-64,936,0.481
nagtszjpgd,ybjzhfwuzz,DOg,-0.259,dOg
804,0.0175,kouohgloju,czulrzjmqy,CaT
11,dOG,DOg,0.3425,dOG
-555,jgztnqvzto,DoG,-420,dOg
-0.2085,hdtoyfwgea,CAT,biimqmzcfu,doG
-0.215,uvxmwbmyxo,0.217,-0.0335,DoG
0.4205,-520,0.3175,DOG,dog
0.0555,-0.2035,-677,DOG,cAT
-492,249,960,190,dOG
dOG,-0.141,ozbhaezvkd,fbklwllnbi,dog
DoG,CaT,0.033,yqusmtcjuq,cat
zeoxvqcaif,wodecqdqgo,-265,lahybhlvvk,cAT
0.3135,0.3145,919,cAt,cAt
-664,dog,0.16,322,dOG
acqvxyltjx,CAt,DOG,203,ccknjycotz
-763,565,wohonjooxh,pfayrfhlit,Cat
-0.2705,-64,0.368,-352,299
dOG,ywbbpfnqwd,emrzclfamj,ngvpyefjzc,cat
Dog,rfghyknowt,0.182,200,CaT
apcajfdkbc,yodthifssw,kmfvewwdeb,-206,0.3715
