baqivzptrf,dyxibjjyeg,fqoobtmktb,cwjcnnjnhh,vznxblgdja,svkujteden
-932,957,0.1695,523,969,-757
0.2855,CAT,pyuvfgusam,843,gpaxdwqmzn,89
caT,-0.3515,-884,-0.491,CaT,0.156
doG,uxjwjjdoer,340,830,-192,-838
236,-56,-0.312,-373,7,-0.48
nwcgzspumb,-0.1455,-971,-147,adexmvrkrd,-940
dOg,-348,sizszlbsjj,wbbfbkgfbc,0.155,czmuhmayjb
333,0.4335,cAT,tiwowdksqi,15,wqanvfegka
yeqxktfqin,0.0135,-0.186,DoG,-0.3775,-0.2795
0.0845,0.2085,295,DOG,-0.3365,416
DOG,-189,cAT,bvnmvpysfi,876,-494
-0.432,820,83,ffqjqfxghf,ddgyluoawt,Cat
hqxvgknjax,-0.294,-0.369,ptypvhmrve,-645,265
0.0985,465,-0.3405,uduyvqodyy,hhzcaxlerk,DOg
rxmolxosxr,awzungqyxr,cAT,605,795,vblkgiwpta
-0.229,CAT,-0.465,sttgmaoiii,0.241,-945
seodtpznre,fktfwiylve,-0.278,sfhjbswezy,-0.454,0.3625
418,900,CAt,-0.227,-394,tkemrqnmir
0.1045,xpuuojtdns,Dog,yuaednhtnz,-0.265,dvaahbbyec
djomxunqvx,tfukzyjlao,otmvajbqnm,-0.4295,dOG,884
110,teqyvncmne,Dog,-0.3665,789,478
620,0.4905,-308,-21,-5,ylktibalou
xglkhtgcme,0.0185,646,-635,205,-686
655,kdnyzppsbv,-348,cAt,515,925
vnrbubxvrb,960,-104,0.154,149,0.2475
-397,CaT,-0.0815,0.304,849,oycszcajng
-375,804,nxuaxfdsbz,byjbpqubfz,cbibpwrtgi,-0.019
pngxmqlbtr,vfbruoqtuh,opuzlxchtp,CAT,-236,jtdmuewirn
300,985,0.332,kirstaxvfo,-0.153,cewjkzxidq
DOg,-0.047,-554,707,-0.1685,dOG
cchxobkgbm,-0.128,-374,DOG,599,eudochbemx
dOG,scamxajoqc,-0.191,gwdmxsoaxp,-0.3215,288
