xznpfbdgpz,afwajuqsem,cfugiujuzp,wxxdfjdqmy,PET,crgonytqvh,kveucypwtf
qfvkfykutm,-0.226,0.328,caT,162,189,dOG
482,-0.3715,638,ybwsjuvrma,0.425,952,jqnsqyzyuv
rgctpytpeh,DOG,0.0445,-29,doG,0.238,nqpklxorrt
0.2495,0.1535,-533,-0.457,fzqzjrdoee,140,502
-467,dOG,kzuqrxikjb,0.1605,dOg,doG,jwccamoapf
gmamqwnooq,-66,861,-0.377,bzngrusrsf,-0.0195,imbyfdasqq
32,0.2395,-397,633,CAt,kiyxojrkac,-0.1625
fpaxziqumu,-0.189,-0.254,-97,cAT,-0.431,0.3315
CaT,cAt,agonyextzj,yrcfaluhhn,cAT,-777,-0.445
-0.3055,11,-849,-561,DOg,0.448,aqvatbyqbg
-117,0.435,Cat,-0.0045,CAT,auxtigshxy,npjycwwbie
-765,982,0.4375,DoG,CAT,DOg,htloalhmhu
Cat,lyruwlixfh,588,DOg,doG,cAT,0.378
448,0.067,dbopgjault,yntsqwthqv,cat,-0.435,lzvfzeyvkg
senwpxqffj,-0.044,574,781,888,wwuosslibr,0.0735
CaT,0.4585,qwkutxuqpf,dog,dOg,-574,130
neushbmykd,-282,skssfcipuc,-0.1735,dOG,lqexeegubt,cfcqwrglod
hrbfpmmcug,mzvpcuahmo,-0.232,qvxzhjboeu,DOg,-74,doG
-0.2275,-297,cAt,337,Dog,CAT,-410
cAt,Dog,vpmptagsmv,0.232,caT,828,-0.3815
-626,piawmrunsa,-0.2325,dOG,Dog,fkuognkrrl,CaT
0.3715,-0.057,hvbzzdexkd,CAT,caT,0.074,0.409
-0.056,0.2615,-0.0055,72,cAt,vojdgoxbcg,CaT
0.097,Cat,-0.2275,467,CaT,0.213,axwmtwgjgn
-0.1255,-0.1115,-426,jvodgmtwox,0.365,0.389,822
flxhdgojfp,89,tiydhqvwkq,snyrcvlpqm,0.479,-129,359
0.3805,zosywatguj,DoG,-0.3405,cAT,CAT,0.201
210,476,-449,caT,doG,ukszqdpkdl,cAT
-574,mnitjvbseq,mkgknprwub,xjcisbqgsz,CAt,yjmyodztkr,0.4235
0.2715,731,Cat,-0.3705,cat,zujtrkbiyo,76
-0.365,ovwmkzilko,cAt,-426,qlkefjcxvy,623,-0.0935
-625,krshgneeli,805,cat,Cat,nxkmjgqmfe,DOg
-903,0.1665,0.0935,-203,CAT,cktlylokfi,-965
aeuobxmabd,-0.4265,inrkgtldrt,-958,cAt,0.3835,-989
tluxvugfvl,-21,-147,-828,0.2685,-234,cAT
0.1555,ygnbdptrnh,luvesgpctl,jdykiuignf,Dog,fjulefngww,CaT
-227,wdjnbpckkv,0.2815,82,dOG,-0.408,0.41
dOG,iujevrowbs,doG,0.4845,hphguhgrlp,caT,-0.168
0.103,CaT,748,bmjwgcgnuu,mniiwbrhkw,-0.0625,-321
Dog,tqkncnaarn,0.0395,0.0885,DoG,-470,746
0.1885,-399,dOG,uoqfyqmnov,935,ieuukvcnax,816
dog,275,DoG,kfrjaoawij,dOG,-0.0565,lrmqptjqki
-0.2805,936,0.4865,jpszafrmlc,akjhsocfrw,maxqxcrrnr,DoG
-0.266,Dog,eyhqcpjecz,0.165,DOG,-428,-517
gsnudpvvvq,-636,CAt,-0.2835,cAT,0.0235,-797
0.2705,tgnuafylde,rfuikvqsaj,-0.228,-91,0.4035,-140
-795,404,xjbynlyraw,eahrczbwkx,DoG,CaT,CAT
0.261,DOG,eogqpvjdpb,-0.224,CAt,ayxgcvohqu,nozhmyndqo
0.181,bchhktpubk,-690,-798,-422,-653,-24
578,-0.275,-920,-0.2615,dOG,0.0345,CAt
-0.3985,cAt,337,uceyerysfg,dOg,boqfodwzyt,-140
DOg,mcupsfhnvb,ywaacdouab,-0.387,-879,bbwzmcaqci,Cat
CAT,333,aqfggbezyj,0.256,-265,gaahccnrdo,eibdbbvpyf
uqharyaxlp,628,-0.109,cAT,dOG,0.2845,391
769,egojsvlvif,-0.2085,0.2065,cAT,-0.47,tipwubptvw
jlvbatqxvp,-0.055,-379,-481,DOg,-0.003,-701
plvkkcggve,-0.4515,-718,-0.438,0.0135,-0.493,fxwgsoplos
-0.309,dxtnajmjcm,-150,0.4,327,-926,cAt
-0.135,msuyjruqjh,kawwhpjvhf,393,dOG,825,-433
dog,-226,-361,-426,-0.214,Cat,0.1675
-0.1465,-0.08,kbcmgxnvqa,763,Dog,617,-399
dOG,0.1585,-0.4875,-0.3615,-0.1955,-430,ecowvuvauy
-0.206,-0.423,-0.0865,-0.4565,lsxbxebqux,-536,tvuceubdgh
xnscscpaer,-175,mjnrqmvyzb,ukejxfhsdx,dog,-429,344
0.157,0.0915,0.121,cmrwwunpjl,CaT,DoG,0.4585
0.463,doG,0.3935,caT,CaT,0.1115,389
0.0865,978,DOg,0.4105,mpukjyqpnl,DOG,760
falaehsods,0.117,0.3235,caT,cAt,-56,0.2525
508,-416,-128,0.0635,Cat,-40,osjpcqixnc
vuqkojnawm,0.3555,-0.4795,DOg,0.27,fupohlswdg,921
-906,-992,42,jqecikfbxq,cAt,-572,-0.039
umntkzgcqw,CAt,cAt,291,dOg,-945,vfsvaniwsc
230,ftogxpjewh,851,-0.2945,CaT,671,88
kgoipuzsgf,-0.327,-0.261,-222,Dog,0.2615,-0.4435
DOg,-14,0.409,135,sukctescht,zlqviefota,qxjximhyto
ihtlropyak,-0.4935,cAt,0.0455,cAt,CAT,-0.2275
-131,dnqdihkqlx,mwmkbuykdx,czkmoesbpk,-0.1325,-491,0.4785
0.191,232,wlutcvywah,wjpcnfcoat,cAT,ivcdrnwtrk,620
cAt,xcreabalpo,0.164,-833,caT,-0.0065,xiipeauprv
226,cjuujwgvdp,dOg,-229,CaT,uuduyfrafn,djrovrpklx
-0.4825,ihvqkibqoz,0.1175,533,0.423,cAt,nfocldssxi
-0.296,-224,DOg,-0.1205,cAT,cAT,Cat
dog,-0.0875,fwkppxvatm,-0.2855,-55,-0.257,bmnbcapfzo
0.325,soicleajmz,yzbxyzslcx,DOg,caT,-913,356
kinmvlfnlh,ictqyyctas,103,0.3455,DOG,590,-739
jgmthbjwwk,503,-246,497,doG,lyoqghaqvw,dOG
gpdpvmhtym,660,tidpjmubgk,hvpfgakwox,0.2695,cAT,vyhpnwerdj
Cat,-632,qdmecveynd,Dog,cat,872,whyvothnxk
DOg,mttlbuvxig,fnwfzpoxum,0.376,dOG,cat,545
271,968,ayjnixsgnj,poxjrzfonj,cat,gwigkwxfik,923
uclewwmgcy,cAt,-93,qzpgsfrtpq,CAT,-0.456,0.1995
ylemnfypip,DoG,-489,976,caT,-309,Cat
-772,0.137,CAt,fkaeioadgj,zsuecwphlo,-228,284
ffoamtfywk,0.102,-484,doG,cAT,-0.3265,244
