nbcdamyjpb,scxftyqrvb,ellguqeaml
-0.141,98,335
CaT,DoG,0.17
CAt,0.2665,-925
-0.1915,0.0445,Dog
777,-0.057,cat
vdrlxzaexl,402,0.4435
DOG,doG,taqlwpcorn
-517,-234,0.0205
ntkthlyvkb,dOg,438
zhvnoxxixe,-708,0.2385
432,-0.0115,dOg
0.123,wymiisejbw,dfasznkrkl
CAt,xvtnpksvka,iphfpnyxrr
dog,cAT,0.121
107,sjyaeqfjyk,13
581,qpwddszjyc,0.4415
vkppriuxls,811,584
-151,-890,ycbmrxuibb
54,CAt,omvmqhtnrf
-0.1945,447,ivckagqyry
azjhuwhtpj,wsahbmlqjg,bypnuktdcc
-0.378,caT,-0.278
widzmukuus,rrhomnihjw,-0.3915
flyzgqesrq,dog,caT
-33,939,dxezzrzsyr
-0.4395,cqunaajbfr,lvkjqoxgru
dqwuvqfcur,tvigzrmdop,-938
xrdjbdlwzg,hmnhacxlwm,67
560,192,qkfyglzhvf
0.148,-659,fktdhkixxd
326,648,DOg
lkmahccwfh,CaT,DOG
-0.0445,cAT,-0.25
0.397,0.1105,596
undialbvso,dfecxhznyt,psjjruihie
-0.2855,0.5,dOG
dppnhjrnay,DOG,-0.372
DOG,dOg,0.328
mxpybipyez,-4,399
ktkexpyrho,-164,-0.3905
0.4815,cat,DOg
0.465,-0.491,Dog
511,tymiamqmas,niyubuvqqq
900,nnsfhmwstu,jfuvngusgw
824,DOG,-0.4515
-0.1395,372,-0.465
