qewiqnnzja,peT,vvoizfprco,hpjdgipfvd,ebgmtyasuu,zwjaawcalz,ueurnsqcqd
-465,cAT,-0.429,-0.088,doG,DOG,0.2355
0.435,cat,DOg,dvslmqavjf,895,bxqazhhzfh,191
doG,dog,ocqjuamtgl,tsmiiqspun,brxqsaeejs,ltnnggmqnj,-479
0.214,18,766,0.398,-487,0.423,bevkmfadts
0.0055,cAt,449,0.1045,potdzpwnuz,wbfxddpfri,caekajcjrb
-0.3615,Cat,511,dOg,-0.0085,0.082,460
jawdnrpqcg,Cat,cvuxdxgjeb,lfniphngtt,849,-0.231,oodclnxqty
874,cAt,caT,75,hpxwapvjjs,85,rzvvziiaav
-0.0365,doG,-500,7,craynhljhc,ucszipddjp,Cat
0.4175,cat,0.216,-396,542,-0.3975,Dog
iyywbqvhnk,dOg,-320,mqxdctleqz,0.2735,-0.013,lsegwpbrpk
0.146,211,-411,25,caT,mrrigmdwrn,cubdfyhcjv
253,-0.033,uggimdfqri,Cat,cvbnqaqfla,-0.0075,0.2965
151,DoG,0.204,0.3835,doG,lljqlmgdmn,CAt
-763,0.0555,dOg,0.0735,0.196,Dog,kriemolomm
-0.207,0.438,cat,yvxopyptzy,qdubqdhcll,cat,0.08
yujskdmbkh,-0.3255,827,-0.0525,446,0.0825,itglppbpbg
dog,DoG,cAT,-584,mkwliubdae,-0.4105,qfmymxhpbr
mwzmcysqgx,-699,-0.4105,0.31,-0.392,tsegmiklrh,cAT
ybxweuhxoi,cAT,doG,lwbommivvt,CAT,pkhfharpou,CaT
dog,CAt,ucxocetlzg,hmieaotqta,0.4935,0.126,-462
xzhkoquths,cat,pfuzcahlrn,-0.4585,-468,0.3795,affunuefkj
lyhcamazex,DOg,zpyilxebvv,-0.186,lenlzwbvmk,iattossqij,0.348
-0.101,-518,346,437,0.044,DoG,-0.134
888,CAT,dvjxvevwri,agjasstcqz,-787,0.2225,fmmjjqlror
0.0525,cat,cat,0.085,-0.1755,-0.4355,652
-50,gafogbcrhf,moggqqubzo,Cat,fbjhtcjxta,dOG,-0.104
0.036,Cat,835,dog,wafxxhmarb,hrqxvkehnr,-754
dOg,DoG,cAT,0.493,406,-765,0.4515
mrwkxakudb,-70,-0.0665,857,-0.053,mpggdfewyn,0.343
cat,lzfnmzuriz,tqbjmgbssu,0.364,dOg,cAt,dOg
-357,CAt,cAT,-0.3545,zaxqyrutwr,-0.205,uhpbonwqsu
-0.047,Cat,eblmzktumo,-0.103,CAT,CAT,nguqtpledi
-0.3315,cAT,caT,-0.0065,yavakaustu,cAT,0.315
CAT,Cat,axgbedrfml,467,-240,-0.0755,vsptizhysl
0.1255,0.0255,kywcfaigvy,0.2135,doG,-700,0.264
jgwcglkgoo,doG,lrwzalkzsn,dOg,0.3165,goypylavjc,909
0.1745,0.006,-0.419,CAt,0.285,nssnrexujz,-701
-738,0.024,hmwibgntdi,ojrctqniws,0.3925,qhdnlruwwr,0.4045
-147,caT,-920,ekqtwknsjn,102,-0.4845,ksroptplmu
-0.1345,cAt,dOg,zybjwaruwa,jglonphszl,caT,cat
caT,dog,tlpvqoxsqi,-0.345,-339,0.2395,CaT
305,-93,caT,265,qnmqhwpdyg,0.024,-0.345
0.4815,dog,-0.138,-0.025,oomudtreqs,tcgpxxlwco,rcrfynqkkf
aosocwyewx,CAT,DOG,0.0195,184,cAt,-836
-977,CAt,162,-0.4535,-167,kcqbmlrlem,-936
muywvwqsze,-0.324,DOg,0.262,DoG,-259,jtihcmlhqr
-0.223,993,aissdjfmei,lhijuqeawt,327,-814,CAT
fytrqszhrf,cAT,0.396,-815,478,-510,gnnllvmayf
-0.156,-361,0.44,ztmnhbnxom,-873,-68,wqdtcqibfw
0.199,Cat,0.4235,0.195,4,520,0.406
-0.3905,Cat,0.4345,dkoelvtbtv,189,0.125,mkzejspnac
0.1905,DOg,0.0365,cAT,mtxcclggju,-0.1235,679
-334,DOG,623,61,hbvyidnfnn,djpeiklumr,DOg
-0.1725,qaxyuszezi,-0.491,ichptpvqty,tejovyzqug,-639,qsmxfyordw
leepfpfiwj,-0.3485,DOG,-909,gzwvhbifrk,-594,CaT
dOg,DoG,oiwbfxkxsa,-0.0215,-339,DoG,0.0055
uuldspiman,Cat,pxjzqasdtn,0.064,-0.489,-0.1855,gxosoozktr
-14,CaT,0.0815,-17,-215,0.262,0.3615
-0.0545,Cat,aonyhoojpr,enhvyjagko,571,zntyugweeb,caT
-514,-597,nwathlmdof,caT,DOG,kzqpflaaew,998
okjlyhcfql,-0.0545,bctjjrjehz,wjbuzjuugz,0.2645,-837,lrahxtdibh
-495,DoG,llgihakuel,-0.4545,164,yaqgfotfni,gioramfxna
doG,DoG,bxhmyhikgd,-0.153,odqkguluky,ftzwajrvfg,toepstpwun
cblkmwbhlo,DoG,-0.288,doG,243,762,0.3005
0.1095,cAT,47,451,-865,dOg,CaT
rimlughcmp,dOg,-0.4775,0.1695,ddqfyfaxzz,ibahfwharn,dOg
wqzhebovwx,doG,uqdnsxxvwl,-150,cAT,-0.435,-0.465
0.0555,CAt,884,-679,dOg,0.448,tdgfoywaop
-0.0095,Dog,bcchvngomg,627,gnbnpdfksa,0.0315,caT
dog,123,qvctartkzz,xaunjoawco,-777,-281,0.2575
tjklsphtdn,DOG,0.2345,wbkfmlhurw,cAt,Cat,663
cat,dog,ajojevaexa,812,yjztbakptj,-216,vtlvuqcdkt
-0.087,CAT,pbojtafdjh,548,0.3435,-809,dxjekaewho
-632,453,136,pugbswzyqy,528,-736,vyeyyxwcbt
250,CaT,-0.4145,424,jjgzrpbicl,gqrgveubql,774
0.3815,dOg,DOg,140,62,eycpwrzqhq,dOg
CAT,doG,-842,222,waewzsmpsm,786,cfhtqrwueg
0.413,-0.3395,-0.324,-628,0.475,Dog,0.4015
-0.1445,207,wxtyodsutw,bunmiiusvz,doG,-0.101,0.1935
caT,caT,-991,928,ccenvlbmrk,0.2445,qmlllnpnyu
-0.0065,CAt,klqhxiimoc,evqgjjvtvq,-0.4205,0.2715,0.2405
-0.212,caT,0.0925,-989,ajcbdionwj,0.1005,-0.3795
