ualrkbynqz,tafcamdatj,oldhpuvqqz,ffzpbbvnfe,neojsqdokl,kemmenmzgn
txuuciujaf,qlnbovyavb,rkvlrrulwh,0.225,pfabbqrjfr,0.2155
0.3235,ghbtrtxjpk,-0.3625,0.4405,etmcqohlum,788
wlqofijybf,486,905,gbgapadjfb,abbhhbqmgr,CAt
vkwybgycpx,DOg,0.1865,bzspgrtgob,0.3565,0.1625
0.0625,616,-825,591,-350,zogxqpooan
-586,0.4405,dog,ywagvjjwnp,196,958
wquhiumlsk,phslywhost,DOg,dmxpatqxqx,0.221,cwhtqhgyta
cAT,-355,orkcnbhlma,0.087,-0.116,748
nekzxcncxo,lxnhxhrvmd,0.177,CAt,-21,tasdwasywf
giplpwzykx,-548,mfpehemwmr,ilrmjhopye,0.04,0.0645
0.114,-0.16,lvnpxupkar,ooqfxnpkwt,-599,whfjtyfhqd
gazsxpowwa,0.285,379,-321,qklbvughdp,Cat
0.2265,dog,-0.0585,141,hlavymcjgk,-0.456
352,hxkpfmctcr,-0.0435,0.15,-111,iodmsbhgzz
CAT,-943,-148,-0.389,752,cAt
0.1025,cAt,hrfdrlnouf,326,skiigijidr,-0.384
xrqgmorube,dOg,0.238,doG,opcqqkhipf,-263
huoqqbjkgx,155,-640,-300,-0.1905,uqcpmrbtoa
-0.16,0.083,0.1065,0.216,lqsrbrfcuj,-0.273
nuqadvrqig,ssojpnpboq,-876,413,0.2655,CAT
-0.108,-0.3305,ebmdpaiyki,iwszrimtpv,824,DoG
-77,bybcymufcc,346,aemdonzajf,-326,-670
-102,-0.428,325,cat,0.105,caT
bdcsojctil,-664,233,-0.4365,zpwmbqysle,-0.431
wjloqvpxbs,0.125,788,-614,hwudrzazlh,-0.3865
dOG,-496,Cat,ogdyhvvdkm,-740,-0.4555
qsgivunbjc,lqjkudbtrn,batomwdpjl,stfbsahacv,-0.037,Cat
-0.0665,0.2505,0.472,Dog,155,-0.2745
504,0.063,afvlutriyo,971,mivjnikwyi,DOg
Cat,-0.2225,-11,-0.2905,712,0.0615
0.279,-0.2375,951,801,jukahkeosm,ddapyykfqs
720,umkgtmajwz,CaT,0.136,-0.468,0.4005
DOg,-62,rkcdnxmdxj,650,-0.4145,0.1315
-332,frlkfffgpq,idjldfuqek,-0.4155,0.3855,ohepkvgbhv
ijlplfximi,-998,410,DoG,izxwkypfux,-0.4565
310,CAT,825,oxgdggflxq,cat,dyymvferdu
0.017,-0.041,ghaecyveys,dnfmxjrdyp,605,-19
-0.3315,igqgmfyegc,-552,-0.0875,-0.4135,DOg
hajtkwvedi,dOG,igvscdawmo,150,0.382,-602
329,tntzwlzqpi,155,-21,0.258,0.062
-0.4285,dog,0.004,499,0.328,-0.291
dog,xjbkgspydu,dog,DOg,0.36,901
cat,-192,tcgapdblcf,Dog,-0.3305,pvbknbthqf
etlnswwjot,ekrlzawkoz,jnifyznwvd,DOG,0.164,888
-0.2805,-0.1325,cAT,-0.154,ssvutjrydu,haxehccwky
CAt,ungtkqlqxn,cAT,Cat,-993,CAT
-0.042,-228,itvpnllqda,-638,-0.3975,CaT
0.396,110,oexrhegdeo,CaT,DOg,0.1085
-0.2845,-107,-966,0.2155,hpdaghqbqq,988
-56,-0.177,zqklezmssw,dog,avevqsbuuq,-0.109
dvyewulmli,0.4185,tnioybtlda,0.001,DoG,CAT
nbgrzmidew,-0.151,0.389,0.015,CAt,-634
-48,944,-0.1565,bkodgjyzsl,CAt,0.254
DoG,wwmdzbchhd,cat,-636,355,-891
-0.1235,-0.446,-0.3715,81,kvnvaarwtn,332
kbuwlcxivu,-526,0.1915,-455,-949,-0.248
-0.4295,-0.2295,eazmdvnwmx,cAT,Cat,-553
-0.2605,Cat,jikqabvujg,doG,taqfkxckug,208
-0.417,92,0.3075,302,-897,991
-553,aqvjlvoqxa,0.2845,846,743,-112
Cat,0.3655,-0.035,-717,0.0275,-0.053
-713,DOg,pmwenrtqms,gtimnimsnw,doG,cAT
bpwodonnwf,hqkuemzwet,-825,-0.38,ozvdeqyehw,-554
cAT,-0.0985,caT,-0.248,CaT,sgtuzyhzrp
-444,0.15,lotlzyhker,lkcskukmxa,-0.1895,242
-458,dicwwqkhco,cAt,-0.277,CAT,ciptpcmkgt
-138,-0.3955,0.3725,-0.368,0.043,-0.214
16,-0.316,-0.3335,hfobceblwv,usectdeytd,853
467,0.4325,caT,0.2345,0.361,884
-520,-678,dornmfnmkn,642,DoG,439
657,-0.3615,-322,125,-0.1295,cat
0.094,etvbroxzuk,litcbucwaj,-0.2025,Dog,753
qgtupxeepo,CAT,hylrclrlqq,ckylvffptg,504,ahxcecupwg
uhrxtokgpd,960,-0.039,233,738,707
cAT,-591,nnxhfgnegf,740,-225,-339
0.1055,hcmwwpvxhr,-384,-0.494,-785,dOg
-756,-0.2585,521,512,-0.2545,dOG
