pet,lmpptsbnrp,drvrngbsna,mnmgcjfmjn,htbqyuzdph
460,1,-0.1305,0.359,qjpenskave
CaT,ztqlvylfxs,ykinslaxvh,459,0.4585
CAt,-0.123,cAt,cxcyrcqkwy,ibttvufmsv
DoG,0.3555,610,639,tdrbrjoevj
cAT,DOg,-0.2515,DOg,874
DOG,-325,mpsonoupzt,lpvectonnt,wnrskhrmhj
CaT,0.2065,0.091,0.107,DOg
dOg,dOG,cgqknvwkbd,226,748
-0.0695,avmqmazmrw,-0.0295,787,cAt
-0.405,-0.218,cAT,kbrsryoaag,-0.1135
DoG,0.4415,-55,wxbtujirzx,587
DOg,-110,-734,-0.2615,36
Cat,0.1085,-68,golphwvfcd,877
-0.0015,Cat,xriqrotqmd,DOg,omlzqvjkzg
cAT,oubnivgfch,zvcchnrjlx,mpjcrlfpqq,-0.112
dOg,-248,mdopwhhwvg,-508,cAT
Dog,-1,0.1495,599,-598
dOG,-650,0.24,-691,rzimemtbbf
0.0935,spdmoytlzv,avcdxinfkz,dxzrmgqrke,0.3515
cAT,73,-0.1135,uozcoixrsx,rgqxspnuli
dOg,hfjfupntjk,cAt,ezodnbhpmt,0.0755
cat,-0.007,cat,ygepmhbckr,536
scyxyipcsb,rimhpvapgh,420,-0.003,doG
qlqjofaaeh,157,0.4805,xmteoqdhoj,0.1455
441,akmudbdcyx,cctfefnxca,hxsbypajri,-0.109
dOg,hdxrntjnsq,hmopbnkzqa,-172,mdncmhkxjm
DOg,-112,0.391,-888,-989
cAT,lvgbumyshf,avwhcbviis,465,bnqaojyoeg
CAT,cAt,0.019,-428,-929
cAT,quebttwzva,xhmswczzeu,0.373,607
CAT,xcoyidepxy,-21,wrbzmhmstm,CAt
DoG,-0.205,0.0555,0.136,-0.108
dOg,0.486,-370,-841,0.474
0.2715,-0.3775,doG,902,xvxrmaxjgq
cAt,715,-0.2945,-0.2555,wdtuapluxm
-856,nmoxyimepn,-0.4425,470,0.2275
doG,-0.4705,doG,-0.0185,igjrdhkuei
dog,jknftnvwqi,860,tbenrdxjka,-0.388
qpiiqzxdpl,226,-463,Cat,dvgmaqsznd
CAT,0.377,0.0655,0.4225,qcdtkbscwe
CAT,-342,cat,dOg,-0.33
cat,irfhtibpbm,ctgefqyvxq,cAt,0.1175
Dog,0.289,qefxgjszrv,0.121,196
CAT,0.299,dog,kyylutvrht,0.055
DOG,0.435,-0.0275,15,-361
caT,lfdnvdsbum,0.0995,-0.463,adewdbaieo
umqwkxjucy,372,-268,jifjyzsncc,0.1835
fanjmdhuet,dqqzpcraev,-701,263,386
cat,267,CAt,406,-0.4305
0.33,CaT,trbycuxpms,hpxbqckavo,dog
qrfydineme,136,302,dOg,cnpwiwrdfl
cAt,-0.035,264,-734,757
0.2215,-0.112,imptjesclh,pzadgiurud,350
Cat,0.217,cat,Dog,fwjxnoduja
cAt,cAT,0.3525,121,-613
0.0495,-0.3975,nxpiworfay,doG,-0.101
CaT,912,-144,hrogtzdwcg,mvshyirpaa
CaT,Cat,cgtkgtwsde,-299,0.0135
xzutwjhdim,-707,nsftlzexhy,xcxyhhijig,-104
-76,hpzkjtfyxj,-0.1485,-887,0.0605
DoG,uhppobxzgr,rrqljcricm,kwvktsgcrk,DOg
cuwockbgzk,gybjsgsxqf,dcnuyxsowi,-0.4935,vqookxmcph
dog,277,DOG,arrwhkwzrd,-200
dOg,-306,skbyzynmqd,dog,-775
-552,0.258,wcprindfsq,316,-0.197
CaT,0.115,305,-0.3515,sbgoyetafi
