obchrszjzk,avaouaeawc,rkojjquwvt,gfbddqdfqu
922,cat,gwejtptnri,0.3045
0.3765,DOg,0.27,ctrrdsddkt
-0.155,cAt,-0.0645,995
msuphxgxyc,0.4715,dOg,895
-762,DOG,0.1275,0.03
CaT,-996,dOg,71
fixcbegrcq,tuycgsbucx,0.1415,590
ddcihryypc,cat,998,blwkxbpigu
-74,-989,-0.346,0.1465
0.0875,0.432,0.318,atdzmevvhk
-918,-0.1255,-0.367,tkkzqxejkc
608,0.1085,0.1165,lvtlbbujhp
-791,soqxiceaxk,716,-0.062
413,-486,598,0.1945
-870,hzzytacsvl,doG,dOg
0.2925,Cat,DoG,-519
789,196,ikxeilexmw,250
-295,728,swbxaaujxv,DOg
sybboejkrg,pgpubsmyjo,eaekgxtmos,yhuteqoxrw
215,-0.217,DOg,-0.3455
69,zcbekvysck,Dog,-0.256
439,fdssblffgu,rxwqgwbjye,snweszflgu
-812,0.2455,0.009,-0.4905
-0.1915,plpxqbkvwk,529,834
-0.163,xuxxygdqxx,hlswiwgzvy,inudkbxgsk
155,-0.439,gytqxomenz,lnvpmcnhli
cAt,Dog,855,96
442,-0.3985,0.121,4
dog,Cat,wulznubqyk,144
-609,CAt,-0.318,doG
Cat,bmyuosjnju,rqrudaqvot,xqqrujugjr
-0.134,0.063,ohclctzjds,-0.129
dog,-86,-0.039,-0.31
0.098,eedqlusncf,-538,-929
CAt,cAT,sjmuhkvdma,0.164
-0.4475,-0.367,-0.1185,499
DoG,ibdvkjpoef,acwzquyknw,-0.0695
