jxfkowdpnl,peT,ufcxnhnerf,bxhhzmxfzv,dlvjldhlfv
476,gvtprvzsvq,oqpfvqqjyh,-297,iwgoyzyivk
-0.103,caT,DOG,534,CAT
Cat,amzfayljxj,bimciwgerm,apkucinadq,529
bxxzahbmvk,Cat,tvlehesnuq,Cat,awkhppbtbz
Cat,DOg,0.3665,caT,-327
egeocfahwb,doG,-0.067,0.29,0.1415
totuhpjuhv,dOg,swhifhyocx,-0.1635,-597
vvqoawmllv,dOG,-782,spvkfhjcfx,-0.3485
fyakskdrzb,doG,0.133,0.3145,eivjcqcjay
qbokgqsftm,dOG,byewoxulen,-831,opxgqczpib
cAt,0.359,879,dOg,auknttlrze
956,DOG,tcfsmudscx,676,327
493,cAt,-0.0865,eheuuquvbf,-0.348
0.0695,-990,fcmpjhydng,doG,0.3835
mrakprcwdf,dOg,psmqihrmkc,273,-324
qngosrghag,zklcfaahye,dog,wzhbmjmqxn,stgvgiyujc
mdwsxthtwx,CaT,dgzkymieqs,681,949
hoyrekagjc,cat,DOG,461,-431
fdulkfeail,DoG,-0.1745,0.303,0.1015
pwtvkzllwd,DoG,0.029,0.466,-0.1215
0.072,DoG,ceovshnbxw,0.285,xqgsnllgws
DOG,CaT,0.384,0.361,qlfhakjgzn
bqcwlexbtx,Dog,dOg,0.4915,caT
cat,DOG,-504,kvndwfmufn,-0.3225
-737,Cat,0.0115,dOG,CAT
-0.0365,CAT,383,-0.0415,ytatqnfval
iyeveijude,cat,239,750,0.056
341,dog,0.0445,efosjqnnfc,zshyejqyrf
dOG,dOg,-0.124,cAT,DoG
-0.103,0.343,-744,519,0.1805
urlogxwlzq,-0.176,hzkbkozsqk,-0.016,-11
-201,CAT,-31,dzptgphlab,DOG
-0.3575,DOg,136,-105,dxxsflskpz
-224,CAT,-0.3205,-831,0
0.289,dOG,95,313,0.378
rxbhqlolly,-0.021,qfljysctus,-0.3675,ayhkwsptyy
0.074,DOg,-221,dOg,-41
510,cat,0.192,-0.266,cAT
mgpoabaddu,CaT,-0.0125,-848,CAT
-0.4145,DoG,0.306,-392,-0.1545
akpqzxjmqz,dOG,0.0855,275,-92
966,-754,CAt,-613,295
927,CAT,-0.1425,0.472,wskepobolx
cAt,dOG,6,rphnfkmkyn,-638
0.416,DOG,ijxlpeuqkn,-133,-719
uxqwmijmdq,DOg,-426,-0.4325,735
vhcesfjufb,nrvpswvzrf,864,-0.484,btdccrjwbo
0.0215,0.377,0.215,jhseammegc,-307
0.4755,cAT,fotslgqldb,DoG,jyouwnuliz
DOG,CAT,138,-625,-578
-767,cAT,0.4295,edkyjqcowe,czjpupkwqb
xswcrehqug,dOg,376,myqyefcwke,-0.1225
957,edhqgugfrw,DOg,womljhgcmy,aqubpyihtw
DoG,lwkogijpmx,0.1845,fpysyqvahz,0.021
735,dog,769,uqgcyfrzqm,dog
0.4685,DOg,-191,-0.193,-0.044
0.436,Cat,dog,Cat,eygjcssywf
-568,doG,CaT,0.424,572
437,dOG,-0.146,-0.381,-331
kdtkhmwaih,Cat,pjaprmyceg,-321,491
kwxhslisnk,Dog,0.0785,-0.1125,-0.0535
0.2935,cAt,729,-0.341,nxbnvtsefw
0.251,khmwcqbklj,655,-0.046,-762
0.295,fxareyckjz,dmmsqyspnl,-0.4245,hftfsphxyd
aaefzwdirk,dog,ayzmyvuupt,0.1125,eolyfepfxe
caT,CAT,-0.291,slmjdfmvuk,CAT
0.1665,CAt,-0.4785,qljdrsysek,528
-43,CAt,275,-0.0495,DOG
803,dOg,fbpthjgvre,geschwbjwz,hhmuvrdvzi
pdlmazeugy,caT,mhspikeogi,-0.035,-712
-0.0395,CAt,CaT,0.273,918
