phtmjvrsrc,jqxfyvoump,Pet,hehinjtuqf,kmzneznvfu
cAT,-0.1825,Dog,0.1845,-465
-158,DOG,Cat,zyxoswrvfs,mbumqfpajm
-675,0.371,cAT,dOG,doG
nyrkjkpadg,-922,CaT,CAt,-979
662,caT,Cat,213,0.4005
-383,cmjcvgawdz,DoG,-858,-256
-0.065,-982,dog,CaT,-0.003
CAT,Dog,cAt,582,DOG
gdbhbwghzg,ipystkrpjg,cAt,-979,doG
0.3085,cAt,caT,hikporsrpr,rzhossomjy
dOg,947,DOG,doG,0.455
fbwvvheixr,-242,0.478,-0.2415,0.115
0.475,-555,rqmbsrjuyx,554,cAT
-0.085,-0.182,dog,0.2395,968
dog,joiyadfwmy,doG,214,doG
-0.366,-24,dOG,57,dOG
-303,pupnwxprky,dog,vohigmhpav,-658
clhbddiyis,-0.345,cat,-554,-0.1225
idigaiiivl,ajgtowiimo,mzneekoibr,hsmlnwdmhr,-480
0.32,447,DOg,0.367,0.0665
cnrrhyjgwx,ovgxpdulzg,nsvegiyemu,0.179,771
-574,357,dOg,626,0.024
269,-0.0475,cAt,0.295,-299
doG,-740,dOg,bzlxudldkh,673
787,yoaofxftds,cAT,628,658
xljzeucxqo,qhctucentc,cat,485,-887
xsghncxdev,0.352,dOG,-216,352
-0.36,-0.032,0.047,jbmxqzllco,yxekkmegrw
-618,nnqonteqop,DOg,dqiqfxmdzg,847
-0.278,-0.0945,CAT,ygndcnsihw,259
0.4805,mmnhyyappw,CAt,0.4435,0.0265
708,198,-658,0.427,caT
ofmsjnxsyt,0.176,DOG,figxdusnma,DoG
cAt,dwvvnqopkn,cAt,-0.3225,0.183
ymowdrzzhn,-83,CAT,smvpjlwuaf,0.186
-0.3935,0.093,Cat,uzlhkdlcca,boludgtiff
mbfklxirsw,syhbodrpga,Dog,-0.038,arwztrnvkq
-780,tdziwkjctc,215,dOG,-30
caT,176,CAt,0.3345,-448
474,lsordhppbi,DOg,CaT,-0.4765
-478,-0.0505,dOG,doG,Dog
0.3555,ffosiimdrg,cAT,pnweaminmt,0.0075
tozezaegxl,-0.074,-275,jwhaqhtrma,uxzkqactwl
0.485,-658,-82,-0.0795,0.3285
-204,DoG,DOg,267,hhpvmshtej
-0.4925,rblgmydxuw,dog,cAt,-976
0.0955,-983,Cat,82,wnkhkzyrsg
dOG,-0.3105,Dog,662,0.3355
572,0.1715,DoG,otaubmbsum,vkwoewbzxx
-84,rusumbqmff,doG,-324,filxbraxay
cAT,-0.1315,doG,-85,0.279
cAt,ehhiwukira,DOg,DOg,-0.144
-745,vgkjpcuxjf,dOg,622,jcofpmfusv
-966,834,DOg,-0.0335,vhoxhyiekp
cAT,-0.135,cat,-130,CAt
-0.3675,dOG,dog,854,cAT
0.12,-385,887,172,0.195
cat,DoG,dog,-0.431,rhzhsvripj
CAT,hinfsqzymg,cAT,caT,ejyyxavpbp
dOg,-677,cat,-978,dOG
-773,0.0825,-0.012,dog,cjfsvnwfgp
-0.314,DOg,Dog,-0.217,-0.053
581,866,DOg,-266,81
dOg,-225,DOg,-121,ywroezuhpo
-949,228,ofwercsumc,0.1195,-0.2885
-0.4045,mpocwxvdkb,njwtdysqwo,cAT,obbqnsxcdu
-774,0.377,-706,xdbxqjfwro,-382
dOG,-0.321,CAt,212,jahzecqzsb
DoG,dOG,dog,948,dOG
0.336,caT,0.4275,-652,-0.1735
-198,paytqaukyx,CAT,-0.403,958
uwkuqbdpht,vkemotnere,dOG,452,912
ckxfjtmssz,vmboztyvpj,cAT,DOG,dwpttbaajv
wigbiobabl,908,-0.1115,0.1285,324
-0.151,mpnxjmcies,CAt,ielldisdor,363
535,0.4395,DOg,caT,pccrdlvqja
avafjyjjxb,0.295,-0.0365,-663,0.277
0.079,-0.0665,cAt,ilqevaiirz,shebrjzhng
-261,CAT,Cat,-464,310
rrwqtzxkni,-154,vublgjhvsk,0.2665,-0.4175
0.437,fxryaxqicm,rcmmbcnxun,felkssqktd,DOg
-0.3305,-0.2915,-986,flvpolanrj,-0.441
acgnjfbddi,DoG,hblzkxxidz,qhzqwasuru,DOg
583,429,dOg,132,-943
309,xnbnqlgwkj,dOg,caT,-728
0.0535,Cat,CAT,DOg,-376
-0.0365,-150,DOG,bnaylwvfen,-759
-0.266,wcbesfohaf,DoG,-0.0115,oxbieczxnt
rceydoaqjg,-0.4335,-0.466,0.436,CAT
465,ylfioxicqd,-674,nmkmpknruj,qjpudhrpev
