gxcntvcnrs,ltdcqodigf,clihsjiouc,wvfoihtawk,oxfnbfmjkd,PET
-0.2365,568,CAt,-0.4895,sthdyqbgcn,mbmxrjbqpn
0.094,CaT,qrhdhhkmuf,-320,590,0.3445
0.436,-0.4385,-0.448,cAT,DOG,DOG
494,xvbtgbbbxv,700,0.3825,xmxsxpcrxz,Dog
DOG,0.2625,961,zeuiilueji,-0.3365,dOG
-0.4645,pngglsuiju,0.177,0.468,cat,CAT
-316,-0.0845,yeazrddrvi,797,-0.251,Cat
zoqdiujaew,487,-0.4275,cvxgzcjepu,0.4915,-0.2035
vkpbelzwvy,-0.0855,-0.209,rcytluiagr,-163,dOG
0.13,CAT,llbhdmhygn,-847,298,dOG
-0.356,0.1955,lrqzqzbtgq,wtonufigrn,0.0775,cAt
ysszouionj,0.067,fwzexduefa,984,-181,CAT
zbfbklhsfd,172,Dog,-834,-0.28,cAT
jgajcrtrqv,cggnmafhub,0.442,-402,0.4255,cAT
-0.145,szrhjiyxkn,-0.239,-0.3845,dOg,dgrsqjswme
hlushuwdwa,gvibhrucwq,qwfsneggyx,CAT,DoG,cat
-0.4425,938,-0.019,wmazftlxky,0.11,CaT
-165,dOg,lnprsvkayc,985,xmxqzpucib,doG
xpczdzougs,fsrythfvwl,359,dOg,-259,bkixbhzero
617,qqzydmuuly,0.1325,Cat,0.353,dOG
-291,-450,syeeqyefrk,55,caT,lnxugoydlg
qwbuouuhmx,lbkfyrwrmz,cat,42,-0.1625,0.152
824,0.128,0.391,0.2705,-513,dog
0.254,gctwprxjmn,Cat,Dog,dOG,-739
caT,0.418,vxvrevpjvw,sqnirwkzef,0.088,614
0.2825,0.125,-375,0.286,gqqqxtfrwt,DOg
0.453,Cat,awcugmosfw,dOg,0.002,663
-0.2005,cdrfdcloyi,bmogdcqeby,sdbppsoxjw,caT,-223
-0.3295,CaT,482,0.1185,Dog,dOG
967,386,psftzwkmux,ydkhksgcyx,dokdvpxakq,DoG
dOg,-0.1725,wgnjxhcyvt,677,-0.37,caT
0.26,0.037,dog,lkatsnfqwb,-238,caT
htadrobves,jihdxaumxv,0.1325,-508,0.3885,DOg
0.367,utrleknarl,cAT,fmwlkedsgj,-308,DOg
-0.2485,blwsgqtvpb,0.4055,0.04,-540,DOG
dog,-0.2195,-0.436,CAt,-187,dog
-558,893,sbardteorl,501,-0.247,Cat
zsoynptifk,cAt,fyefpvkovw,-317,jtiiglfccv,-383
kjdpfyauar,0.356,CAT,sjategcnwm,0.165,dog
yqvtwvtysw,-227,kohgqnabvx,774,-303,-616
cat,392,-718,-0.3945,414,DOG
-980,-221,uadtqmaejc,0.2115,-806,dog
170,ttafxculgh,0.472,0.3125,jrmylvkkoz,dOg
540,-593,-501,kgwqxuwmca,987,DoG
-0.43,caT,-0.198,svlmlmglru,0.0355,DOG
-0.266,pdqmaezjej,-722,vwdgqygspy,0.084,CaT
610,1,lcwityousr,416,DoG,DOG
DoG,0.3205,0.131,522,0.0945,-0.454
-0.4035,-334,yxxiwjauzx,391,-0.2605,DOG
678,-0.2,cAT,ygbapstdbm,ypqzydatfo,CAT
0.1905,asubxdalbt,-0.3675,nsddnqdyvj,720,CaT
-0.49,-190,ifngbfgmsr,hcztbubhig,lxapnuhpso,165
-0.4765,0.3145,Cat,-516,DOg,358
caT,qlebpgbdjn,-853,ijugflsfgd,347,dOG
anmackmrbu,xhhdbtfjlu,frdfqywiqm,cAt,-546,cAT
-0.1525,owfrmdmmzz,CaT,xbfzdgluxl,0.0205,CAT
-295,811,-0.2905,fgwxgplzjp,yotvqefiyz,Dog
lfwsdxnnbo,uylsmtbpqh,-0.3405,659,-0.441,cAT
798,CAT,teemlzijsf,dog,0.25,-955
cat,cAT,0.42,311,932,Cat
-529,-0.226,-533,0.1445,266,doG
dOg,kjuufwyztd,-0.151,752,-0.206,-0.0855
DOG,sslpvwwchs,0.031,cAt,-833,-0.0465
0.431,gpmmsmvphf,504,jacbhlesdu,doG,dOg
74,0.15,0.217,-0.2345,CAt,doG
Dog,-0.048,fcusvuyhrn,affrblaejp,0.4905,dOG
-467,xcyjudejik,DOG,fiubhhcsjt,474,cat
640,0.1845,doG,dOG,whxomosttq,cAT
rptdbmdmsb,-531,-411,-996,thnpwxesdi,DoG
xtcehpxipg,0.22,-0.0795,-819,0.0845,cat
723,384,DOg,qpymwudxit,330,dog
-952,-0.2865,Dog,CAt,paanbqahdg,170
-0.493,doG,xbfyfzggji,-0.379,CaT,-946
DoG,doG,Cat,518,DOG,dOg
dOg,-0.2215,509,0.315,jphdbvunpy,-0.454
ktfbzgtrlr,-17,-0.33,caT,917,cAT
0.0055,0.2295,caT,CAT,cqiijrkigv,DoG
374,0.2685,666,0.2065,0.4965,Cat
azxjzxdxny,gvajwtqbjq,dog,-0.0855,182,ptyoopdsge
caT,0.0805,795,czgqhmzufr,0.254,Cat
0.3765,597,zmxmeecdru,628,0.2845,DOg
oaplxhjhlb,-0.4155,DOG,-0.4895,-943,CAT
-851,-0.2635,-489,DOg,qvqvrfyxqk,-0.206
130,-0.0165,fhigsdjyna,pwsozlxaho,242,dOg
-0.041,DOG,-0.228,smmtmsoolw,jsxuzmpgtj,doG
-0.311,-0.2435,-563,-656,xjzckdslzx,CAt
-364,241,DOg,DOG,gzrueawfre,pxxvcklygu
gztvcwznlg,sugiujkgnw,dmpktmnzzy,0.139,xbfqujvbcm,cat
nrnoecnjco,daoifyxxaj,Dog,xbbdjfffsm,-0.369,cAT
