dpezpzkses,fqskbyayls,pcepkaalqu,tafsmxarbg
dmvsbldeib,-0.35,yawitqyppt,cAt
dog,-12,179,DOG
rsiiposdwg,950,-669,mubitojwpt
-0.021,0.312,-0.021,-68
adhyiiozht,-0.3365,fkiurgsgot,232
-98,sclkytyltm,ytdjtkizfr,266
-65,0.0365,DOg,-0.4685
-0.038,dOG,-0.256,vkspvyapze
754,dOG,686,0.275
-0.4505,-904,-0.008,xageplsnhl
caiztiyrzi,DOg,0.0865,0.285
0.004,-0.4425,CAt,ddezsmirxk
403,-925,dOg,eovugitxuf
cjnhynobyq,-644,CaT,fvergmzydu
fnfdcfcjug,ejrxsvbfek,CAT,DoG
-0.2905,-52,447,rhlijxnxcz
yrwluzrgjp,dog,fymprrmiec,-0.4825
-739,dxyrybqovp,cAT,etfskmemlt
hrjdghrplh,-595,-603,mqkffvvwro
tfebxsupqx,CAT,-0.3465,-0.2395
hohmqtufdy,-526,-385,CAt
9,DOG,0.2235,atxruxcqxp
0.2465,-0.494,32,zebgcfkllp
0.472,-0.291,kjrijoeeay,-0.2165
DOG,ggcuqbpnap,0.271,-0.4475
-0.379,CaT,151,bqiigbeovd
plpqgubsmt,0.47,0.192,ddqpqdbapr
knimmcwrjg,0.019,DOG,CAt
kjybppcywc,wkyozuafni,zuxpwsjewf,0.2065
kkepbhabnp,-0.3085,0.0165,-643
itohtbshbl,-134,-499,-663
0.1665,28,gtmvgvfidl,0.205
0.467,DOG,0.449,DOg
-0.0165,CAT,dOG,0.403
dog,ggpbrwagwx,535,5
-0.335,xaomllufle,DoG,cat
Dog,-0.0585,-0.448,ykotqjtknq
73,CAt,456,kbxlqouinb
bnkteshapl,0.1275,484,-0.2115
-0.387,-0.0045,asqcaxsjym,-639
966,-0.093,yvujqdtrub,cat
0.168,luhccqienh,0.4285,933
onfzcoqttu,955,yyykilzxlz,ycvnnokigl
0.1115,745,-576,144
0.174,-644,-966,-495
timbgzgith,-326,-0.2865,357
-0.1285,704,0.4305,uhxnvqbuhf
390,-0.4765,815,-0.4665
0.072,mtjbitesgb,-616,-59
0.244,472,doG,DOG
CaT,250,118,gtqkrgtaru
-0.39,0.151,-0.185,cAT
-0.2715,88,dOG,-740
169,-0.0955,-0.3155,0.3855
