qdrgqtdbeg,gpuwqdytgk,vqayukwsex,utwvciymhi,vdmvwiykwa,jemrbbdglj,bgsypzguzk
eztgtjltbs,Dog,-745,-861,wvlxsmyzqg,vrtxcdkqsv,0.194
-969,kttbmwizin,dOG,237,-0.097,272,762
-625,0.2215,CAT,oflrnzfjwt,451,-0.475,ypwovtrqxq
fwnmelpzha,jgzuvjmtyl,zfbnybdwfp,DOg,Cat,286,-270
0.027,290,-0.335,lqvcvwvtbm,ogsmxeekws,0.069,0.1
giraiulqkr,DOg,-0.3315,Cat,-0.4305,tagazoccze,nbbviskluv
-754,0.2355,-0.1675,jrwaakrnqm,hhnfxlosul,-565,khrpkxvvbi
-993,0.4755,0.4235,-462,erksdpfbbc,0.409,-0.2335
-330,-0.3755,-254,-502,-118,xxjpwreuys,ekoxnliins
-113,anznzdckik,254,bpuidqnysi,pcdwafbram,70,86
hlnlozmlpi,dOG,DoG,-0.035,Cat,pssporqesc,-266
-636,-0.451,cAT,0.487,0.1875,-462,-0.1175
-527,0.107,367,-152,-0.1355,535,mjedgpggwe
muyoacezoa,ctmruxothw,908,367,cAt,-140,hkkttvdifc
dOg,-0.141,xeeulxkjdh,dfvnmbevev,0.1595,0.459,pchjmrrimu
526,-0.107,CaT,-0.3235,-0.235,fqftghxexl,dOg
0.327,-0.02,-631,uexwqkgcmr,pgacudjzlp,dOG,-97
-0.1655,-0.4735,709,Cat,0.4875,-351,-167
470,ouqnaejvhy,-0.3685,928,-300,4,bspbwbvrwv
cAT,puwdjimsyq,0.4015,Cat,0.4785,49,0.276
-992,iazuxwbzgx,ardlgmseqv,785,vlkubdihab,shbpndstma,-0.0665
-290,cAT,-0.4705,583,-119,dlibuhkxlw,DOG
425,-0.1785,382,-0.455,673,ckztobapsy,rollmheges
-0.2395,jwcbncpkty,-0.0885,-481,0.1405,exgfeqesze,ciqaeyuuki
0.297,Dog,400,140,Dog,cat,gbijdzfnjl
-286,231,cat,-251,DOg,CAT,Cat
dOG,vcjjpaoajm,CAt,fvswosqply,CaT,0.163,-527
-42,711,0.149,-0.227,irdpvztsfp,-464,-0.459
768,basrfeviiz,cAT,jvmjhzrvdh,-0.249,219,-0.311
poccxnbvru,msmrdvmfvg,vnhilixwvf,-0.444,mfyxnxmmpr,cat,-0.4355
gyrwmavzny,595,-320,-329,wyftymtbtv,Cat,-102
-0.455,966,vpljowutdm,qygciaxnsa,776,425,-0.355
whidooxuag,skmdnwuibm,DOG,rtayyxxoic,pzggfrgfza,doG,jfzhsxlzoe
Cat,-666,hcnimmyoje,lfzwcnjyuh,bsusjfmlce,CaT,gimpcmlgtd
0.0785,ixlbfivtzi,cAT,-969,dOG,-0.4645,-527
362,CAt,811,yvvitotcrj,Cat,389,494
860,-0.4775,-0.4595,DoG,cqflhlvdml,0.123,ecwoucvngw
xaoecohyqh,710,pfhueqattq,Cat,pmhqbvoshk,-0.368,cat
-799,-0.13,DOG,oxvfveezly,-0.306,0.2825,ctgmgfurmm
dOG,-160,xxosglujbg,dOG,vaugeqkpyv,ewfktehnav,rnotbddwlg
48,0.2775,170,971,CAt,684,825
cAt,oppeazmoft,0.3265,-241,cAT,0.3885,-263
-75,hpnpezbrvx,Cat,-0.328,rzpdzvebge,xgbjbyqaca,0.0845
zskcmcvzcl,-946,362,-0.2155,951,tsxzxsnxur,cAt
0.49,whcasplrnn,0.014,0.0515,-0.4755,nxvqabbcok,zrqtarhiul
-671,-0.4555,goutochqxu,49,CaT,960,-102
eaclxyosmi,pgdipztbuz,-0.499,gjermccjvu,DOG,-0.3675,cnopdljhbd
dajomuhfyc,612,-551,0.118,sfjdvlxune,-591,-483
-0.0975,DoG,-478,-879,0.37,0.326,0.2975
556,hdndhnawtj,-0.357,0.408,uheztbhpxi,mfezeywrrd,414
