gslepdpfdr,qbeumdpryi,zdogbxuvra,rcskoqgpgb,reeneldcgm,peT,fynazrmoym
DOg,236,chdnyqokne,-0.19,edvzndpjmu,-126,DOg
68,sgzofjsmfw,0.058,0.0715,329,Dog,-0.379
xcwydgaunt,omxtnhphst,642,kfydperprb,-0.303,DoG,mfxfkodiob
869,-0.328,cat,mrlgptkzjk,234,dOg,21
0.3465,jbfjgyxtmb,caT,-0.392,huerxicbpb,DOG,-0.3115
188,Dog,hmuizazaoy,-0.2145,ljjfgcbicu,Dog,981
-0.409,zaiizwceoe,0.156,0.1745,400,cAT,cAT
hcanvqsnnx,qnsvphmtnt,-543,0.475,0.417,-0.155,0.1435
69,schjexvpct,200,-3,-0.239,Dog,0.104
250,0.163,iovrsdxqyy,ryvolqlrzw,-0.081,cAT,-0.364
-0.2375,0.1905,widyukdbpb,997,rjvxklbcqj,DOg,fqnbxlauve
DoG,pcwgdswnpn,hmgmdcrkxi,-0.1375,dvyzmkozdv,doG,153
mhfjtsrzru,-0.283,cnlsxmnpox,aqphjnwruu,qyrulusdrc,-0.2435,DoG
hramrzxdzf,0.1655,-172,213,hkofeczgjx,doG,271
592,-0.119,-0.06,kjieutmvgt,lswrplpcoh,0.3565,0.032
-668,-0.3705,zhutlyacio,camvjotset,-0.236,caT,-350
CAT,mvaqujusid,Dog,0.2465,-465,0.127,cAT
0.4155,-0.194,-0.2415,0.1745,xhbjsjhmpl,64,dOG
221,bukeeuewvv,Dog,caT,-996,dOG,-411
0.3385,dog,glfgxysneg,cAt,778,DoG,175
ejasgvrabl,mlztapjwzx,vpcxstjgiy,-0.392,0.495,Cat,117
-248,924,DOG,841,0.3425,doG,0.2785
0.4935,-762,nkhwrjkfxt,0.3415,-377,Dog,0.4405
DOG,irjqzmvlfw,-0.0445,dunnvnhzmj,-0.3975,DOg,0.484
492,0.4425,-0.4605,ipphqfhyam,-0.4515,cat,zrrsoaqrqp
oyqaqjdzfj,-0.4555,cndomazadc,tgwdurcrll,dOg,904,xujmcvtcac
CaT,foxluacfly,zmpppcqqty,0.45,340,pnawztwkuk,DOG
wtbcpqjvgf,Cat,Cat,ndgzsbbngr,iemdndjvut,0.416,714
iykrqmuztq,CAT,DOg,-0.129,zcdvnfpqqb,cAt,pddanxjnoh
gqauwjspyu,gztapbbsxi,-498,unimrcmxmh,72,-0.439,476
DoG,-0.265,831,gcqgjltooc,-0.427,-0.3655,dOG
ukcodjonnu,phdqfusvqj,-0.085,mghjxhvzub,0.127,eukdlnkicl,-654
-215,limfgujpfl,0.497,-0.1755,-241,DoG,dOg
0.474,-282,0.013,pvobtaskcb,DOg,cat,cAT
pofizelxvh,113,ceucxvxgxn,dog,-79,cat,0.2635
dxqbvqdxve,-51,fpnlzqtrfl,314,-0.3155,0.1205,Dog
dtksrrksdz,CaT,adlhzvxozq,fuswzwmnew,-124,0.132,973
465,eepbxfwaqt,CAT,bexfcwqhht,dog,dog,54
cat,bhyfbsnxux,0.424,0.118,CAt,cAt,zwvhncoimt
jtbmxgrjce,1000,Cat,xjlinmhhck,-0.257,Cat,-291
0.097,786,-489,DOg,899,CaT,-0.4085
yhtzvuyghz,-384,0.408,-0.1715,208,CAT,-0.2165
-306,0.321,caT,-772,601,caT,leidxtjhgk
0.4355,166,-238,0.402,bmppinfnrv,CAT,-148
jtghzgokdc,0.1285,0.126,mdkniuphju,147,DoG,-364
-0.3015,dOg,cat,90,oqzzooimos,dOG,cat
516,CAt,0.4965,nayizfjbco,-0.2715,DoG,-304
Dog,0.335,doofnqayus,cAt,386,CAt,cAt
209,lrfozncour,CaT,0.0605,90,cat,-0.1735
-447,gunfnfdkdn,-279,-0.001,-0.128,dOG,-484
Dog,iqtoqogoak,285,DoG,dOg,-0.052,rqauuikwdx
nvjcxbgrnb,dOG,-0.232,-459,cdbmbnqeap,Dog,0.077
-0.336,gzrxdejumu,0.1005,-0.5,-0.207,cat,-0.0695
scjvjoajhk,edbpwbebwr,522,cAt,oqzfbxrhzb,doG,elroxgwcad
-0.0845,dOG,-44,DOg,-0.4475,-287,cAT
-0.084,-860,CAT,mtxytpyydr,326,DoG,ozphzceyxh
0.3555,laayqrjurw,llsberehty,453,668,caT,dOG
rnaxrvlzko,-365,cclebhclzb,cAt,-486,gfmbvmmjwa,caT
0.0095,agtbpikuzw,etvwtthyns,0.2805,fqaecjvpmy,cat,0.0555
ftsicczdyo,0.219,CaT,jwgqtaozjq,cAT,cAT,232
-0.345,718,-0.064,yjxkzhxpwy,-625,DOG,neadwfzkbn
-0.115,-236,0.324,646,0.217,CAt,0.1215
DoG,0.2025,750,-0.0465,odtafgdiof,lqqydplrlj,847
cAT,904,qulnutvnde,-793,CAT,dOg,anucdoomlb
Cat,-186,Dog,0.1215,0.0155,dog,dOG
sfejbbsaap,-313,CaT,emwyjgbxzk,0.053,dOg,403
-0.2395,ixsouzfxlu,jjmuotwavg,caT,DoG,840,0.4695
-435,-0.2825,-25,vvfhqdhrxa,817,Dog,146
-500,dog,-495,hpkyqaeddx,-192,cAt,-0.1885
-284,466,qawckwiyqr,-0.2615,DoG,Dog,-293
0.4,-754,cat,-409,cAT,CAt,-0.185
ekwepgzosg,-0.1545,0.2465,0.258,mnrugrkool,cAT,745
504,650,dOg,ybcltnjqna,CAt,pzymjyxpfs,-0.2355
0.0165,-140,dhweagjgbu,cAt,254,-817,-368
297,-0.289,-516,caT,rkmokjuovb,dOG,yosynrqctn
-425,hixcnfpqvo,456,0.115,cAt,rxygqvdogz,-0.336
0.3795,-0.279,-317,qtvsesvkuo,-0.1295,-111,-755
-705,358,437,318,705,dOG,-0.428
eeczsdplhv,CAT,dog,zigpumoowk,epdprjnoiu,-731,-220
-0.3355,-0.0825,-562,Dog,0.224,CAT,nepsvdmcth
0.2425,DOg,-358,dpjqddburp,vvywslmasg,cAT,225
-291,-0.067,-0.1055,taxcdjxmie,cjyuorzicq,cAT,-0.29
ygaoygnxkr,935,0.346,sindqratbb,-791,CAt,sxvapszmng
0.1505,ufbspferxv,-836,-191,332,DoG,0.3965
436,izcbpjmbdl,iscjtemept,njeuyvdkku,0.387,cAt,-689
16,cAT,213,DOg,-0.4045,-0.231,-753
-981,xrfrjtvthy,-0.1235,gcmweofzod,edgkhgkyut,DoG,0.496
jcfkxpannq,Dog,DoG,425,265,dOG,0.1495
DOG,-181,76,-0.358,-0.43,393,rymlzfzyuj
529,0.217,draimuktiw,-0.171,CaT,dog,jkmovslqms
0.395,aagirzestk,-0.055,332,-678,cAt,-0.3315
arisbskjdt,-743,maigpqlqpv,0.437,0.239,CaT,opcaovbrld
761,-0.397,0.4055,DoG,0.2135,-0.4225,cat
479,-0.212,0.1385,0.21,-0.062,DOG,tolonrbayk
-347,-959,0.2345,973,-315,-726,avyizlckgp
