qwiydalbwr,tyobcurmrq,eqqypydwrl,kozijkbbrz,cobvkaxlpb
-291,-0.0945,doG,xqesuilaom,caT
578,820,-0.4165,877,CAT
-742,DOg,-0.2995,appsbsnbsy,0.009
cat,0.04,dog,Dog,ddeofrqlcs
309,-716,fzuetdetfu,814,aqypstwaer
996,-0.023,-389,-813,0.0105
puhixlkqmo,-0.1295,cAT,DOg,dbnfmewotq
-0.4045,gwinxwomvp,xsvdpxnnzh,-0.2295,131
glbfcgfith,0.395,dOg,-414,gikyclrehi
wcyjyyywkv,384,0.054,-0.441,DoG
-128,0.121,yavfjaskyz,-796,ekpcppgfzc
ictuwimunt,-0.3205,-0.1655,0.159,mniliqixdc
dog,CAT,481,-0.038,713
0.3345,caT,-0.318,-0.487,tkmgblgnvv
jeszssyuty,sugxsceudw,372,-0.2065,DOG
-0.1105,spzkraiwgn,0.415,-423,0.1635
-46,vsfccxcmwg,601,-0.298,856
938,-0.182,0.081,-0.3485,537
-0.211,nbnfsaxxtd,-874,qegcrkavou,-0.1535
doG,cat,DOG,0.435,0.076
0.1975,0.1475,445,439,kwbyohfejk
axoxciaxwl,-898,iklacgkpdo,0.0325,-0.142
-0.1595,984,0.0115,0.083,434
ixmccrnldr,158,-0.1275,819,-0.0185
cAt,-0.1005,eddifqgnst,0.4465,Cat
DoG,-650,sjuvfuvbdn,CAt,caT
-12,dOg,123,617,dog
szrqgiykzz,CAT,465,zdxpsjnsar,doG
fjuctontze,zzwtwpgadd,-0.446,Cat,0.396
-0.0635,-0.4215,-525,ujvfzmkzep,0.4795
iuvjmmftzz,cAT,-211,0.3195,-301
-0.386,0.168,0.105,0.445,dowfunjzsj
721,caT,CAt,DOg,0.311
0.4995,CAT,knohbqobdy,gcqwcyxwkq,lhcfnfvcky
-0.36,DoG,DOG,sjcjexeovx,lbwhkirups
hwdsgoujbj,nymvwocwgk,cat,0.118,-0.0185
-595,3,rnhklbmdld,0.2,asmeywomey
Dog,919,0.1145,mlmjqgssfg,297
neiqgqxroy,oaciaoadch,zqgiqpfbtn,-665,0.1905
bozczfaylc,CAT,-0.2,-0.3065,dOG
-147,-0.1535,0.225,-0.4695,rjpopfrayx
cAT,DOG,cdahbvmupw,-0.114,cAt
DoG,34,-0.062,-0.427,-744
-237,0.149,56,-0.059,qjsvvmzxor
nrwyerkhar,CAT,lszmejxlft,mfadrdkgcm,DOg
yualkzlmgf,33,-175,0.323,anolmkwudj
-0.128,qnwiwtwyxu,-0.3835,-0.235,-38
wkgmjgwyyh,szzhvhpyxs,DOg,0.2035,cat
ssdkcfnmim,dog,mfhlpxituq,0.4935,488
estxwbrcvg,-162,-0.0505,606,CAt
156,CAT,91,-874,-0.361
DoG,636,voyatdqbbq,693,CaT
xmnfhvqqly,djridhwmum,680,-943,-69
vpirfbtgnd,vyawuicqgx,cat,jkpmmogehc,kwuvoqukos
-0.448,0.08,-0.322,Dog,CaT
133,CaT,DOg,-479,DOg
cat,ajdzfvqsqt,vfgfqjeplv,lqwrsmglre,-0.2705
-25,opcutfgfrn,jfhblfrkcj,0.248,iqnumgmhoy
dOG,418,jmdniymxtd,jtyrgfhwze,huktngwfla
quhoxalvcz,ttnqfdctjv,DoG,ypuljqdzlg,vfmbuofjsf
240,-0.2225,-0.279,-0.477,-0.119
-149,-427,0.048,483,cat
-0.353,0.2695,epifpjyphm,dditmlvfog,srspitskvy
