PeT,rywzadlgtm,sjxifcfsyh,dqqnaeuufs
Cat,723,0.376,-0.0875
dOG,-366,DOG,CAt
Cat,alpswrpbzk,fyojyxfjkv,-648
-159,277,dOg,79
vfzpzbrtjg,-0.1315,wawrxqcsyj,xrrwhosnve
CaT,0.163,-162,99
qxwdbpwbsa,dkymdeotpj,-393,cat
Dog,-750,cAT,0.136
cat,0.313,-0.2065,0.065
192,0.4065,-0.2015,-824
Dog,caT,-823,-0.497
dOG,bozmippfqe,-0.317,lmskrbupkz
ysmpyncgks,caT,gchubhpoya,-192
doG,459,-816,fzagyfkreq
CaT,0.3895,-0.1835,ayymxfmlve
-248,ziikvhhvxs,ekjnqdcnaq,lxmesttygs
964,cat,lqtgqjivyr,828
pvgcuqjdjg,ttpbnxmyuk,368,xafwwxbtea
cAt,-949,0.0185,0.248
dog,-0.4935,121,dOg
-0.495,149,629,xynxckrncl
doG,-0.1575,-0.1745,DOg
0.426,wszfjxakrz,juvsujrtsv,oerhgrozqd
DOg,cznwpxwavl,0.1085,0.4335
cat,-694,-695,496
DOg,-0.4525,-0.4305,-559
dog,DOg,76,cAT
cAt,0.1205,spzuxfrnfj,egfuenmjqi
kujnxoukpi,-0.199,0.482,CAt
cat,922,280,-0.3025
caT,975,925,-8
863,cpjronjapj,tlqdcwnurj,cat
-422,mqfvupufkw,-466,ylobotisod
dOG,mubyvivczw,-689,Cat
rsdvfdylna,0.359,-241,cAT
CaT,-642,dog,-0.339
-76,Dog,cAt,haidxmhhts
dOG,364,cAt,0.3855
CAT,891,gzjchfexzg,-513
cAt,0.41,0.184,cat
0.079,Dog,DOg,sserzdxxxy
yjeiaokppr,740,-190,-0.139
dOg,CaT,-628,CaT
CAt,42,fivqletbke,-0.0435
DoG,icaqksuesr,153,smrqqwubzj
dog,DoG,-0.0755,464
DoG,CAT,CaT,-0.0845
CAT,507,-457,-577
-186,CaT,kliiooqloj,-0.4805
cAt,ibmtjxitly,Dog,-0.1625
DoG,968,mmtompatxs,-581
dog,251,uyfbopxfwr,-895
-0.144,-0.0405,-810,-663
Cat,CAT,opfpyabhao,CAt
-0.294,0.033,-0.4695,48
tfvzzpvwwv,-0.1615,DoG,0.199
cat,cAT,0.3295,166
pajyzuldpl,270,-237,0.355
CaT,osekcbkspt,Dog,qpqssdamjh
DOG,-0.1315,726,-0.472
