kwjgkfpzap,nyqdrzixhm,vmknfvopjp,ktyjnlvltj
dOg,cAT,0.3175,Dog
ctbzjoinhz,-0.261,-0.3475,zunqpqtejz
-0.287,35,380,226
nywwvniylm,750,uxhdjzedoh,sinqzelwub
dOG,-0.209,-0.0445,0.2115
cAT,-69,DOg,dOg
-0.458,Dog,0.067,416
-808,mlwglgwuwf,zxqrpowcat,emecyusqmr
0.175,0.1995,-0.046,dOG
ydrfqkcihj,cAT,0.373,-665
-0.0005,-0.12,693,yubgvponza
0.1325,zjdglehcct,-467,dOg
-503,cAt,dOG,qkjhnftqaq
wdxxhvbuxi,-0.2745,0.277,cAT
0.4885,CAt,Cat,-947
dOg,-902,0.498,CaT
CaT,CAt,0.207,-757
0.2555,-0.0045,0.148,510
-437,-0.227,-0.1435,377
mufgjzkbth,vqznfbdnge,0.268,-487
cAT,odxttqncnd,-0.2635,911
-400,-0.4585,dog,995
DOg,0.425,498,-921
824,0.2275,cAT,Cat
otdsosvrmb,DOg,CAt,-134
gjlelikrkr,tlohylszms,-519,Dog
689,802,-906,cat
-617,-0.063,knjimdooqb,fyzhimzxxg
-276,0.3955,-0.1105,lyuyycafzu
-721,ugxuvjdpac,-257,hjduollvzq
-0.3155,apjwcodjli,-442,323
yheqyojgtx,owqwcjavjw,doG,970
ghrmvdxgxa,CAt,-20,-0.041
-326,hzknhuuztu,762,481
-0.434,708,esktyyyccl,0.2205
