xeznltdpnu,grwbdehhfj,peT,fbupojdhle,juplzjsrpg
zizftcufqg,uksrbywtuv,0.261,rncvherloh,owezpqsxjp
efuydplyzk,0.0975,CAT,ggxjsplege,246
cAT,CAt,cAt,lsteljtzxc,-175
tfpiyfgqyr,DOg,CaT,qohsomzcbl,-801
-877,-0.267,0.486,olvkilahgq,0.289
-74,wxufrbfrkj,vyzkejcbcv,efxaxpfxpg,cevrcgceuc
oldvorkhys,ffjwgodbsq,0.1265,-86,572
0.1355,dOg,0.258,ndjfvxyktg,0.323
357,0.166,sgoouwpsii,zgyfzdfusd,CaT
-937,0.488,DOg,dtihitrwsq,-0.12
cat,-0.3285,cAT,-0.42,-0.0115
meevrcopjc,ugmlwmhxie,DOG,-111,176
dOG,cAT,caT,cAt,CaT
DoG,gvovnyhyak,dOg,pyfsbbsbus,gbwphatizw
-934,oapykspxjd,DOG,tuyetfqdmy,0.393
-346,147,CaT,cdvralrzhz,DOg
cAT,0.4305,CAT,-770,vpfzptnmhl
udocvxpvhl,oazrlhcami,DOG,dixmrveidf,102
DoG,0.445,doG,0.3635,huhiqidugf
-298,-662,dOG,nkdieijmle,-0.1845
xsapuceawu,-0.486,uyujlfooqv,943,-0.3145
-0.0625,kccwijkyju,DoG,cAt,-0.172
cAT,-0.121,CAt,doG,dog
vxwxmvlkzz,dog,caT,caT,-895
-681,0.291,dog,312,dOG
-703,Cat,113,-0.302,792
665,inipeectfn,cAt,0.0355,509
-0.163,-0.2225,fgfnurpmsq,-569,CAt
-115,-0.079,doG,kohnznkhqn,jmqnkqetpo
365,esjpsszaom,698,-8,haefwyqtjq
zelcpkqmkk,-0.237,-705,bdbslxblwv,259
0.344,-405,Dog,miowbuohai,-252
-0.1465,-810,oqtjkuxbfi,utvkzadapk,-352
306,ibunouwsru,CAt,CAT,0.454
-0.484,favzjtfkey,cAT,959,-0.2295
0.3055,mfeggddlif,cAt,-0.2565,0.174
664,0.045,CAT,-28,rrmklmwqnm
-0.398,643,CaT,-0.462,942
-0.2435,729,DoG,zndgzpnrvy,tyranwmciy
-0.309,-0.0865,doG,0.148,-733
0.3225,329,acroapfkkx,609,axpqdpndye
CAT,CAt,Cat,cAT,883
-33,0.1545,dOg,141,fgfivlzudk
-0.259,fkklsljjop,0.163,fhtvdypzpo,-30
-0.343,dOg,DOg,febxxmydad,nthbgeiblo
DOG,-0.1175,doG,-0.1795,fsuccgqdiv
-0.2765,cAT,-325,xmpecvhczi,-549
-0.106,-516,DOg,cat,0.098
nknzgxkkes,0.0615,299,dqbcpzeiwc,-0.4155
74,0.2585,dog,-0.209,-0.443
-0.23,841,DOg,Cat,0.442
lmwxntmxea,-113,cAt,576,jzbesamclm
913,0.33,0.0075,dOG,DOg
0.1395,-0.009,doG,164,0.0945
-150,bgonapsixl,974,Cat,770
smqfcuwrwc,0.4765,CAt,dOg,-343
nhsjqudins,nlxqzjyfbb,Cat,-942,caT
-0.159,ciucoeveck,zpumcqhmic,0.314,luhrfedjeo
-328,wkvyriqzey,CAt,-0.248,imboxplkrw
npnbyraznu,111,doG,cAt,DoG
-0.309,rnblezvrio,CAT,-215,-0.4105
627,-0.2015,CAT,cugbcvtvjw,cAt
0.4105,-0.1785,ewvkbilyos,CaT,ptwrwgptje
koaanmrtzs,-0.0335,-0.4275,-217,ilxgcvahcw
0.4225,xhkkcrvini,caT,0.4945,0.3665
-838,dog,doG,-0.3555,vgalvwfhmo
-492,-705,ivjmvuqmrl,653,cat
907,0.21,Cat,650,oshtbruapo
DoG,ncngdvxrvn,DoG,0.091,179
ozlecfzwvk,585,DOg,336,dptxvkztgn
-147,jpxibbjuph,DoG,jxjbtcnlry,doG
Dog,669,cAT,-0.3995,0.345
dOg,omctszapyz,CAT,nhrdngejrr,318
0.4445,-62,cat,-0.032,395
0.3785,0.2475,Cat,-0.4845,doG
Dog,dog,doG,cat,-0.448
-995,0.0875,cAT,0.1015,rdojcwwnwv
ljnzajlcaf,xsorqndgri,0.1665,ecwduvifjn,cAT
