qlztkdtuql,drkhzsjhyf,euukltehix,juacekiplc,tuajofyypf,yqtirhtmdb,pcycrricqi
xhxoupjvok,-0.213,kgmnexnsfx,-849,qafzhwcbmr,iyytnlpixs,hpuexnnysq
caT,cat,-0.0465,anrefglhza,pmfggzxvfz,-199,-0.111
555,tkdonshiib,cojysryjov,cAT,muknyljdbe,-0.3,-0.4455
0.1365,jlmlpwexce,0.257,dgbzdnyfwp,0.3465,929,doG
-931,uaocivhaja,-0.3865,CAT,sfacwgrmid,-399,-361
cAt,-0.398,cat,-0.0675,0.327,cAt,751
-0.4535,-584,bxjfuitojw,odbgctkdam,caT,jxxxzkrdph,-275
Cat,hqkzwdzrod,352,CaT,dOG,317,416
gserqqrtxw,0.482,-0.015,0.0385,-284,dOg,0.49
fmffrrsmhf,-0.118,qipmflskla,0.074,-834,0.2945,rqvpttypee
-754,0.3765,-0.1265,646,486,awoaaosoih,DOG
jukgyjlwvs,0.157,arqdomhjwu,-0.273,koycuhlucj,uvijebqcji,0.3565
726,yqduszcyjh,apxfqekgdl,0.1475,-87,vhribpvdmg,-0.183
-0.389,-362,ywdqltlvcc,-0.3595,0.3445,angnetfxiy,-0.41
706,0.1305,DOG,-748,0.197,-0.272,-855
cAT,twehcfyerf,nqtsnfniqp,-415,0.137,-0.1625,dOG
mrvqipjfim,866,0.3785,0.011,mhbalusnda,-0.3675,Dog
aaqofuiomf,-0.3715,123,0.306,-600,-501,lbmgtcduxh
-329,jrnmrhbcsx,-213,anuqmxptqj,cat,917,-339
102,0.293,DoG,klqhauxcor,0.065,vpljzlkeyt,-933
-0.394,188,Dog,rwxvbefjjy,144,-700,riytyildxi
phdurpyagk,0.136,-401,DOg,-0.287,grqyzzqrkd,dOg
-0.0545,901,umcrwubsrz,-91,-0.421,-652,0.1325
362,wcoppmipit,-742,-0.3435,CaT,-0.394,-395
hkqdbpgozq,yybjlbrjfg,-200,fglcvuzxuj,yntmfcwbxo,Cat,0.3005
480,35,547,0.1745,-830,0.0785,0.04
0.149,lhsenrpycw,0.3425,0.4045,CaT,qnikhpldhi,pquzmdbpvx
-0.1915,CaT,yxrhudlskn,tfwrzlkpxd,0.4085,qjatjjgizq,0.159
0.4115,dsxzjwpfdm,cAT,sedkjaeokb,631,-0.086,210
ylpifdmmgx,-474,-0.278,-0.196,bajbrvddwp,doG,-0.3105
kexycnecia,-398,533,dog,ilvisoslyn,-932,yrtbqmzbyf
0.4975,rljliylify,ktkreyfhmn,caT,sykamklcdm,cAT,eajeptnjat
cat,956,-0.34,219,cat,CAt,767
cAt,dog,jxazixorua,0.434,0.078,wbmtzsijqr,-0.017
968,dOg,CaT,-0.1655,-439,esouhkgoxl,CAT
mfxphxncod,0.367,DOG,Cat,0.0645,845,947
600,dOG,-0.4805,gmajyrplvo,dOG,olrbbysglv,-275
-0.026,cAT,508,dOg,0.379,819,sfxnjufizj
ezppknnpts,-0.3485,jdizornflm,cAt,0.313,CAt,721
abpnpbsykw,-0.029,-0.2965,tavnhwlmyt,DoG,ceanrpxxwy,aurfumrhob
-848,cgwmqcmqhl,0.003,dog,464,xqnfpsypqn,0.3045
-676,309,ftcygbjqjd,0.14,0.4445,729,tigvmpcqmm
0.2035,-0.169,uscapdxboa,CAT,165,667,cat
dOg,507,-0.4665,0.425,cat,dog,-0.4965
0.058,349,xvuaxtwjtd,caT,doG,jitbpgpvyj,ebkzfilkdv
dehmmwktlp,fedmfxbopb,nzubztgdum,0.143,0.47,doG,-0.0795
gnmbpsxvzt,283,ndwgjujlss,xwxbjggmcm,0.4075,-181,ronmazbntp
-0.2035,-0.2695,rphanpbrus,nzwcrtwtje,caT,ffxjjcmcev,608
ezucxctjgq,Dog,ftodbwsnxj,cjaytvqzvh,6,asgezxiisj,-0.06
shryvzjjoz,vyzkqtwwlc,dog,rnonomqbvv,Cat,hmdfdcsmna,caT
-0.002,-886,-0.1095,dsfyqslgcd,-0.4995,-391,qckcfubmzi
-686,489,CAT,51,bzwepojqpd,-0.11,-117
0.346,0.11,0.461,cfaouvobms,0.297,-0.28,438
doG,-0.048,pucebakvjh,vyxfajhfek,miqzajugeu,313,817
-674,otkgbnnmms,360,jylabusyno,dbmigaqadd,-0.278,hqvbeolzng
dOG,-0.252,-0.3605,399,dOg,-495,0.0765
291,cat,hekkmqrqen,jjxzzxzktf,-0.0515,pxfpvawfxw,tssiqvmsbe
-0.0875,beqwaflzcr,-43,0.0545,0.0925,-0.267,dog
-63,0.0625,-503,984,cAT,cAt,0.048
cAT,-570,cmglgnveur,0.418,cyonajoqnq,0.27,tvflqlqanw
0.011,-167,CAT,-812,643,0.219,vjtckttjqc
yxnutmqyew,-711,0.4975,dog,imvbpwdfjj,745,-0.2215
0.2625,88,0.113,-462,-740,ibijpdqmgz,CAT
0.2925,-819,-0.023,Dog,-0.168,cat,CAT
126,irxcpzezkm,zgvzjdobzq,ejlqehjjap,xzdmjdjjpw,-0.4345,0.163
caT,-171,-949,0.33,0.0965,759,306
ejxacqamod,-0.164,325,yxhmafiujb,erljqxfnpa,-153,Cat
dOg,-0.1025,0.0055,-212,CAT,0.2995,swzxzdqsdu
mbfgoylyho,0.382,-937,caT,709,0.238,trhfhzmqtu
