cmvxjnanzo,iakxgwxiqy,iwtbralsqs,bqbitmwhkd,larlnpbpbw,vjbqgcwjfx
ekzcihkljq,0.2535,150,-351,-0.0615,459
CaT,-743,umjdohljpl,-981,-466,-0.4835
nrkikxmkiw,fsonluiahm,DoG,-0.4425,0.3445,0.387
daehrwpjcm,761,-0.3805,seobqywgfj,-0.0315,jiubhogxzd
uavygirzdr,DOG,-0.1815,631,65,-0.375
mkmfhgfqen,-0.102,qhzqqeckjp,locapxxmxr,0.1425,267
-928,DoG,-336,972,edeeywgldg,zensfalorx
0.3025,DoG,-123,tccilejovp,0.49,-49
qmyewyubhb,DOG,xoommsbxff,0.2905,cAT,dog
ikoiqhcdwd,-423,DOg,ypgygajjmq,0.348,snziagbnni
zooyrwqwbs,0.082,936,Cat,0.394,tuwdobdrtu
DoG,0.3585,0.0005,-0.0425,Dog,DoG
CaT,946,cat,976,727,985
-0.106,vvunoodwuq,-0.464,860,0.118,zyfzeofrrb
xfkdnfptvz,297,0.1575,-0.3805,cdfvcvhiuc,dOG
odhituisfp,-0.1385,idaukkmrcl,-92,-0.022,pgudglqduy
657,DOg,lqfkmftkpm,-964,bginbbnqsi,0.347
0.0755,lakolklpts,133,Cat,724,egymifpfci
iujajexhmx,skhhakdvuy,lhvqgmguct,572,llcprmrrni,cpstmxioqu
cAt,-0.1055,agczjgcqlz,458,dOg,0.364
-0.1135,-732,CAt,-0.3925,692,0.1235
0.4245,mnapdpoozf,hdwhsbppqz,ujiushbfyf,782,Dog
bfgwcgvbrx,0.025,xiibozlsbx,-802,DoG,-383
-584,takmsfoojy,Dog,-686,Dog,gvlnhepiyv
-0.0045,caaznawmpi,tlvlapebte,xrmfeftqyk,pjhxkozoqc,944
0.473,0.486,-57,cat,utoypmpsmg,-0.3265
DoG,-656,-0.4505,776,0.077,756
mhmgvpeumb,qncwoflhjg,etsqprutaq,dog,0.1685,dapcpmgmbs
agdkcfxwmo,doG,-0.178,-0.38,DOG,rdgrmayfvl
322,80,nwgsanivfp,CaT,cAt,-548
tyelmctzcb,-0.285,820,-0.0545,-969,dog
sykwkwfart,-0.484,621,-0.3115,870,987
xfocpcjuym,-751,CAT,dog,0.088,dog
msjimbgkkh,595,Dog,hnzopibxjw,DoG,-0.033
ejbyujvywx,0.2245,201,-450,DOG,DOg
-698,Dog,-0.0595,dlkyygowym,vllkusxfki,-47
0.338,Dog,xmeuvqosgh,jdizepgtxb,frjozdpori,-593
-0.405,-901,qihtywvtmr,aydlkauiyn,-249,-0.3205
dog,0.4075,isaeojqzlg,DOg,-494,czsvywaalo
0.4505,-0.3645,0.447,0.3265,-0.416,CAT
-886,-199,yakryanlsp,-798,-80,-880
436,480,-860,syvmswfxai,CAT,0.463
wcxnjydspr,-0.326,-0.271,-0.1955,-518,-610
nukxywqhog,nsxockmkxr,-313,-0.426,638,xzmytibhot
uqzlohqvyo,0.433,0.388,941,-0.109,-0.087
-596,0.124,ftlunigziv,irotzgwgel,-0.0855,-0.284
ysptvzetmo,ghgfzolljn,226,qmlivgqksk,-0.1875,kqlcmkxkfv
glbziaiocw,feyjdginae,996,rqovptkgph,CaT,905
ykvenhjkjo,-0.4705,kpjavtpixs,-0.004,0.145,dhhbkqgmpx
DOG,0.17,0.355,0.0275,cslgpukaug,-0.249
lduhrecufr,Cat,-0.342,escmdthiji,-0.1655,0.328
0.001,Cat,wsyanhkqkg,-0.003,0.138,-700
cat,953,831,0.11,548,-300
879,dOg,-0.4475,0.1265,-0.116,0.274
uiizxlwjag,0.105,gnouxsmtfm,816,-0.372,-554
227,xacsofphbv,0.239,-483,0.3855,-0.395
obfvocasww,-185,-48,-0.1675,186,irdrqhmwij
30,cAT,0.3865,240,oxjcireeic,rtianarxuf
cevhrpbqsq,Cat,0.1225,whivtyevoj,0.436,-0.0045
0.194,200,0.102,0.0575,-498,wqenowhtor
-0.0695,cat,0.3075,-0.2095,-0.186,wwimclspwh
-0.2725,cAT,odngxvpnxw,-0.2145,CAt,Cat
dOg,caT,zxzedghxzf,eksmdvhauo,vztxdklouw,-776
-0.056,cAT,ssbqrleutp,-79,wxbhqkcybc,wpwwqryscu
510,CAT,0.0175,122,809,-463
bspyoejixx,999,48,411,-357,794
eknxhzwlyp,-0.4515,-215,0.456,-242,clqbtfabxe
doG,CAt,0.35,-415,-291,-0.4945
yevgoqfzep,122,tjxjxuozzl,297,dog,895
821,-0.2405,Cat,0.0885,-0.1855,-0.0415
DOG,mppymuxxvm,DOg,cAt,mhjaxujeqe,-575
-384,hwurtjvfay,CAt,-600,-365,0.3295
522,cat,0.1805,bsdllszuwz,CAt,lrqywsxpqz
vbuhsnctta,-0.313,-0.157,-0.2315,bfhagiqtft,-267
tooczmwrkr,0.332,0.2075,0.376,0.277,rpzvwcopdk
dog,aqpkstcqoj,-312,iopscsbiva,0.212,hnxibvgaem
Cat,DOG,959,0.467,blhzpguaji,uajbwkmqvd
-916,-745,dOG,eorglgovim,Cat,-0.2805
wfnhkxqrhx,qvxxlyweoe,0.015,0.3855,0.205,263
kcyaioxnav,417,-216,0.0525,269,316
0.382,0.0715,242,-546,-649,fhemqpickz
648,0.473,dog,cAt,0.115,23
-432,825,-246,-0.1635,0.418,-112
DoG,-0.4,cAT,376,bgmnqilytr,-359
egbtiixnwb,589,cAt,43,0.0215,utfkwljbxy
iombbujley,DOg,-494,0.3925,0.487,656
79,-487,CaT,CAt,-708,648
-0.1095,mzdaisoryu,ubqseroasa,caT,0.4675,oletboxoyz
sodkafoglc,256,-367,doG,vhawwoshyp,421
-0.3465,-498,64,0.387,-818,rluxnzjavv
0.4585,0.2765,447,-0.474,CAt,aaqzuagxnp
0.0845,760,-0.261,523,jmrejblmfb,cAT
0.116,ifkrrlgocj,0.3935,twvwmlbure,-998,dOG
152,cwluybofsi,zngmuowtub,-0.036,jgzzjmnqfn,xpsuqsbtsf
0.484,0.259,235,0.4785,-0.266,0.0375
tiuimekmhr,mgmijrlvjx,rkkasgdkie,-0.168,-956,362
-166,-180,-790,480,-195,rsodrnpmzx
732,pxnolfxuww,-0.2525,-979,ddxeonfkii,joacmjuuaa
