guppqdvcdg,PET,rttlqnaqjo,qgeyxqilmq,uqubuolhvv
okmahmvzoi,dog,CAT,512,fsvvffhowu
0.257,648,316,-0.1215,0.0175
0.027,DOg,gzoxkcqiah,381,-0.2545
-164,cAT,-402,dOg,cat
0.3505,0.2845,642,0.364,0.1405
-0.2515,CAT,DOg,yiuxdyltii,90
892,CAT,qavixokrgo,-0.008,gprfmouolg
-0.405,cat,DoG,-0.109,dOG
-0.4425,cat,nxprlonqfo,0.277,0.15
0.498,cAT,DOG,ishtkwxhne,dog
-0.0755,caT,0.2355,0.023,0.028
703,cAT,-0.255,-0.258,-869
dog,cAt,42,pftfdxywdv,pxbegvcyck
-268,cat,kjpdvcjtgs,blvvluxyhh,-813
0.394,CaT,0.331,DOg,-445
rnqyrflhcw,DoG,921,bapbupilxv,CaT
-339,CaT,dog,prztrrnvqi,-0.2735
xuwxcbqovk,sfnyrqntzi,fwjusugbnb,qzdmhnzmum,caT
0.142,doG,kvnrfumkqw,cAT,-563
CAT,DoG,-0.1125,-0.127,ldmvwxooej
-0.282,0.3595,-663,0.4375,-0.415
521,cAT,lqhtayihts,ecddbpuciq,htvazfiqdf
0.043,532,-178,-0.4765,0.2475
0.4055,cat,0.1115,yumrluexne,bcdjxopglv
ockuigvrhx,Dog,0.0005,26,-0.281
awsbjoqepz,357,Cat,deqxbzwllr,hrabzdfhmy
352,xzrhrfbufd,-0.195,-0.2175,747
-714,CAt,0.339,-941,0.474
-0.4115,cAt,172,-598,-716
0.182,doG,xvavxrskgb,hqfdrvicsy,-0.0185
obidxicvyh,310,-303,DOg,vpkjfmcxkk
Cat,cAT,-0.454,njluluognx,yrcatbbslk
mqirzwhhgy,CaT,-0.349,-700,-0.213
yzbtmfydzd,dog,DoG,0.2795,0.428
hsxngqkxan,DOg,qjeecgbgbc,-0.1425,pxhvwiribq
CAt,641,681,297,0.4385
0.018,doG,-0.043,0.3935,0.033
-707,DOG,-0.1455,CaT,zwsspccjjt
932,dOg,-278,bdjzcpolxq,ehwepjveyx
-0.297,doG,remmjmzulr,zbxtbtjiwz,215
-940,xzkojclglv,-0.4745,doG,0.219
-0.369,-0.374,-0.009,-0.4025,0.094
732,-0.301,llakwpivpk,klbxhcpemo,0.2755
-0.4735,doG,0.0415,-544,0.2965
mdmanjmuui,Dog,fcauyoansy,-1,0.1485
cAt,DOg,0.0425,CAt,821
DOg,CAt,flkxwzpdxn,-0.186,CAT
262,yglppsvjyx,283,jmabwyxcay,Cat
718,CAT,-0.0195,0.4205,DoG
956,dog,-36,ogmenbkszx,esratlwwkh
imnwypqdpl,147,cat,Cat,dedmuusldw
mmcuisziga,cAt,-0.436,caT,-775
-0.2015,caT,-0.006,0.0335,-825
-0.173,-19,0.114,xakpmrctdv,cat
