vkxaxwequl,pet,wvrzwqixbf
rxdybhutgv,0.199,964
-511,Dog,Dog
-32,DoG,0.3175
euefbaldqh,dOg,-0.047
-718,dog,nqajznfjsp
qgybujwctt,doG,989
zzrotzxlvr,-163,opvymnjaeh
0.1665,cat,-662
qzuvsooqot,-442,DOg
0.3605,DOg,bnzejjjhky
cAt,dOg,CAT
0.046,DoG,0.4685
0.108,doG,-0.1445
0.4215,CaT,0.34
0.4495,0.3455,-678
qwbbkibmtk,691,-0.04
0.2645,doG,zbpcssppoz
0.0125,-365,192
dOG,dOG,-0.245
-0.2505,-651,-0.409
-659,105,Dog
-175,sepkehaarh,jspuxqnkzv
-908,dOG,kzrymsglgg
ygbvdvjrhm,cat,0.362
0.265,dOG,nvjjyinxpe
0.0075,dOg,qgmzpkbvla
493,dog,725
-0.3595,dOG,-974
CAT,yhtmqbuscw,-216
DoG,doG,-749
533,cAt,865
0.413,dog,zyxkoiovzj
965,imogflbkww,283
148,nlbjqhkrqk,-0.0795
0.381,-874,100
920,dog,wcszhnqplx
dOG,CAT,cat
-661,cAT,jmakmslmay
-653,CaT,-0.369
nyqiiifgim,dOg,227
dog,Cat,ctqqrexmfm
-0.1765,CAt,lydymisxts
416,DOg,pkakjabiie
caT,-728,722
Cat,DOG,fmkceatuon
-960,Cat,0.044
Cat,DOG,idxgugtyrf
vnmyhwigyg,CAT,fjlkpncruj
-469,caT,cAT
-0.079,DOG,-0.4255
203,dOg,jgodnunejb
640,dOg,Cat
791,DoG,oauwuqjacq
shyxpqkvzr,cAt,-631
103,caT,238
0.331,dOg,lsateaaqvo
0.1505,0.186,hjcuiswtsj
dOG,cAT,bimtlzbuby
dog,dOG,dOG
398,0.318,-0.367
caT,dog,-757
-0.4965,CAT,DOG
-452,0.0535,-926
-404,Cat,onokzkakll
juebwtlztb,lgolmiwnlw,DOg
-953,dOG,0.428
-571,dog,0.2075
riizufikmn,dOg,DOg
-0.262,vjwnxhdydr,732
-438,DOG,tpcevqdwxp
-85,dOG,-382
qgazwdkwao,dOG,Cat
0.119,cAt,tronhcdnri
dog,dog,-373
-65,Cat,cAT
-289,cAT,edqvcielko
-435,Cat,-0.121
-949,bexkwsmnic,-917
rtkkscbfsg,dog,-555
