nfsunvxkwr,fguoenefdi,eunscmnaje,zlwsmcktwg
0.066,0.301,781,-967
uqljbslwio,ilorilljnh,-0.303,dog
vvsxnanynt,-0.1425,jyjpqbovik,-985
0.219,100,-853,gplsqupchr
cAT,CaT,-0.16,-0.4785
Cat,cAt,-0.456,CAT
-306,Dog,109,CaT
0.199,mjbjodablr,-0.006,cxidmsluoi
-0.0465,CAt,331,-0.027
-0.388,dog,mevkxeucyo,234
olpcdoehmj,0.2185,538,DOg
-116,Cat,vyynynxigi,-0.4575
azfmhaebsk,0.129,iticydjwvd,-245
993,0.084,Cat,351
danohozrmj,zewmhgcekn,dog,-526
qabbjbtbcz,0.1645,-380,mqawtjhjaa
-17,239,0.3665,0.0075
qvnuolskdo,CaT,-117,-262
-580,-0.1575,-951,0.474
xptrjzxguz,-0.4185,bjulfpqsix,-0.3115
0.1745,-53,240,155
DoG,-127,545,0.057
