auhyiyitpw,nldxjmmgpq,qbvhdasfmh,dimabjbyxd,pET,ugvuswpwob,qjwbdukdui
63,-0.216,385,426,CAT,0.467,0.352
8,0.12,-0.393,557,caT,togytiapet,143
ytdvntgzwk,yhppmgfzrk,tzfnbdfngh,zsywxpcvqg,dOG,-0.2285,0.147
-43,lplmokbins,0.107,0.2025,DOg,-0.212,utinrgwasq
fmkxmjewfz,-0.084,rzywfvkvju,DOg,fjthnbkzsv,caT,hjcqyuxinh
iuthitaocj,710,672,pspzycoekn,zjtixkqvah,caT,wjwmnziidj
-0.3185,267,trneascuea,cfhxopjgmy,dog,jruaymvlrc,307
0.335,-132,-0.3695,-0.2035,DoG,-0.3555,0.0605
cvoevhaphr,ninbynvdzb,160,0.0405,Cat,jnaxgtvbdt,jkgyklbqzt
ihbrzudopb,ipnfwevdbl,0.113,-0.12,CAt,0.086,0.132
djodbixmzv,267,yhzjzawood,dOg,DOG,-0.371,Dog
-0.4195,gdkzvcpcqs,-0.493,738,cAt,oflhyeoyrm,xnjkvcqshb
231,krwmzoinqr,-536,tkcxpbtjja,CaT,-356,yklmojwcxg
xmeekvjdpl,507,tlldrbwpzi,mtfywspenh,DOG,DOG,ccidhdjygk
jdmthkhomh,kjdhkrmcnx,cijczsvkqf,-0.41,caT,otpyutrrgz,tetyouhojv
0.4265,0.4595,129,0.0945,184,416,kyuvigotxf
0.2505,-135,-0.408,grxkklznie,CAT,687,-836
0.2985,schyhnriif,CAt,DoG,dog,epehpgxwwx,crndkcwwzo
tfhlnioqyd,-0.4825,-188,-752,-570,qngjpajqvb,614
-385,-870,puoklusgce,dwpujvdrlu,Cat,Cat,-188
-65,693,-54,172,dOG,fcazzjiuyr,723
-0.352,-365,217,674,cAt,hphutfpvph,-669
heinzdprxa,-0.137,fvctvjrvuc,DOg,CAt,pimzgroubm,DoG
297,-725,DoG,0.415,DoG,dOg,CAT
zpqyiqmzaz,wenjcycius,gsxslvvcgh,817,dOG,DoG,-0.047
cAT,dkswkqtdkv,cAt,0.193,cat,-0.0725,dOg
-21,240,0.2035,0.1005,dog,eavforpauc,dOg
0.283,dog,417,xejojnfzbj,DOg,-0.3805,0.272
-183,-0.065,298,-0.014,Dog,-0.429,rxraxhwfjx
mjbukeydxs,ygnehqffqf,scowqiyguy,-852,dabmtqpbvy,-0.4065,twexrgkpce
-798,doG,zgcqzqxlhn,-0.211,cAt,-0.303,yhhoutxtux
-0.467,-913,-0.499,zwwwzenjvi,dog,Cat,bveusungsq
tbbgqoitiq,-662,-0.471,cjutoqadiy,CAt,gjyxgdbfzh,-620
lsdpyauskb,kdxsreeyzs,ejmjrwosba,-329,kuvhphjnwq,dog,tdllukvzit
CAT,-373,ykrkrutcbp,0.0625,DOG,oxjnkwoakd,ureedrgxyw
iopewhfpgp,vbdnoalnip,dOg,0.456,-270,DoG,khoaupwppf
DOg,-281,eekxgepbcy,118,CAt,novtjzlzuz,0.3125
191,mgtjnekjbj,xykmepadts,mcbfklmbld,dog,mceckxiume,0.339
383,dOg,36,-0.113,-0.0085,jbytlmrobu,doG
-562,qungitwhtg,pdopzwfwad,189,cAt,-0.044,676
217,DoG,-0.314,-0.4645,cAT,cfahfctmce,kppfctqzwv
DoG,jxgtrfeqlv,-0.4395,-203,745,yzpjkeftgk,-459
-0.4485,osbbbanrlj,DOG,lsvivddteh,0.3485,-675,pnvvvehjdf
765,-744,-56,cat,doG,esenknzgeh,386
-382,nhnhbtocet,kmnspfkoml,547,caT,nkewmusxhw,yocymjbvvk
-0.3915,CAt,epmajmbret,-269,CaT,senmgnhubp,doG
0.0135,DOG,0.487,0.464,Dog,doG,mavvwyjkby
-0.3845,0.028,bvsyqrqirn,-0.1645,360,yzyqcezwmg,knxdfozsxe
-0.0925,-0.3385,xvpkxflnzd,-0.2355,osdlrnuhxb,0.462,fjgkvpxhls
DOG,-0.095,wsrznjpqhf,doG,dog,ynnzikqrhc,cblbahxadb
266,-0.043,0.328,-0.25,Dog,whvowpsabz,-0.1385
mhwlnybvwo,-882,325,0.0155,CaT,lebnmorkeo,ksyelprujt
-0.07,flmgfpvcxe,wrmnsvkvcw,-223,cAT,DOG,-0.0275
-142,259,pykvmmeobs,0.169,0.315,537,-0.462
qxlbuhmkki,yaigyvbonb,0.0665,iqnhtvwgbm,0.012,Cat,xmossnfcig
-0.4245,677,0.251,jvjldeowdt,Dog,qrubbmwhlx,mnxgkrllqy
-0.0935,-613,0.3625,-838,caT,wrpeurbmzo,ewpugwfndo
-892,0.1615,nbxhyufhrr,loktvxjbox,DOG,yefpknbirj,dog
