grelrlzuwl,bihsvdbirm,zekouhbdmi,putwdejilq,szrvgbcazr,omaszgesiy
730,-462,DOg,0.088,698,-242
-0.4665,-183,cAt,ubwmfgxkqa,-0.279,-7
CAt,aoaoisyvpp,-582,qelcztxrjy,90,ugpcxdrpcm
-231,blixhtomtg,wlihipoakj,Dog,-531,-863
ebnvslsgvz,-450,0.13,yvxrvgzrlh,-0.293,cat
tqodtvecyo,0.04,-0.2375,cat,536,ozbbuahsay
-110,-288,dhhkevxbwh,967,cAT,rxtdnaghwz
caT,zkbqtqrefz,xdjoqsyhle,-0.064,481,amcopcecsm
-264,CAt,-0.465,DOG,903,fwobrqmdso
chhepcmbih,146,-0.3345,DoG,-327,-955
swmyrbpjfq,715,0.42,-0.46,efxhajdsan,998
DoG,quiaysdtze,0.123,dOG,-0.3375,-0.457
sppyqhxiwz,cAt,605,15,cat,-188
-0.2045,-350,Dog,347,241,-0.325
-725,-236,kxptgftxfq,caT,0.424,-0.085
-0.453,-0.256,220,cat,436,-0.093
-266,-377,0.1,-0.1295,DOG,ncrufjrsiq
-46,0.0035,-0.281,-919,480,ilcoabuiai
lcsywtuxxa,-0.3995,DOg,CaT,dOG,-0.1795
81,0.2185,0.05,CAT,0.4235,0.2905
-857,-0.0165,-630,699,kbeqhbykrr,tebfnbctuv
qplufybctn,CAt,iwmipqgcqp,-404,kdybycquil,0.4365
0.232,0.313,qftusrvzku,-0.3725,-0.113,-0.207
doG,0.367,cAt,-682,kxwzytqfxi,ivwyakllnu
rugwwpntbq,doG,DOG,wqdaiyadrm,vzwkttfwos,qapsksdnbo
gsvliqrfpw,203,cAt,665,doG,-1
-867,-0.2655,857,vqaaynmaci,DOG,877
539,lhdczanmuc,-0.22,-86,0.1905,bveiaykomr
lgujfupqqc,28,0.0325,510,-0.094,hopxmtgqfs
-0.027,gitspqecbe,0.2755,CaT,302,0.116
cAt,Cat,0.273,271,-0.225,azbnkcbjbn
dog,ukgzqwmfkg,522,cat,0.217,dOG
ojxdagkpww,0.456,kulemghtui,-674,987,0.4045
0.262,sgtskhsduv,liggqenxwp,ugekushfas,0.117,-363
0.407,278,197,-0.304,-0.013,387
0.4385,CAT,695,-0.148,-0.414,zkujyghqlo
982,0.032,-0.484,147,bvvckkkpqa,sbvtqirrsc
-712,-398,-454,161,-120,dOG
CaT,-0.1375,teaclvzjrg,fgmjepmgib,0.0375,-690
cat,0.159,532,wpnmwezovg,atqmsonrii,-0.159
toyusgfggm,dOG,-0.4405,-926,dOG,CaT
owohiczckt,-0.1965,pohkkpjwdk,CAt,-0.0005,dOg
0.378,-110,0.252,0.3535,-708,naqjgjzcwf
ltyjixkejm,cat,dOg,-68,jzfuvwwzvg,-0.443
lbzdncuktx,-0.009,xxfkydcowt,dog,395,guubolhyyr
822,cat,-0.318,whsemmkevn,vuezchiooq,mtzaldamea
cAT,vbvupabwey,-0.045,-275,-955,svjenxfpzl
-0.356,fltotrfwwp,CAt,-277,-0.3215,-0.256
236,-0.2795,ykehoxapsl,zjbslkstqf,977,lgfqmzexnm
-0.354,atuodjsvth,0.2925,-468,-0.323,-630
-94,xlolsqccve,0.343,495,nerzxbpsgp,acwmgbfsfn
-896,196,caT,0.001,DOg,CaT
doG,83,-0.076,wkalziqjun,618,tpukwhujnz
-0.4645,ovftddoptt,-0.0285,doG,Dog,0.224
-517,129,CaT,-205,ocklerjepu,0.1525
-0.256,-328,nkefgegfis,xwgsqjyzoq,0.15,CAt
-0.2765,-0.4025,CAT,rsbiiqfokf,-86,-122
lrnewfbtxe,498,ewickbrvtr,-204,-0.1515,26
-0.2905,58,caT,317,-253,-128
doG,-428,qmpotwaomu,-0.3195,juwntwihpj,569
doG,DOg,dcxocisucy,749,0.313,cuwymnczfu
0.2255,bgxfiefyzk,-782,egyxaenqrc,pvrfhgbvxl,-0.453
dxfvsngdvx,14,jzxmapgsks,653,-0.324,-0.1925
dOg,tensyyeegg,-707,-0.1165,-0.199,-859
dOG,-22,zfyoqtewkt,gdskbxkxyv,DoG,sknbhrbnwe
suwmqwedue,211,0.314,-0.329,-0.366,-85
CAt,-758,0.2145,-0.4675,-545,cAT
0.3465,kumdxxsqyz,0.038,ljurvraleh,CAt,0.1475
ijqskwwzju,-906,0.2335,loqtaokhik,zpnssnnpol,Cat
CAT,ragfbnsldp,DoG,kdsnxslkue,0.3885,tlbjdidtmn
nquwmkbxyh,925,bldlokqzcu,-640,0.43,antqfozxlv
-795,-0.345,0.0005,-959,-0.4275,543
-0.213,-0.3095,DOg,bdoklxnqkr,-445,qiqlwykwaj
0.1465,-0.408,pxjoideuxo,312,yqyfbvmwrf,wvfnfoyueh
upuufvdblj,cat,CaT,-495,-599,DoG
biudefmqex,jdhtborxrw,Dog,-431,811,-726
-0.185,cAT,DOg,-371,-877,lndqscdwqg
-326,dog,-300,-0.323,-0.488,-894
dOG,rwxxncmijf,-0.178,ylmfhgtoiu,zmttwwkphu,iwwffgjctz
870,kktwsnvnow,-0.0285,btzvfvwovs,bvqxmnwzsv,292
-443,dOg,axvudhszwu,0.128,hkhidihyeu,Cat
0.168,0.3055,dog,DoG,zdtfwwlpwl,cAT
ckdipsxbig,221,-0.167,0.134,vxhasqlakv,147
