deyzqgssdq,tkeoiuocdd,kgwexocsfj,ofdhpqotog
325,68,284,-0.0735
13,DOG,ecpqmclzqq,0.3905
444,172,-947,ofkqekvkas
dog,-0.2865,guarhkcwyd,cAt
-519,cfpnlcuoja,705,qbbbclkunc
719,-348,-516,ibatkojwwt
ytwcczsfbt,simzniuceo,0.0575,caT
-149,CAT,rikbdmjsef,-0.1855
-70,-977,-0.284,cAT
DOG,0.1705,waeepynrln,dog
-995,626,688,-314
489,0.457,-920,-0.083
wbrqnaspwy,rmcfezhuzx,nldubwueec,dOG
-106,doG,qnrxutvqwy,0.225
484,CAt,-0.0275,CAT
cat,0.4195,-0.0535,-0.292
0.001,-0.0675,0.4795,321
101,-758,bbhvcyknja,0.1135
0.1085,Cat,cAT,0.2435
tcwncitmou,-0.1845,ajnacgsygx,0.2385
buqvlrbyye,0.014,dkhrmeqyuf,Cat
622,201,ywsiwbdfnq,452
vgsfrneagq,eckirqlkih,CaT,cmbechdrud
-173,0.1745,CAT,-0.1245
nbgxrafhpp,lelzlxbagw,-0.3285,CAt
ybyhjhuerg,-0.2575,0.389,918
-0.4805,gtafwuvkjb,-950,849
707,dog,rmbsrvvimr,-0.4485
ifezlnxsix,0.0205,-204,pmynutxyug
566,-955,0.0835,dog
-795,qlnzlbuwdd,0.0875,-0.4535
fzjrmuxxer,856,nyicuplbgt,30
kdybwttuwr,rlubsqdaul,ryuuecomeu,775
fvaxdvbcvg,819,dog,Dog
DOG,CAT,xradnyyker,txseqvmbte
dyilusoasp,503,0.326,-147
0.4505,-139,zydhctcjdc,-0.373
caT,0.437,dOg,-0.028
cat,jmgsdxkehz,-0.281,DOg
-291,udwqxencca,xwvusmjjwo,pquzljmmav
-0.3085,-0.014,Dog,-571
-763,523,-45,rrhlecmspo
-150,wqyvmnxqrj,awncfeqnlk,0.268
yxxrpccwxe,-589,-807,jwuytskpnn
0.113,fdhilgstmu,-330,fkzozmopxk
0.271,aotujfojou,0.475,wzncolbszr
-344,sfsrguwhpk,ibxdpvkrfj,DoG
-746,0.324,-271,-0.4715
-323,0.327,0.046,DOG
dOg,536,626,-303
cat,cAt,-0.007,Cat
-950,bdlxdmryvj,cAT,-0.4965
-0.0185,-227,0.088,-0.098
yfdklliake,-204,-0.1725,171
-311,owawitvrgg,-0.101,Cat
jtncxhtqgr,854,626,-188
0.0155,598,-641,zsmhpvdjwt
