xembhrgjjm,wnqxnfzdzd,exyauyfqqa,pqsbuiacpg,aocbkkvaxz
CAt,0.226,DOg,CAt,-0.4145
zbfmrgjgho,579,abibojqouo,cfokgufufj,tsxoxvxwwv
dog,0.4315,ktlbjgvcvx,-693,-0.1145
-0.2045,CAt,iuaaxknzzv,0.4015,0.478
DoG,0.249,-0.359,901,133
-163,250,943,-0.01,DOG
CAt,-492,-660,oghtjkchaf,doG
DoG,0.2025,kprhifttgu,-308,uhhlzhfsmu
555,-0.2405,gqgtuzvbkk,-0.045,qeldpurcfr
-815,DOG,293,0.225,-0.4405
brlshgxkje,-0.145,xyxacspeyp,0.493,ansbomnozq
navlscqzfe,-30,asrjxiraoc,735,-0.449
-400,Cat,401,-0.3385,591
0.203,358,-938,wqiysuekwn,-698
fdmyufgztf,-915,0.3155,433,gyifxcssop
xpppbuoctv,-126,-0.433,dog,-0.135
-850,Cat,-283,759,mizpwwteta
-501,0.3095,ujygpkfxux,zifuaychcg,oklnbwoqgt
jotfqiwzxi,506,0.046,-0.3565,vrnvrhwbke
59,dog,-722,189,0.2225
-225,CaT,CAt,cAT,lqkbmgocvy
126,caT,0.29,amcwlyioox,kkjuyticho
yhkladpzyf,oeymwhfmqa,0.314,774,doG
lmgwrscdkw,199,-0.4535,dOg,-0.163
dOG,padslsvuvf,-0.1815,-0.133,-624
gyledgqpng,-925,0.3235,0.365,321
0.251,vwnohdscrw,letuzghxde,mtfuaacrfo,399
lnxhgwkivp,-0.188,0.45,-0.1295,-0.099
umfqqkvzxk,bfsfcpytgl,991,-0.4195,138
-80,-851,0.2575,dOg,0.2225
cccokycohv,-0.3585,754,-0.1535,mkjeuqofxs
anifiiqkwp,0.446,0.432,CaT,cat
-680,mguugdfein,ihqctgokio,79,0.3245
756,uteqnuufud,Cat,0.259,-287
caT,0.113,0.2375,-0.17,CAT
doG,0.178,-0.5,vxofhnauoq,cat
0.3555,669,895,0.0595,911
0.4655,304,CaT,tlyllzjzvw,suqypmqpny
twzvpbgkxg,0.2265,fiaqsioodl,ugefewyvdp,-164
