kpiujsexvj,nfflezhrvm,etdhaulrti,xuztogbwxr
0.3985,-0.3715,5,0.2995
iykrvicssz,0.398,vqysxeynad,0.343
0.2625,-0.317,833,cAt
0.296,hkrqpmobsw,-722,196
mdpxapvnzj,muztrtqran,zmyrujmvaf,0.0885
CaT,caT,-0.406,doG
0.1485,0.256,0.343,609
aqggsvrqdf,-0.3135,-250,fdzjtqqtct
doG,dliliwuarz,ctnfiozuat,-772
0.0685,ormnnbxcae,0.382,-320
-337,340,-0.3685,0.14
-0.2805,0.46,-0.4835,-736
tryqyxokgl,0.122,llkhowgkcx,Dog
cat,gxfavnrhjo,zblppeiyeu,0.3275
757,DOg,168,adlohtaqwf
0.2825,ifnwtfpyht,0.428,0.488
smqxbwrwjt,dbirnkjmzh,DOg,400
DOG,0.2055,0.443,llwetjynkh
epxfreedcv,0.23,ygmknrovox,rfjjdckepv
-631,0.0115,-140,-0.16
ubwzcryhpu,-0.2125,0.0465,goeciouprb
ttystlephb,fmtjezngzd,DOG,-0.2285
xdlguwuyyy,-0.3035,0.3485,-498
191,uwmxwfmuum,ulvmjpfgca,olojjjdhyh
crmnpijkpd,0.012,-0.2315,610
yrbmzpgiuj,-853,uflaxtriqf,cAt
0.3655,-714,0.374,0.2085
-266,xcounqgzev,DoG,CAt
morgxgvrnb,DOG,-0.236,0.2415
-0.0035,qjcncswwxf,-875,639
cAT,-408,bvlkmwzyut,-383
DOG,0.373,bfwmbwsebb,207
lqcbuqwslo,puydeahudn,doG,0.4995
-550,724,0.482,224
yzyhpbouzy,-688,784,CAt
0.2165,651,-465,0.395
cvnydtbxcr,-0.2235,-281,962
caT,ueloohzazp,-0.464,kbvffawfly
eeoyybeshy,46,rojyqjlwbv,0.0955
bxeyhxaxbq,-0.3235,376,-796
whwcubcjqd,868,cAt,caT
584,824,-0.3625,0.0195
vzrefdrbha,-0.3495,cat,-0.471
lixkctwfbu,moufmvjihp,-0.175,-0.4175
-0.405,CAt,344,yujnrqfyle
-0.1535,CAT,DOg,doG
lmmwiwovqv,czeovtwccs,kqiwqtwynp,-0.1715
serxzczykr,752,athdtbpxjb,-383
cat,DOG,CAT,CAT
traukwlegf,-0.2565,tbeswslxyh,-736
mzzigtceya,afyjjqsklh,ggibnefpqz,0.196
0.1265,-410,6,-0.317
-777,ickqhazdjs,-0.4275,-290
0.4705,lsrabumecd,0.127,-281
pooxjziviz,CaT,fgwboqedez,0.4805
-805,469,-625,cznhazatbg
0.0315,50,-0.469,471
-13,-219,doG,bwkzdkxhhh
cat,CaT,0.0815,-578
-0.431,0.2545,cAt,-85
CaT,gzyiqqxycg,jgqynjcowc,cqzocxtmgo
-0.163,fzfasiejyd,192,-0.427
-831,-413,0.3565,lzqvktdmag
898,0.028,-288,-0.421
0.1255,ygjayqqfeg,-0.287,DoG
-171,904,-0.4975,ftdvkdbrln
dOG,647,Cat,urgnackvyb
855,jllidmvddm,0.3865,cAt
qgynwduzeh,-503,0.006,escmhjrklt
DOG,uaqmglekqh,359,-143
332,-267,31,0.1625
rdwkeuawmq,Dog,mpjlqeoasb,doG
fkcunnzate,CaT,kewzdnxpng,rtiizhtiyt
-203,-0.229,0.3595,ygipzjfzlq
doG,CAT,0.3025,fmeasqakft
DoG,797,wfcolgnrne,fdmsrpvfuo
ctdqrjihxh,-0.4145,iinugbzeag,ojuckxolci
uvrfpipgvh,-0.1855,-0.1945,srluzkyijr
uzjegqttwz,wgtcsyplyy,-47,771
0.273,zsmqbvrptt,wydpaxjuhn,Dog
