vdqvoxpvuh,ucxvpwfnoo,thklqlqsqi,plbqpflenk,krrzgrsrzo,zmwydwtdwp
-0.2085,-0.3945,544,-132,dafpyzhvwt,caT
smzgnlixoa,dog,-936,rxuhdfhnki,260,893
-387,-538,dog,DOG,dOg,mrjtddqwlt
fxntiiavjj,kuedihvccd,-0.3405,0.4335,-808,0.176
0.0295,fgffpsnrqr,-0.349,0.417,czxzbapjsy,DOG
0.121,-0.2535,0.087,xoayteqruv,hfusjizdls,-0.343
dynggusgmd,icvusyeqfr,-849,-300,miuzddhofc,DOG
0.2365,Dog,-0.097,-263,CAT,-573
762,-617,0.0225,DOG,-0.4595,-0.429
0.356,-0.4065,gwutrugqck,0.1595,0.252,dOg
bigmrzcgat,qsxticwuyv,-909,dOG,cAt,0.364
358,0.4145,0.023,657,-470,zdqxcclopu
cgkqlbwieu,-984,euvkljcial,whdisudith,0.03,-0.3245
dtxlheexmk,0.3895,-82,emsbqhoqkn,imjwlzwxyr,-0.476
0.321,upxwpqgvna,glijsdxbwu,llapqlqrqa,vysgonoams,-0.2645
-0.2455,0.074,dOG,pqeloekzdp,998,dOg
DOg,rikqkppkei,0.451,wiqbrdbvsf,kxgqakzoor,omvehxokgb
cAT,0.224,yxazlmljvp,-0.346,0.027,ibmiepksks
-0.1075,0.205,0.15,tseqlihqmw,569,0.001
trvcjdfnxp,130,-0.0415,CaT,358,cAT
-0.149,vcucbocqru,qniiuxzxxz,-0.2105,xthbjwutil,DoG
tppvzaucuw,597,iqdzlksupl,-0.4245,-870,0.1985
frijilhypq,-726,-0.341,901,-0.029,ddnmzaidnw
cAt,513,DOG,-922,ceudlynxog,-0.3405
nrkmojoojd,ntmibsyqoi,tvcwnewvec,apaihckfzo,iuunckwgjd,qntmmdbvlt
doG,yanbeneztf,606,737,hdrzkragke,otzyrtymjd
dOg,zhurbtcgug,-416,782,gyssnqfmcr,-263
-0.3,fqsnlganej,CAT,zlbrhciyzm,-28,upyzzhbzfn
752,0.188,puhxatpdtl,ponangjzjb,-0.336,0.487
tqmmigkesn,jgbieqvyaz,doG,dOG,wpfosfwfpe,DoG
Cat,-0.4335,0.1765,dOG,-103,rlhawzcetd
abciqkvyqs,cAt,0.079,484,-526,-230
-0.3235,xptfzylvco,tzamptjydg,-691,boljgecelr,-0.2875
rxqdnawavj,-0.0345,0.453,Dog,0.487,0.1065
brxwdowhgh,-719,888,0.338,pbzvqcxtzq,-977
-0.435,-0.0135,0.4975,802,913,-745
0.217,aidpxovjtr,srigzxnvwg,fiuiwvbdqo,697,202
780,-0.4925,jgxhptjrvo,-0.387,-402,0.2215
413,chmulczcnv,wxjnqnvirk,DOg,DoG,-190
Dog,vrndimmrhm,CAT,905,dOG,-583
pfhhpjxhrj,380,-0.206,CaT,388,-0.0185
-399,jcysfuhyrj,-0.3045,-0.476,cAT,bhtiwdddui
xeakuvyddz,icthswspps,859,cAT,Dog,0.1545
131,CAT,vnqhwcprbx,-613,791,zrmkzutamu
dOg,-893,Cat,385,0.0815,vemmxlrnzy
0.4795,228,fyzhjklhdq,0.2065,-841,-869
dnngkpdthq,-0.2705,-298,dog,-985,DOg
rihukpkzvf,leqnkmpvwf,dOg,-0.066,-0.487,-466
0.434,394,DOG,doG,-523,mzrwkyputt
Dog,parhloafwv,Dog,dog,0.4755,0.3335
789,608,-499,-0.235,CAt,vwhzrauwdv
moskjtmfli,-0.1135,-0.2845,cAt,gwhodvqguh,-0.396
eyveyqjpko,-878,dovtbcmxth,0.241,445,-0.016
216,rzabdjtfca,-0.39,avmurnezfv,-158,hkzdlyxmix
-0.4535,wcwcpzqrip,aoizbdijes,fjnmnlbkxi,ioygtlydyp,614
351,-159,148,-457,-0.2075,-78
471,grhzroisan,523,aegjofpfvg,205,czmlbfoilp
800,902,839,-0.3585,jthjeyojwk,Cat
yspksyijwm,0.397,berejoddss,gimlwzxapj,-0.1615,-0.2475
Dog,0.4195,dog,zcdecyoyuq,797,CAT
tdbdojdwno,0.4735,jaleetsdvx,Dog,0.3075,CAT
oadwpbahae,-865,-0.149,DOg,-374,899
jqfogmkpqk,urkwvpldro,axwrbjrkfj,848,-0.3855,0.2645
bcojiaqotm,826,-0.3415,0.0585,kidlegzcwp,dog
CAT,-0.3155,495,-675,znhgvmkqdf,-0.3885
-0.163,199,-563,-0.0235,-830,-930
yihqkjsexp,nqakmztsnu,Cat,hvrgrvvkiz,-669,nlyziuzvnf
qlwpyjwpdt,709,CAT,mduvozllgy,gagokcwnfm,-0.119
ykrbjfvojw,0.373,caT,-0.298,0.1925,DoG
