ryizwbrorb,pojktnjeeo,PEt,tfehmvdkmr,vskytycfvc,olyqbxippw
-0.1575,-0.4235,dOg,CAt,77,dixzejexfc
pswbcefmvr,-274,CAt,0.367,kllwjqgzqe,0.0655
CaT,393,0.4545,Dog,rfyhlwmusv,prqamdpcxv
oucjdooawk,rgqkcyjzth,hhokqkswte,0.3835,dog,-0.217
imxyhasbjt,780,dOG,hqnlvbmhxe,858,dOG
CaT,-0.273,-465,-0.093,dog,624
0.408,-0.0945,CaT,zbciwapmms,0.2545,0.1065
-0.1885,dOG,cAT,-0.431,110,qctllvsayj
53,jrewwydiec,xsltexwfxl,-925,708,hbmvgflxtt
wbkqrwyinu,jfttsufcqy,DOg,717,-985,0.317
tmkyiiykfb,0.252,cAT,qnyjpitrgl,0.3195,xnieesxpxi
-0.3785,345,audrdkkhyx,-0.297,-0.0515,vsscslgyxh
gbwzyqklpz,dog,zomuxvijhl,imjbiejiyr,-0.1955,0.2005
-0.2965,ziyiressum,-315,-0.449,yxtvnlhvxw,0.029
0.334,0.5,cat,nnvporuvbu,crdtmbakpq,0.1155
530,0.2675,cat,smaslqzvkl,0.2905,twvjzmkyhj
-0.1,-125,DOG,gtkisuckia,caT,icziyatlgm
0.3855,yrtrerdnjx,DOG,cfnophbxmy,hyomtoxiww,afowbdzijf
527,0.1385,DOG,rzmmniykdk,romylhjbki,342
-122,-0.3145,cAt,0.496,Dog,0.0715
dalvbnpaiv,asmrrvdyrq,CaT,xgfkixoxht,vwwppesdmt,0.3675
doG,ygrljwdoqw,CAT,0.4875,cat,0.031
zzzgvsevzn,0.134,doG,uqtixdrrnd,0.435,nnnsvwjftn
0.0225,yiixusqvjz,DoG,0.199,0.2905,-593
0.405,zhdynjvswa,cat,0.279,jiftbstqsu,0.4315
-77,offivwqnvy,dog,0.387,971,-762
-0.438,cat,-33,590,-0.319,-146
-751,-0.19,CAT,863,yxswnosdtf,DoG
DOg,193,807,-138,xbygitndmk,crkczsxzce
603,481,cAT,dalqmqoenw,patmlkontf,Cat
176,-70,ghrxdiienh,lbjoxmbwfj,-0.3275,-889
