fxlirvtexq,cemxzeqsgp,jzkucikqsu,peT,fojhusegmq,aybrgkjvwi,ifnlvmqznu
bycmlxdlot,wflomvyyls,396,doG,CaT,-0.279,CaT
0.191,wtkrwhwtjf,fwyeplmukb,dOG,0.4435,-0.0885,562
muvotneeeu,38,mtpjqlcfjj,cAt,lzqzmeaisq,dgqtdujnzd,-37
CAT,162,-978,CAt,-0.16,tdyqfwurxf,dfgzltpjbr
-0.0105,-67,lzvdndklws,dOg,vyuqnivnxb,0.364,-999
Dog,686,sqymyxwxsb,Cat,akmsncxgob,ytsytdlvxp,-0.345
qdxqvhkfmy,0.0805,639,doG,667,vggveqeswm,-0.4675
-662,Cat,tflqvkugqb,qrespionjt,0.4435,648,-123
0.322,-340,0.2115,caT,0.067,implevtieo,670
maysuosyyo,-524,-0.4195,0.432,-0.0045,sryobcotfk,-0.043
-0.3865,auzlzgdsyg,579,DOG,CaT,-890,806
-0.3305,0.459,DOg,Dog,-0.356,-635,240
caT,DoG,343,dog,ayxefpgftr,-0.235,syavcijgmp
DOg,Cat,0.202,doG,0.3445,nhtkqmpmyl,oszrkpzwvw
-539,uuoqjeqvom,lpinqxrqrp,cat,0.079,0.143,dmbttrqauq
-774,324,dOg,76,981,0.41,-0.488
813,121,apgqyvcvfx,-0.1635,dOG,CaT,-0.344
-523,doG,CAt,tvfswczyff,Cat,-991,DOG
197,-0.024,0.222,-0.0745,irucgqxjcg,mssetevobh,-0.481
ppdtogcnug,wsbkffpxki,rfevfylcqg,Dog,doG,dOg,0.228
CaT,dog,-0.257,CaT,ypjplkajqx,0.2495,718
-0.318,815,-0.028,CAT,-707,cAT,cAt
dbssohulhm,dgepawhcbh,980,0.2735,-274,DOg,doG
-471,-0.124,kupkpkurrr,CAt,gqidpimvie,-465,845
xcuhvstbdu,-952,CAT,CAt,efkoqjpsti,bcfpfskpfx,-361
dOg,asuolszrri,0.2595,cAt,-0.1215,ccisptioqj,spwauldqkc
