ubywulmqyc,PET,bwboltndtq,oyeegjjfvb
-0.1205,cat,fmchowggcg,clhhtjfqva
976,dog,0.308,-830
929,CAT,-98,-0.3925
0.338,DoG,ollqtiuozu,0.162
-0.256,DOG,725,22
928,doG,0.17,-799
0.25,DoG,0.375,aotjlhbooq
cAT,506,CaT,wonpqeynrr
sxbqzyevkq,467,259,jxtqygbqzy
kqxpsxcdhr,cAt,ussqcoflcq,970
-635,Cat,esemifmqut,-0.0265
rkgndmpmme,717,pgagocslwu,-934
-361,dog,ajonoxwoug,-0.4935
mebcuzhzjw,Dog,jgdkrilfve,-0.409
835,CAt,xvgqkjqupg,111
973,dOG,-0.317,911
623,dog,-704,213
-0.228,caT,DOg,-0.2805
cAT,cAT,dOG,tzwhrtrmgj
giioagfbai,dog,cAT,-0.425
-0.058,dog,-0.14,iqcpvqnrpi
ovekjbjlma,caT,gqxypkegrl,zwvebwdinv
DOG,cat,wmymkdybpb,0.4615
sfybcyeuoz,CAt,-0.171,0.49
euczsebfjt,-0.243,muvijtrajr,-0.145
cat,269,-0.3465,dOG
-716,CAT,487,-748
lvuazlwjzn,DoG,ndctwprqfe,caT
amrwjcrinp,dfdecohvob,-647,0.157
-435,dOg,0.1485,0.2985
