gvkbicyjfy,mxbdudxwxr,ldsiynzttk,bkpwtoogzi,dxousfovpi,kdvgmvjpfe
-0.0155,DoG,388,vtqccageqi,rmfalkkszu,dlvyqhnjhj
evolasozvy,-0.262,CAt,qfajngbckm,krdjbfgvbd,-272
zhqrzchtlu,-81,853,0.337,cknveleoef,-0.0065
0.355,vcfqviybgj,0.3145,730,cat,DOg
hjxsuknthu,Cat,0.2315,0.0595,qfpadugyqd,935
-0.3205,-0.135,wfxniajpdd,paazkvljcq,dOg,0.252
-0.3015,-754,-0.3755,0.055,-0.103,-244
-117,wvfbzzuwcl,922,DOG,uwwsqtpkuy,ynwhmptppg
-268,-0.0755,tjmuumdthg,doG,zacxncquhk,xfujpwnqwe
0.2675,0.158,dthxfmtxxi,-0.0305,0.0755,nukmiawytb
pdjjoovtpi,0.073,-0.0785,0.2095,Dog,pttdhktpni
guajecygoi,zbzifxwaxj,899,0.3185,kmzvmbwolv,lsbexfyyht
-0.139,cAT,-29,fsymarxgjl,DOG,kwhuggzwdf
vjmdsquszc,0.057,-0.307,ckprjdaiow,xankjecmlh,-754
0.0645,-0.303,13,-365,0.3305,CAT
0.4165,969,594,cAT,0.074,oigfqzrdyk
430,maortszfpl,207,wmhdzvdhys,ddomjrluqd,0.254
0.123,ghtcydcebs,xdjqhhtdwp,rfypejhrir,Dog,-829
499,-951,sovhlwysrp,0.4155,-0.426,-704
yvfdckgfdh,0.063,bjygfzzkpn,caT,mskyvvevzw,0.3325
dog,CAT,yiwgigmqpl,0.1735,340,-0.0015
qnekruubit,-0.288,-0.197,-569,0.0645,0.3315
989,0.256,mzebjbdukk,fofaehgdwg,-477,309
pfcfeoqsgx,-949,-619,ajtjsjfimv,Cat,-497
436,jeoavtuxcu,iwqjmhzzxf,DOg,0.2435,-684
nrdcfmpyqf,0.416,0.4385,0.2855,-679,dog
-642,438,-0.0165,rgevpdtouw,-491,caT
-647,caT,-0.3585,343,DOG,jdccqsqhhc
309,cAT,238,-170,981,CaT
298,doG,eubxftvycm,cat,0.347,qzorovzpua
0.2315,gxjllkwkbi,caT,-0.043,236,-0.2345
-0.2325,CaT,-278,ldpolwpamc,-0.0115,0.4905
fzklxxxpee,kmmqykivxe,0.345,0.417,907,-0.1915
ebdxohsjdh,CAt,0.325,812,awwdcfneql,hzimxvluhx
-5,0.0295,bspjmxzdbj,-0.124,0.3695,-0.3125
-800,doG,694,lipsqmziro,ypnwmzakxm,dog
-796,nusocuphls,-0.2735,0.0875,gvlfamgisp,bczqpqxioi
Dog,cat,DoG,0.232,0.3065,dOG
-868,xgrtgczhcd,-0.4635,-112,-0.0615,zyrlmccaso
-0.475,ijiemfwhui,cat,ayobudgway,cAt,dOg
-0.383,kmnmyyyvrw,-576,-0.4475,wsxirxxapu,umdgggwdus
wofqyekrus,-0.1375,twvdbxxhzm,794,caT,-0.3165
0.219,485,-0.443,0.1395,-0.4265,-186
wfmmagovhw,vuhcdrbrir,-0.335,0.1085,0.258,-0.3
bavztlpyrk,dOg,cat,zqozwotuah,iekcgwauus,-0.277
623,vrgxqozjwy,kjpxwzrrou,gdbcpehvuj,-0.0705,cAT
0.139,cAT,0.383,273,-0.254,-190
-490,-744,628,dog,0.4685,0.162
-390,0.4525,javwoswolu,-851,-913,-0.1905
0.145,958,-170,276,-369,blcprqfmae
cniyzjpwoz,kooukdvwtl,376,-0.3535,790,-271
-727,ykjdrltzwl,0.1645,ywtvqilylc,-0.061,-0.4425
567,-177,kjasikuxkr,mzqrrklahh,caT,poeuynewlg
CAT,-0.49,963,zwwbjhminc,xrpdkqrsvs,wsinqizclf
ltfbzwzvta,caT,-0.152,ejvpfuowps,775,0.0715
-0.477,-295,-167,dwxbcjkafy,jrbkgmcrwr,-0.0435
0.2165,lepeqwhprg,xdjswkubmk,wdytvafvkw,tuhysrgnss,-0.1935
-0.3415,43,mwsevxucyz,-0.276,-222,xwjbjwbdgs
0.229,0.4895,441,-565,-939,DoG
khizokksav,cat,xjwfxrgngz,cAT,0.1765,742
kzhihxkmfl,-0.487,834,0.392,-0.0295,CAt
0.17,306,-0.493,CAT,-388,mvalarigxr
atjovawtcw,DOG,ajrnftluib,-552,yzousijzoo,bcvzqiaojg
uraaqvbsvp,oimeqtcwam,-0.2935,gjporfvdpw,CAT,0.43
eopsxyugoy,404,serlagvysp,0.3485,kpyiikssgw,271
dvwabwbicb,egbfctaame,87,xzzquzwinc,fvqflmyktd,dog
DOG,0.082,770,0.1115,toyfowimiz,dog
curctaqiyn,mnlqktqzon,-908,cAT,nynajvajde,0.277
794,vxqpbyzrbv,mmykksmkix,387,doG,821
106,-463,jujyfvlyse,-813,-0.3705,dOg
37,-0.262,960,0.1365,cAT,17
tqajyfdtll,hzgxgpjolm,-0.325,656,-0.3375,-0.0285
doG,Dog,Dog,-44,vziyswnrkp,-956
