hlbohynhcg,Pet,afuxwqctpd,accihbhwel
duvhwvzfxc,cat,-0.4245,oxzfpqhvug
ifffonaaqa,cAt,343,-0.4965
ptegazbkeu,-0.002,476,-833
vitrvvgrub,CAT,zxcnvkyysl,0.0675
0.3225,-518,anboaprspw,qaxrlkejgb
863,DOG,864,844
-0.309,CaT,vznqfezgpp,mlpetsodux
wruogtssuf,109,DOG,uhquhfxtfy
-184,CaT,espgqylpqj,0.2975
-769,dOG,CaT,-0.4555
454,0.309,373,mehkoyevgz
CaT,DOg,hjsqzwxghs,-300
-167,-644,wujgfxkvqu,cAT
-770,DOG,zctrvaztgi,-0.1945
0.297,cAt,-0.3575,nkxsxzwfzo
cbxyxmvbcq,0.217,0.196,-0.0395
DOg,-874,tilqmcxlrc,-0.0845
cAt,-225,xnqdfvuwwk,sgxlxsbukm
CAT,eizrxjfvyc,scdmokrpuf,pwwicxigef
DOg,ubvmxjrdre,paaosmargb,Dog
-974,CAT,0.0055,157
-977,cat,cat,iaxwfcjypy
jtqnvmjgth,0.3195,0.016,dOG
-933,cat,yoqluqlmos,635
qmunsjksuk,DoG,uckxyvzhyk,Dog
gtymatqryc,CAt,661,DOG
-495,dOG,rjdnnhrwee,-0.0405
0.074,rzkntivwyc,-151,193
CaT,dog,940,obafblamks
-0.17,dOg,-747,0.3915
whwtikbucc,-0.309,-526,nljhmmryvp
clrqsqvwdt,CAT,-0.2125,DOG
doG,0.1225,0.222,fazywoqyjm
nsqckskgog,-0.0625,-0.439,dOG
-17,CAt,0.304,-0.47
xzjxzpcjpp,dOG,Cat,0.313
dzcjjovkay,-0.1385,wvcqcurduv,fsclzduvjq
-0.171,doG,dOG,Cat
xlzufmkynk,0.3275,824,0.283
kwujjmuqnm,dOg,hbadtgfndi,cAT
-493,236,-208,DOg
dog,CAT,-281,fpsmhzejvt
rjbarqirok,dOG,jdsoeorshh,orouffdzsi
0.236,Dog,CaT,-825
0.0165,cAt,-0.1235,cAT
664,xhiwgyksja,CaT,0.0305
-746,cAT,0.2255,-0.198
0.145,Cat,-0.201,cAT
845,0.367,vyhqemizdf,745
-0.3035,DOg,-27,-173
gktkxalftl,dOg,cAt,xcszbzaxsu
dOg,cAT,zvpvwaxbep,-0.4005
919,DOg,-295,igzjqlvpld
326,dog,0.0515,DOG
484,DOg,453,0.0055
cAt,cAT,-0.3675,-599
-0.416,Cat,0.2615,-0.4175
hifnodvmig,dOG,doG,-538
494,dOg,CAT,cat
bedufumjlr,Dog,dog,dOg
0.3855,dOG,-112,javdazpsna
0.4065,-0.3035,DOG,vdbyrygusp
-0.413,CaT,313,ejploowleh
sqjoemgwmv,Dog,332,vuqnkzbzjp
wedhkobsie,699,-0.4115,0.2075
-0.1365,dog,CAT,989
oicjmkhmtx,DOG,qzmlabzbyk,ukrbngyacz
mrenszeaxd,Cat,DOg,-398
CaT,398,gjpumbhmlp,gizvlyaajo
CAt,caT,dvidboxvlo,301
306,DoG,-964,-0.0465
mjdumixisi,cAt,DOg,hcoghjhvkh
jzjtazpuie,CAT,befhdvdtrr,-13
-0.4455,CAt,gpopqxiklz,omkcruzgjn
Cat,fljkeohjml,ebmonetfdm,dog
caT,0.377,-0.071,729
ibtbzpmwgk,doG,-687,Cat
-0.143,CAt,olxcxbgkmb,211
0.497,cAt,rvoqhqpqje,0.0555
581,dOg,185,0.4895
dog,caT,cAt,Dog
0.498,Cat,813,656
-299,Dog,-331,0.195
0.1235,dOG,Cat,aqgejunhbw
cAt,DOg,fiqmqwddvf,-0.3765
0.299,0.3555,uptubnqesa,-0.32
phnzksufzo,cat,813,862
-0.1125,996,oayhilccwp,-320
Cat,CaT,ugmkuwwhcj,ygcnygsnng
vdnyvmrdmu,DOg,cAT,Cat
bkoaxtzyob,CAT,ueozjdenzp,DOG
