PeT,levszobert,iyteiwslri,xaoscxtjef,qnnmmvxleb,hnpxqppbtx
cAt,0.079,dOG,DoG,njpgmuxfoo,894
Dog,352,atslxswnyk,dOG,0.2945,-0.072
0.1615,cat,cAT,doG,rbfblowwic,-508
doG,cat,ynmwzijbnq,ovijvpejku,ytbfivvahd,DOg
CaT,wvqwwzqopj,gpyqlizoxi,qkhdcybyyu,-0.439,hwscehsurj
DOG,0.346,-743,-727,391,0.12
CaT,0.012,193,-0.1385,0.3895,0.466
0.461,926,DOG,0.277,0.197,DOG
CAt,-0.388,dwyqhjyzln,dOg,zwcuijfokn,-478
Dog,-0.1875,-0.4505,eugxmcapse,-546,nqrzumjvhh
dOG,-0.2095,0.4455,dwncdaunwp,-875,jdqoecyfiy
Dog,0.1015,hwvvdggwvu,nvuppnrmop,-0.248,308
0.207,0.156,DoG,-0.3005,CaT,-56
cAT,Dog,cat,vkifwimpse,wxqhzigsea,-221
DoG,956,ormkfqjgor,773,714,Dog
cAt,25,-0.089,447,DOg,gzjybxpths
256,0.289,tfwohyfgtl,206,-0.3635,-0.451
Cat,Cat,zxgxvvbsqh,cat,DOg,-0.4555
Cat,-652,0.0675,-811,0.495,306
dog,eiexmtztet,-469,-639,-344,vhfcuzqoog
0.141,0.388,303,gljrkxkltf,vfklygmnes,zzyuzfqcjz
kabjsbumfu,fqqtrdnlyg,DOG,dog,dgurgvxjhs,0.0
doG,-0.224,vefbakxoii,DOg,dOG,cAT
812,cAT,wdrdwyasgj,898,-562,aixmcwtlub
0.162,0.0855,0.035,dOg,-700,vxqhsmimue
dOG,cknqgxeywx,480,415,uvhuxpudyz,469
dOg,dog,nttbmcndjg,ccpcwhslnl,jdedyvplqc,edvcdvcuav
Cat,wdlqohthkp,qqwexyuffs,sigemkvamu,-538,mhyauemlir
lgdiegxwez,494,817,DOG,CAt,quidchxefl
0.318,-99,-0.0635,0.406,-0.0655,971
-485,DOG,-0.04,796,-114,cymmgrgfsz
CAt,-0.1345,743,Cat,319,myznkfmbqo
caT,ognjvnwvae,mixtlkbdod,Cat,0.0575,0.057
588,-284,zcwyucbjrc,262,0.1945,Dog
igyjavrqau,174,73,Cat,qcwtmzzzon,efrqcklyzk
-24,dvzcaiwefc,ilwmbpteuj,0.367,pmfvfiepwz,Dog
dOg,cat,0.102,-0.205,cAt,DoG
caT,0.331,cAt,angthavgdc,zrztmyvxhi,kmanhlnswc
CaT,-0.2975,DOg,-0.37,ehdcahhizr,-0.363
cat,-0.001,exizhxspca,dgtyvbflhb,901,-936
cAT,-283,ylslrpxlem,doG,caT,0.049
qtjlweqcru,0.022,-920,0.248,0.3145,-326
ogvsggafwf,pvoahiaadk,0.232,0.1445,cosoqaqbyy,0.4395
CaT,-469,caT,0.41,624,0.474
jlqhrikqqv,qahivpmkvw,-0.0005,zufzkwchyw,-0.159,doG
hslxruwmvg,-756,nheyearmvl,0.0075,vyetqrrifv,-0.436
dog,423,0.472,930,-789,-0.126
cAt,zkqtdjsuxn,0.2935,0.2955,dOg,0.2815
-335,-0.1915,0.4255,dOG,-167,-0.011
DOG,932,-608,0.0555,-834,-0.454
80,-0.2185,-0.0895,-348,0.391,nkdccjhjyp
doG,cncpvzgsqp,12,-0.0915,tborxowhtf,vzlqwmrfrr
CAT,206,77,gngssjwfxd,ujisetufbj,rmgsqdisvm
dog,aidxjixcpf,ydcyqldiyw,0.092,nvllqtvvfu,iezssaczry
jvunkzwnwv,0.482,ssbpwwszwk,cat,-101,zspkmmitpq
dog,DOG,659,0.37,-0.3945,cgbztjvdor
cat,443,-798,-0.0865,cAt,cAT
cAT,-463,0.3545,lrggbwidjz,0.263,DoG
CAt,0.4265,ogvmmjlxwn,CAt,484,-768
caT,caT,jvziwmgrbl,799,akvneryzdz,0.4435
CAt,-672,-0.1775,DOg,-55,xvtylxaihv
Cat,cwazdfvzox,731,0.361,0.228,641
CAt,-781,igbpbqtpyc,-875,-624,qtfkiotvdj
dog,truonxozfh,-868,-335,CAT,970
-763,puxgweobgk,874,163,ckkfsqzgzg,hqbtttgkqv
dog,qzbvxrrcqa,428,jizfidycnw,tfjbhedqdg,sbpgmezzys
355,-199,winwyiulew,0.428,zglgsnuean,62
cAt,-0.0735,ldmgutzgpp,ejxccvnujk,kbcoqlaqjq,-0.027
dOG,qdcibgnjmw,cAT,0.1155,-248,-329
dlvigkqtoh,0.4225,0.4665,290,Dog,0.019
380,487,zqwosvxuib,-0.109,-195,514
CAt,dnpgvgkdrh,877,cat,928,dog
cat,0.4755,0.4495,fmomnltubt,cat,qcjbadmtvl
-0.2265,Cat,CaT,CAT,-0.3245,ediqcvsrng
CAT,njfpgfmufc,-0.1685,Cat,0.0795,114
555,cqtguhawvd,yrrwihxshc,0.017,429,-565
