ypvvxsdqrj,ummjvfgklz,sleujvpbej,rdgiznvdxd,afturmfiwk,jnbomvuqbh,zvfthgwgoj
658,0.0245,tvlbmeqpbu,777,knxrirsdtx,967,gyxotneprd
DOG,dOG,xszmuupfbq,365,-0.284,jpzbgxndib,0.441
0.001,-216,Cat,0.491,dybuxxghbq,kurpaofjsc,0.01
0.0045,343,DOG,0.027,-963,766,-837
ynsqseharb,-936,0.3415,0.4895,caT,Dog,cat
pmukyqilfv,vlzaoufysi,-12,0.0595,777,DOg,-63
0.108,ncsrhwnpmz,635,188,rsyrtxedwa,0.0725,-780
uhbsmnsota,-402,Cat,0.08,nmhauytpyg,-192,-0.321
-6,cdcnjjisir,cAt,0.3335,rublefziaa,lnzywjkdkl,fiovltdkyl
967,-0.037,-979,-19,doG,0.253,-0.2575
qaxgexjvhh,gtywdlybjo,-0.1565,dOg,qncivodgut,jfylispkjz,-0.0005
572,-961,-477,lsuoodjyba,qsbifxnejs,mfcwoznsjn,47
dOG,0.1635,0.3495,Dog,-907,500,-958
cat,0.166,uetvflotpp,-0.292,esncxuctpg,DOG,bvxqjdcyok
gxhukmfdhj,0.149,mwjosrkerf,xeywswrinm,0.379,329,cAT
shndprubth,-0.401,0.238,0.407,mccijbzclr,ecerrvgdla,dog
ddacfpbwao,-854,-0.029,-0.0625,jdbkoopuex,0.369,-0.165
-796,-383,xlfmtujlnw,0.1685,cAt,0.1015,245
93,117,-891,clxynxmrfo,-974,-416,cat
-0.0865,-389,gdbzgcmpkg,0.3795,doG,obcijolwox,hvpyjgmoil
qfbiszlojm,995,-0.4085,782,doG,-0.3405,-772
deghkclqiu,-393,96,0.4365,cpueykoisx,-0.2425,0.332
mysqfxzbtf,orsfglgagj,0.0605,efjpnpkfid,cAt,aeyiuqxxlh,195
qtkdwdwybh,0.428,-0.167,wbkliadmck,0.357,nriwqfyzyq,kdopexupxs
ehjiuppdna,btfgnaffwi,0.3135,taoxilemsh,0.2245,461,-0.0865
581,-340,-714,cAT,885,aeafsmjyes,kefpqofoqq
-0.126,rgqrctagpz,-0.032,qlhnleybsq,431,-872,0.379
549,-0.2905,tsvjytdsyc,-935,0.334,954,dOg
403,cAt,0.0775,zecjsfssup,458,ydathivrfq,-0.399
-158,-634,-73,-797,lyzocotglk,DoG,jqihdzawco
CaT,0.071,-0.2945,-0.131,-0.1505,0.1965,dgrgagbefi
crrnzonbgy,CAT,clfqmfzrga,0.0885,-349,cAT,0.1265
ivjvuablyo,-0.164,xtwiwgbymm,0.3615,0.0895,0.0705,-449
fnlgzsqofv,-511,149,-668,sbycprypqc,0.2245,udzrvbfbrl
bqtmxndtrc,181,210,864,-542,dOG,zkcirrpdji
prkkymnwxq,-706,0.2,Dog,-0.112,0.253,-704
cfdxhmafnu,bmbuhedufd,CAT,284,0.473,yizsiilpbm,-54
0.0335,ngxnpizarh,-0.068,-645,979,0.0065,-855
0.4935,CAt,-81,551,-0.2855,ddtavopzow,xpgtkiexuo
DoG,-0.331,-426,-0.3905,-0.421,968,sylmirsnwm
960,CAT,-0.164,0.2345,-553,630,-643
0.3695,221,0.223,642,Dog,-737,-734
-0.279,pxbgtpwoum,onyxxtlfdq,-467,0.1935,-0.187,0.071
-927,-899,817,-0.2375,0.052,-0.3055,omxrpsuant
bptwelivld,gqzrogdmlt,Cat,0.4705,zqrouuxgpu,zimbtffsad,-303
331,-814,-735,0.075,vpaqziumhe,-804,tfynyhbivx
dOG,DOG,-200,sbpujbrzug,-319,gegniewpzm,dog
0.466,0.08,fpoeagcpqq,mdghgegqts,gqdazvjags,CAT,ypcyknosoy
iscjxhuinw,101,dog,kqdvcjtmte,dOg,DoG,vipaigxwud
thvyxqflde,-869,zljocmlsdp,hynvobuzch,-0.457,-493,-0.213
-0.022,0.338,-266,DOg,-0.0625,-0.27,epsbavyzll
-250,-0.456,kahuzdisdf,-466,vawtemnnhc,-942,-0.083
rdxwagfxbl,ciwiamqyfh,ocbvncphrh,fqudfjscrd,0.455,564,vmualnooay
-127,158,0.3805,dOG,usgjkmmfjw,-0.385,0.274
dOG,-0.3585,ezcnmmhadb,pgxkzzteew,-0.358,0.2665,-0.261
0.2045,dog,pqwrkdtngj,0.4895,joalhkqsip,896,653
-731,kbrwfoidwc,cAT,-0.135,-0.3715,0.394,988
980,68,dog,0.3885,pmpboftvim,0.4295,-910
DoG,zspyvkxnug,-851,genynfdjjo,dog,wijpbndfpj,gxxdeidknb
953,-491,-154,604,vyymhybfuu,qewjrwjnrb,-369
-854,-0.4945,489,ijrxkxzlag,0.111,0.2405,dOG
-0.294,328,-0.494,hxobndpuue,-0.084,375,195
-409,dhxgpijhfy,0.455,-0.17,-0.303,-0.1295,-701
-774,-656,ilodtbvnus,-621,mvznwyvsyk,0.009,ghzroireyz
