pwysoqtwqz,gyduwxuqvn,fiduddekvx,zzibzzajxe
sbacfrgrhm,-0.377,kzuojqhlcg,-347
dOg,-0.046,0.392,DoG
-679,-982,covsznpehl,0.033
-0.1395,-744,dlpvgempzr,twhjpmuzyg
0.133,-0.144,hfaugijshe,wpdadvbexy
bxigofzzwt,-773,loqjpelepg,cAt
CAT,hljecpcnwy,322,dog
nodvuwnuzs,795,113,vpqkoegxgq
-188,806,922,-0.1495
0.451,rydnerxpad,gpiiysydxq,984
50,-0.1705,0.1055,DOG
cat,ujujiavgrc,0.066,0.304
dOg,245,-330,0.021
996,-0.2655,0.021,vsvcmfymas
hsgqzwrroy,361,btqixsgeec,436
-0.0685,awtuprbfmg,-965,-551
239,832,0.2265,359
ithgfwndnl,Dog,-601,-805
0.4155,409,0.017,hyvxwtrupa
jtpbjzsrei,rylhoawyzb,-0.066,CaT
mhykveaoki,0.2795,yhtcxvyewn,-0.2975
xpfujmavjy,-745,638,-0.0515
-434,-0.261,0.138,dog
ogfkacxlzv,-98,cat,oskbvkgbfk
404,jwyukyhuho,-464,389
148,ypgqzlbhpl,-0.341,611
-0.0315,cat,691,-840
-0.3295,900,-0.4635,960
-61,ijocfpaxzw,drpkkmknpj,465
caT,0.1185,tnxpogcali,juloqcvznb
CAT,-0.325,0.171,883
caT,snmqqqwytk,xlersndydx,0.061
-947,vbtuphumxh,fklojutgyr,doG
nuyfgdtqfb,0.462,xjeuqquekv,vetzoswsux
-373,CaT,civbahzdjh,-0.0625
-0.1005,-0.3265,CAt,0.45
afiopailxk,DOG,0.211,0.143
0.041,caT,0.2,-0.326
xdejjodmve,caT,vcflrulwvr,-0.3315
0.15,DOg,980,givzafekmh
-996,-0.1145,cAt,vigrbwriem
