ljyhneprmf,xxdjuttkph,fcehfbwmfx,ijnbdzlflj
flztbrhrbb,-234,cfjrzggwzh,cAt
-0.1875,0.1245,-0.0865,qhonyjtrvb
eyvjueeppm,fjleimjckx,-644,824
661,tjaolinion,253,bluoyufolr
-0.11,208,-0.012,196
-520,cat,-0.0845,dOg
0.4365,doG,0.1465,0.196
DOG,-966,gylraxejup,utduouhtco
-0.337,-218,cejvckjfnm,mrkodvqjyq
5,lnkgrgabrl,-889,335
Cat,439,DoG,473
dog,-0.45,mmnjpxxyao,-150
DOg,cat,cxthvhczna,pcktdvyvhp
-51,ggpludxwdc,pdjykbekoi,0.1145
766,lemlxiqkzl,agtnluplpt,Cat
700,-20,caT,DOg
480,dzxprtpqty,sjqllgutum,495
-513,ktuansgdre,0.0915,zrgychhqzu
znfrwyfifo,0.494,0.0825,cAT
-406,-0.438,-0.0825,0.1535
-586,aghyvpwyvv,cAT,gvxtzyifet
699,0.339,0.0825,Cat
Dog,0.3945,cAT,-592
-157,-0.1635,mpfefttfax,-0.41
0.4135,480,epkoiwvnin,0.4505
cyakolsoua,-0.2995,CAT,CaT
0.1995,cAt,-0.2115,-59
harmhbkwav,0.2775,-0.1435,vkamiboowj
quavgrikqi,-0.0005,-29,0.359
cAT,jdmvkrwcds,fwqyfrdqpo,rbhevzogjm
-144,mspdyqwkwl,ombdpkwmlo,mnmooqvujb
yzvhldnykx,humoiylzjv,wivsvncygc,tkhayxpass
-872,rxjewsrhqt,dhufpcmlmf,961
739,-0.057,dog,-357
Cat,DoG,0.445,-689
gnwnloesgd,-0.4915,cAt,-699
-431,-871,-837,-539
875,-0.0685,erccxgjdrz,942
0.16,-0.339,173,293
cAT,cAT,0.36,0.32
-0.4165,mrktyllttl,-39,xnhvuclumx
gbutbolzhn,CAT,bygvjlfori,pgtdailtep
Cat,0.2895,-0.247,CAT
921,caT,0.0725,gaxauimfem
lpewcrzlnr,180,CAT,0.38
CaT,920,hqscbfqiuh,ubdmemfbmp
ycbbfmekaf,dOG,0.235,pvdcwkcdfd
995,0.0515,-0.106,twaxneczhu
0.4955,0.189,0.3155,-993
896,6,cat,CAT
jbbybgngat,yuoxlenxhj,cat,dvjxvyadlo
cyotgjwhma,0.2905,dOG,0.362
0.2665,curvseisac,-320,0.4795
kcawacowtv,-0.4675,0.1935,cAT
nylugrtxso,-150,0.255,ntfynzfydn
-911,mysmkzyvqw,-956,-153
648,caT,-379,wkyijayqcs
-831,0.4485,udsbnhsysf,0.4035
jpfyuhhjai,407,0.3905,CAT
pilkwukcuv,cAT,-0.1245,0.482
502,CAT,-0.4695,0.036
-0.33,mkcbczgyym,727,0.0105
504,-335,-258,qpcsiffqbt
