ikkaqtimct,uwgtjdzbtv,xbzqcvbqtj
248,doG,-230
-0.1045,-0.4335,eavbbqcger
0.3955,-0.4365,udfhyaqprd
0.1765,47,533
pyldgtrfpw,-0.3125,828
-0.147,aordhebukm,cfdqutwpqa
0.0735,-55,icjssuipsg
endtcfuzat,doG,849
0.4195,hcwokulqnd,-0.3245
145,-0.4995,kuzycxnyjv
226,-144,gtnsokkbks
524,cAT,0.4035
DoG,949,wpgkquwddi
evkxqhndyt,0.1135,dog
CaT,ypfdtfxlch,0.262
-510,-89,Dog
etmpoaxcvt,cAT,zyfngdbmfj
0.066,-502,0.025
ojtyyxostp,-81,DOg
-852,-0.3515,tgsqcthslm
0.3135,pqowutkupq,595
caT,-0.164,0.374
308,brkiwihvpn,0.2125
caT,dOg,720
398,mixomocxaw,CAt
cAt,0.131,-0.342
0.199,-0.3225,0.375
0.3215,xnrwdweouw,cAt
0.2665,njmbvxrqkh,bzikkoyocc
-0.401,-0.469,-0.4595
615,fzivjlkpwf,-473
-0.0055,137,-0.392
492,Dog,648
mkjnsrvcms,xjpruvzpyc,-454
0.4635,960,0.098
0.367,-0.369,hnoagjfwra
-457,0.1965,0.067
517,826,DOg
0.475,86,-0.284
676,cAT,145
CAT,371,xqmyocgycn
jklqylkqwt,CAT,fxbnwnwhdm
gcbnvxktdz,975,caT
0.2485,-522,-0.183
xuecynqojd,-0.322,517
0.1865,-0.1555,humthexdlo
-484,65,-0.1975
-0.215,dOg,187
rburkpwnbt,-473,dOG
bjzirobiec,0.053,222
ysfjnsjfsp,-0.0305,0.448
-84,hhrwutuiac,rdnfftlogd
dOG,fffnkvmizg,Cat
CAT,-984,uzddmfrxik
