ydovkmaaya,mwaerdcozv,tjwmxtqtzb,iznrswoknd,xuqpjugvjg,zbskhoibyu
-0.1465,ggrcsbqvca,-0.4325,836,-435,kewpyagilf
esozpffjyr,kmbhpltjxh,0.2115,-73,-0.2855,hceosugkjr
634,0.3495,dOg,-33,-0.0585,doG
sxssnbbpkm,0.123,255,-0.1735,dog,0.093
-302,0.2885,-37,-0.122,fczjjvfjus,plvsussnqa
262,jbdfkbwjvc,636,CaT,-142,gyjbvwdwwj
CaT,-0.3375,0.4595,0.4955,yxcpktjdob,jvggixiloh
0.3805,-0.039,0.2485,ipvpctnwdj,-0.18,0.456
0.253,vezlkxvmms,0.3665,-0.06,-599,-0.451
Cat,gtrhwvahmn,Cat,-0.4765,ugbeaxthif,0.151
moldfggnvs,0.0815,-293,cAT,0.2465,DoG
-0.449,mloehcazlv,818,pitkjhaoor,ruyivmeakm,91
-480,obdtwfqiiw,dOg,-0.1265,0.4615,891
DOg,qooksqlcqi,-146,-408,0.476,qinmfhxcxu
oaxzwhyhyg,DOg,0.386,-0.1175,-0.1295,seyfxtwwmp
ejlswadfcj,0.347,bmxjornjfd,402,-246,oksayyxfmu
47,0.1635,-455,-0.4805,hmqksnnegm,-933
DOg,0.4,qxdbuogjnq,0.245,xojkreuvwv,-0.279
rchpvkerqa,-0.194,CaT,0.206,-693,qxcsvpdcwv
