vjzkhpudee,xzsbxwmpdb,qygivwrpek,lfcxeqxxjw
189,-429,yeegnfaelx,-0.1925
656,-0.394,-940,-254
Dog,-649,Dog,mjftmtwpvi
67,uqdknoftms,614,ppdtoxnaal
nbmicblnsl,-327,-309,-0.341
dOG,0.3975,0.4615,-610
Cat,llzheqjuqh,rvnbfyggqy,-0.413
DOG,268,dOG,CaT
0.306,zvlussaxow,-0.106,fmurdvvcar
CAt,-297,Cat,CAt
betvtyxqzh,txppizxkvj,0.409,dOG
vmimszpuev,-0.493,-0.196,CAT
ghqcycbkqf,kdbbabnplg,-0.436,cat
quypghqnok,pzggaeduga,-67,sdhcnpxgqw
0.207,cAt,uptzjnygsa,66
-84,639,-0.013,-278
ztdboggqyf,cAT,wnuyamdyji,xfojsgjisf
-283,-0.043,-613,0.3205
qhgpibhzbu,fxoqbrpatj,334,-877
brzozdsxye,biqdehulsx,caT,-112
987,934,330,CAt
-0.4975,-612,ujsgxmkhrw,-406
0.0025,icoukcdrpl,-929,-0.495
ffivauejje,quqpwbjxnp,-0.0835,0.2965
sxgkagcnaz,0.058,arnuzydoyb,-766
uoshqfiosk,0.289,flccreiiil,0.15
-0.4685,pxotvxsavi,Cat,DOg
bqsuqzgins,kxuxsxfuwn,107,898
-0.3545,-0.248,caT,-0.067
DOg,0.16,dOg,cat
-0.0615,agfctykgkz,caT,0.325
lfjszohmao,-389,0.364,-634
0.2785,dOg,-0.2265,788
-0.393,-670,310,-973
tylisfalql,bfglkayxbi,cat,vpxkthmchc
tfvhkqovjv,742,677,-674
doG,pzfyjcmezo,0.43,-590
guzvfcdnbi,dOG,-465,-0.135
613,-0.4455,vbhehbrsux,kjfybhxawe
mjherymifu,-0.353,-479,-337
hcenelskza,972,fsdjpyquur,-670
0.3985,0.008,cAt,CAT
-0.115,DOG,535,dkjgseyscl
-0.073,0.088,0.2075,0.24
CaT,ylygqpzgkp,-0.3405,800
0.2985,-907,nfkbqdnieo,0.267
-0.2315,-198,914,DoG
0.338,-970,-0.033,xfqmbqeldx
934,vuiqzjhsmp,0.4255,-122
-704,dOg,uunivvkqdx,0.3755
133,kywxsvtraw,-576,0.438
-0.1735,-419,257,-0.0405
0.4125,-960,-0.4445,0.007
418,vlutmyospr,0.314,0.447
0.179,Cat,0.407,fsroeumopq
-0.2105,efeelxwjni,-0.112,0.358
0.02,934,xmvkusdwje,tnhuhduwyb
cat,Dog,824,CAt
-0.325,cAT,-0.251,zcknazfscz
cat,-453,607,261
cnsdxygngf,cat,DOg,Cat
0.332,369,uqoyjrruhf,-673
692,915,286,-0.15
-0.208,-0.2245,865,-0.0995
136,doG,-909,pzjxyephxo
402,-0.1335,0.322,idlxrpakgt
DoG,dOg,xlvfxdcdky,-0.477
tegkwrogtm,360,dOG,-0.369
ceigactcrs,-201,cAt,254
0.119,atymwuqhml,-0.101,dOG
