ceeiqkxfck,PET,furfblrmjg,zhyftahxum,xijubvehyh,yzzrjxvzkt
-199,lsuyomqkkk,-0.192,939,-95,0.334
cAT,DOG,etwrilzdzd,-218,ogiylyqlow,ufgijjmvfo
142,dOG,-0.4205,gbibhtabea,116,679
308,cat,0.031,-0.473,185,CAT
0.238,dOg,zbyjmonuhc,Dog,ncmqqwbrvf,-404
0.3595,-0.231,Cat,Dog,hlralmumhv,jbytdfbnfy
tbfrqgpalv,dog,gigqharqxi,-0.1595,DOg,-0.481
-375,zuwzqzuixr,-0.2365,515,-0.3285,-427
-0.227,dog,DOG,824,-106,-822
0.3965,CAT,0.2005,caT,-767,-878
glrosedurb,dog,0.4225,-757,jeufpaxueo,-0.422
-475,yelcmzkmmq,-460,0.4125,fkuzelbhvw,dog
czssmrgksa,caT,307,heqjxrkyyx,0.2225,cat
-0.1025,0.3725,-671,356,0.005,134
0.234,-371,lbtnjuvchu,-121,-207,203
-0.063,CAT,310,-0.169,-519,-0.161
-744,DoG,-101,-0.147,jeyxqdarti,ddxuvuxqih
946,0.4225,DoG,577,-392,-450
-17,doG,0.147,-0.0695,-0.391,dnbaepmckk
0.2265,0.0775,957,0.3035,DOG,cAt
137,dOG,0.4635,rnprtmyfnp,-91,0.4365
Dog,cat,-363,-0.284,nnljohrluw,-0.492
-0.403,CaT,0.306,-195,841,DOG
167,caT,dxfqusdhdz,dog,mziisyneyy,-0.3915
-81,dOg,-935,0.242,xddkdtodly,-0.18
153,734,CAT,0.1615,DoG,kzbwypspoq
-0.3425,dog,roqyvxhags,-0.139,-0.2355,-431
-0.379,Cat,-0.4695,dog,-78,0.137
xbigjyonqk,cat,hoemrpbqpz,cAT,cat,DoG
653,doG,0.222,0.0545,-280,-0.158
-719,901,-0.1835,978,Dog,xgscbfbnkg
-14,CaT,lovugwaxld,CaT,kpfktgfweb,jsdidbqwir
-411,Dog,cayxbilejm,-0.1615,226,ladilnfgat
-0.35,CAT,607,-513,ppdgxzqnxz,Dog
tiyudmplcm,doG,vnjbuzggue,-670,cAt,cAT
vipnwkbtxy,doG,hbcprjxwku,ofeiffwwtm,DOG,doG
-0.0835,DOg,caT,zgwcxuajjf,dOG,-0.2505
-944,caT,euywotbeor,0.3915,itpghejxwn,-219
xbabrzemsw,Dog,caT,-715,0.091,DoG
-580,cAt,cAt,501,141,0.209
kuilmmbaix,dOG,gclvrtlrdw,cat,-0.2295,0.4025
CaT,doG,0.289,0.491,ooyvwkyaqa,-416
566,dOG,doG,0.067,505,53
0.2395,ldfyhrwljx,-0.0645,uohgwcteak,-0.2025,-652
