yacpwommic,nisxoyqwwo,ufowmxzlob,zdvhidfzvh,paxefaerdn,lyudqxwdmc
-721,qqhlrbjjyi,0.3655,dOg,-435,0.38
cAt,zlqnfysayw,Dog,0.4335,khgpmtajfj,caT
fyglvugrax,absvbrbjxl,691,0.484,782,huuzrzpali
-0.2905,bbepoiksdr,-0.277,eeaxxomdsz,dOG,dOg
0.2125,izwaxlpcbx,DOG,znwpkjkpit,DoG,CAT
-372,-0.0585,-895,-577,-532,-1
480,jgieslddds,932,cAt,-524,908
533,xdknlsxwkt,caT,-766,0.4235,-0.384
dOg,-863,tgwljmswms,-0.092,qoidwwqcwk,-0.0975
Dog,-670,-0.213,rxowspbxhn,367,gnjzrhbvbf
hruzjkryrx,-311,yauqawvlci,555,cAt,0.275
-0.174,-107,66,-0.1655,108,-0.2195
0.421,caT,0.096,0.342,jqdwpnulyo,-287
-18,151,-392,-204,920,931
DoG,-0.4715,717,cmchzqullj,rxgdortaqq,caT
CAt,-0.21,CAt,dOg,cutmimwzxd,-0.1775
qlopqsidhz,zvseysmurk,DOG,-602,dOg,729
hhjyafidjh,Cat,-0.214,205,-0.003,0.12
nsysybfnpr,0.4155,0.181,0.003,cAT,dog
ykdfrprbbv,0.1825,CaT,-0.141,DoG,0.499
wygrywovov,0.401,CaT,146,cat,CAt
krprcwdass,-747,oddqhvizof,168,0.237,-0.364
caT,0.186,-0.0495,-19,hhvtlbmnet,-376
-692,0.218,caT,244,903,-575
dsxgehywxh,-0.3115,awcgubmeod,-579,0.2045,onqykyjnkg
cAt,-989,lyuvzktkyg,cAt,jqvgqqxtmo,vfonbrsbfu
773,kamlyupnxp,0.2285,-0.055,-0.1555,dOg
0.485,vjvagtwmwp,dOG,565,caT,gdbgewtrob
-0.46,864,-0.2475,0.2345,471,cAT
Cat,-981,ckawuhvasw,mybhzlkxop,0.276,okmlruagfv
jeiumhzdlo,izzoguiaqh,DOg,eanevyltta,-0.234,-0.025
0.1545,0.0045,-0.188,-0.001,156,-0.328
dog,0.1505,-0.4825,-741,-759,-0.0265
dsiwlcxxoh,-699,768,dOG,-187,-517
cAT,-0.189,Dog,ywkyxbjsup,0.2105,-0.127
DoG,902,CAt,-0.2575,dog,iamyxuhrnh
398,0.2705,-926,-0.2315,kgtxqvntpb,-0.3865
206,cat,inznrexlor,wggjqraaiz,-227,-883
vfahnifqzo,-0.0525,hbauzkqfry,nvqwsypzij,caT,868
476,214,cat,-271,cat,kdipfbdjxu
0.046,cat,0.118,-0.296,nolfinrzlf,-0.2695
-334,0.1335,-0.0285,0.0605,DOg,0.339
-214,vtkftiyfsr,26,-854,svsgmbpura,-567
0.218,-0.438,546,vbzhjgtmzi,DOG,zreegdyxyt
-468,DOg,-0.293,-30,-0.412,0.3625
DOg,-888,-508,425,kddzklptyu,0.281
-697,0.3535,-39,20,tbbpcboyno,-0.3065
-0.3225,kpfflvlftm,-137,cAT,DOG,219
-0.298,jpvyabpvej,0.268,topbnslgio,wyqttvpnkc,-483
fnsayaojbv,doG,habjbnbync,364,0.092,485
-164,tjxjxvytna,486,CAt,0.121,-702
DOg,822,CAt,CaT,-614,0.076
CAT,-747,Cat,tsacywhnzt,dog,-17
-398,vzcqwnjcdu,386,-0.1105,dOG,Cat
966,0.3205,zsrgrfrexv,DoG,436,ufizyleerv
316,384,-663,-0.488,CAt,ctnjspzfun
0.04,-0.2325,-612,441,441,-252
-462,DOg,luckevwoyn,dOG,0.3495,-895
tdbrxxhvli,DOg,-0.2555,0.275,-795,649
-552,duajeyozso,832,-885,484,0.115
-0.3765,-0.3235,cAT,-558,nxddhmddcg,-0.1665
Dog,ztteahvwhd,-0.1785,805,cAT,-716
-881,ubiobingvz,CaT,-0.0285,-0.118,cAT
542,95,tfnuugxzqp,cAt,rwwfmhrzoe,imuwxrmlju
fypygzvass,DOG,348,0.1415,cat,-0.027
0.14,-746,ntanowatow,0.18,-0.3865,lkvxzsnzie
-167,-670,611,doG,0.241,bkbjtjaxsh
-0.2,0.355,zhauicretm,doG,0.286,xhwqzwzsrx
0.3245,edyhcsmyxu,0.035,383,157,-0.091
lxpktgzbmk,0.3355,0.4315,0.196,-71,fqsqwctzbs
250,doG,249,-506,-794,cAT
777,61,-0.1925,0.388,cAT,-462
-0.2965,-0.1345,-939,39,dOG,-737
432,0.1995,ecefdhikmg,jofamqikyb,893,doG
Dog,-0.0145,945,yolreqmygg,0.281,444
CaT,dOG,146,-0.3595,-0.4935,-0.4235
0.393,ejlikyamle,nmqftbeixz,-0.388,-0.483,188
dOG,woumkeibti,24,CAT,-178,470
rforbeqveu,78,0.3485,iymjotwpxi,166,owdhwoxbbg
-878,-478,-0.478,vbacdefdoa,fhjmimetki,224
