oyuycotjxi,wsajvlhndr,gygyksmqmp,hjvxfzdxga
916,Cat,0.175,0.1105
caT,0.41,DOg,ylptewiczd
ikyjrvkczo,0.4765,0.1745,-0.4705
uhsnphtfwm,cat,-0.1375,37
0.125,0.3405,-728,hyfogmfuzo
0.451,-669,Cat,liaxndodta
emcqoojgyn,0.199,cAT,768
537,nypdvzktta,DoG,lyswxhhitv
-64,linkzlyvlq,0.1275,-0.325
0.2145,923,ayldzhqqki,766
0.4355,Dog,78,0.111
0.1785,ccsmnzrdoj,-0.3135,-427
-801,xvzmcucxfu,ftsctarvra,-0.277
kmpedzfjvz,-0.4575,dOG,DoG
brnpmtfjch,-983,-0.392,0.173
-0.2645,678,0.308,0.1325
vrmopwxskd,708,-0.355,-172
-0.3545,zqzbfhdvib,481,53
oedvvyakos,-0.226,wqufdtaizh,731
344,alnuwqrfph,681,drtnrpgwsh
0.398,phadelyqee,0.3015,cAT
720,-0.198,841,917
0.4055,vflwhqtvny,965,bcfqxemnad
caT,-0.04,0.497,-0.337
-377,-743,-779,383
dOg,aqtdycppip,0.4385,CAT
yqnfdprcqf,0.2465,425,uycdkekndq
0.265,doG,139,-749
dxjnqvepti,-0.1655,0.4825,886
vypnsawbkn,zikpxvoxln,tqdwnukoxe,CaT
0.194,Dog,gfoagloitn,0.3105
568,0.2045,jbgxqiykmi,-38
-397,zkptcqgnhc,0.3305,-0.126
0.2675,524,bafrtozyvi,0.3495
CAt,176,0.1355,513
0.303,qlbrfnroub,kzolrqhxmf,301
pmkrkowtli,DOG,0.037,torpaesvbz
tjsddcxmsp,701,CAT,934
gyfcyepbkn,242,ckyixkseer,DOG
0.3065,hdpyjlmsrk,775,bmabyvcrgh
dog,izzpwiuwbc,dOg,706
-0.3875,-651,0.357,-970
DOG,-0.356,-0.337,0.3545
oyqesgjkvx,0.4565,-391,-963
-0.434,946,iafvzoqgfm,tqqckquhyo
0.0505,0.0705,-0.013,harwuatvyc
391,uzsbttdana,dOG,caT
0.2055,hktmzbofni,aduljcgyao,jyxsxuywle
-0.279,488,-0.0195,-0.0325
0.0645,caT,-0.2415,-0.3185
-529,0.1555,0.171,cAt
-0.0755,DOG,0.3085,-0.095
fkegmnpvjw,rxjoduyuio,-322,mjtvpxseiq
cat,vpuezzstvt,dog,-0.2485
-0.128,-0.484,-356,cat
656,-647,-0.453,-355
ehgazjixav,220,mgoixyszuw,-913
608,wtmlvhiwef,lejckqvqax,-221
dayscnvfwh,0.443,578,bcymvwybrt
-0.002,cAt,jgkrqjawkf,-185
0.437,utrmhhokcl,0.1885,dOG
ztkplwegwz,qvmmuewdmy,0.0445,auyfdgcepy
rlxytwonin,airzphokje,0.092,huoettenhu
cAt,CaT,dog,309
myljavbjum,-0.384,cat,0.213
enedqqlvwd,-165,-693,898
ddacvsjeqp,783,doG,0.241
DOg,-391,0.0575,kcpnaitguw
ohggvcjyqy,0.498,dOg,dog
0.11,tbxjccfqqq,caT,dog
