fuywipejqd,onwvdjgbpg,uxmdjrbezu,uulgzqtjtg,wnxvdntxit,vcwlkcmjat
ocnollywzr,bpzigimusc,372,gfklypvwne,jzaqprmkab,-0.4015
bnmdsrspyy,913,0.4145,0.2735,pinhcgtfah,-0.2795
-0.081,0.435,-0.191,fwlcjzkrbk,pytrjijiss,561
198,CAT,-0.264,0.058,caT,xyhlxlylub
doG,qxaxdepalo,ssedpbbmui,0.2375,-0.1265,685
-923,-0.4945,406,0.3385,38,cAt
xrntvzmaya,0.1995,oncgkeqbib,728,-577,-0.221
730,wmwzocmfav,-0.029,-817,cAt,dOg
0.478,-0.329,0.3465,0.41,CAt,399
-244,-0.226,rdzwdovtmn,mzyrkctpqw,-827,-0.259
vnzfsplsyd,chibrvmmfm,210,jzqxtlvurr,qsyqyzezgx,jyfvzhxsmf
830,-995,shkuccyzfz,689,-0.082,-0.177
0.3625,0.0495,CAT,0.3165,-0.3305,memsyndwqi
597,-110,lzzthzpvkr,DOg,prssjqsvcl,-0.2855
vsuyfowckv,texxscldqd,-768,ouvwducpyw,DOG,0.252
uhsmovrocc,244,cAT,0.3765,0.139,-931
-710,31,-0.047,DOg,0.091,yujdghhgne
dOg,CAT,247,-845,597,rjgiubymhg
0.388,0.2695,DOG,-243,jeypdjqiys,DoG
cAt,0.464,tikzvtkfdj,jozqesqztz,cAT,-114
CAT,odevkiseop,-19,tqeyislxwm,uasdcbnrom,0.1905
cat,0.247,CAt,630,0.1005,707
297,0.305,0.3285,CAT,yeekhbokjg,0.127
193,qwnfrpzeri,0.378,0.066,qufbopuwyw,845
pvscsktlid,-610,354,-977,vggcighxsd,-937
rgksogjmpq,kiawdgoqme,caT,dOg,0.175,0.048
0.127,0.1485,0.141,924,-0.275,pncyctfhbm
CAT,cat,-711,xfuncsphdw,osdibgtnhl,kvnwwslndq
0.235,-944,gfoyhrnhhf,dctuqjnbpl,cAt,dog
0.207,-0.1905,755,uuqjicboez,-86,0.13
-932,759,0.322,mgdhahnqwm,46,0.4105
-0.04,-0.264,-0.3835,86,cAT,kwqbawjxre
0.4745,pecfuyngoh,-0.321,0.2375,0.0195,cat
rrlwrwtbnn,-858,khdcdgqbom,CAT,kjawlpmbez,693
0.204,0.037,vkqkaslhhz,134,-650,ifoghbhhvx
608,0.3015,atzpexynnf,jfntfnxeki,bvcoxbrgrj,zjiwvplzsj
-0.2425,-346,0.403,0.0525,976,0.046
xzktugwnsn,tbokyndijz,zduxdrlwsj,fgmtsrmqgh,tibeiujdft,Dog
dOg,-298,uyodlnwttw,-636,0.003,gibxqwafqp
uytimkxhex,iscofusunb,-0.2325,-687,uqankxiusp,akrkumwfon
0.413,-450,cat,-0.2135,mecsdaamdl,-181
0.3265,799,-0.3905,kgylcfxjui,210,494
0.463,-0.0535,0.1265,-0.1075,701,DoG
711,tmgndxbitd,cAT,947,CAT,0.4955
-794,jsmssvqvnw,htwkmsedcx,-0.499,zobzgvfnrp,12
572,-340,DoG,xfcmlmvuvh,0.2255,-0.276
0.091,0.1975,0.2095,-494,hxfvnhdaex,-887
-710,0.2525,-599,rprkohvkki,-759,-0.355
-947,-586,teztxlehnv,Cat,936,duhngtttiu
0.17,-224,mdrthbrurt,862,0.454,0.0185
wwfdiglxze,dekqoacqyq,0.365,-0.2095,-331,hohlvcglkt
dOg,0.2705,jwbbdbbeww,368,Dog,-252
-0.196,0.1615,0.3705,57,vdmoqfkggl,0.49
-0.349,0.1525,dfvzlthcvd,ijvwnhcjaz,DOG,DOG
-686,-0.06,dOg,-5,-0.2795,zbahutwufk
DOG,DoG,ulsqigdviu,-50,doG,caT
-0.1805,0.4395,-982,545,yjuyexypfi,190
gmmfgbavwk,umqsyfkwst,0.202,-0.043,-516,-983
855,doG,-0.4625,gjubufksoq,0.345,-0.4175
42,985,798,-0.2645,dOG,rhxwfjqpuc
-596,tqpvvbaekm,547,hebjgbprpt,-0.1145,onexykvqfc
477,-0.109,cmttytoien,-392,cpysbycrwh,-0.013
-699,gsbwlhcpnq,0.3985,fqelpbudqn,544,0.2445
-757,DOg,oxrvqqnfpz,gjniiexfyn,kpuyvvltsk,-407
zexsctospi,hwgsbehsvy,caT,shxmwxjdod,238,927
DOg,swtzlovfky,-0.2665,wuluopdhan,-547,DOG
-0.2325,cat,Cat,648,-0.413,doG
340,475,-73,pwpymmdpru,-734,708
0.2305,-269,eldphglppf,-0.097,472,eblwmvcznj
0.0055,-244,DOg,0.3245,-0.176,0.4725
326,0.1585,-0.3295,0.329,-919,-103
-0.1295,-0.2225,0.4845,0.4195,0.229,0.411
0.4125,doG,btvkmzvzdg,-0.3735,dog,gajpkrgldc
-0.2895,-82,demzfrtfyj,103,fnkcaithmk,0.2735
0.0955,qapdjfoueg,cvcajvzubh,-0.322,cAT,-0.318
-0.442,0.2505,arhwoidcam,mrclnrjloz,-182,982
-0.462,-0.146,bkzvbrssqm,acxktgquui,-0.2335,Dog
CAt,Cat,lxcgvyxiqn,wceyotlwcb,ztzhezyvam,0.4605
