yqpkicnsrp,dcxmnffamv,wifbaxpqct,ryyoczuuds,xitrxnlmqx,agbqubuqqu,oqahgzgznc
-114,556,296,zgvffpakza,0.371,-900,doG
-822,0.291,-929,kzpmxqdeqg,677,lzzycfumco,0.311
hdnyzulkut,DoG,zvtnzjhnvj,-630,dvimtbcdpf,-0.153,crvcmdbemn
DOg,247,-248,rvilvwzzue,649,doG,-0.0585
-0.3765,-0.001,-596,0.49,620,-4,0.4445
-0.482,0.3455,67,mngqaixkbc,0.2525,729,-337
vozlsbuxqt,0.1645,-664,-0.0665,-282,-438,fdztrsommx
zsfwkbnsli,-871,399,tknoenbewb,-659,-607,lrqxzyblwy
CAt,cAt,69,-0.142,-0.101,DoG,0.3695
310,DoG,zzthmjgscb,CAt,Cat,-21,qvhsiecgfv
439,0.261,0.3165,-0.0955,-303,dOg,0.3425
-649,-632,0.3035,spqlhmmdjj,msmebaekzw,534,gbcndnojha
-0.3565,0.423,0.0865,-942,rmdkxpfaec,893,998
jhjjvujwnz,0.094,cat,izgfxwbmep,144,-0.402,rtisolgqkl
zltnbpbhld,DOG,wbnopeivul,0.0185,cAt,knpaxvkxxg,772
-0.031,0.4995,nrfxesunfe,194,iweiwcurav,cgdvzdohid,zmntooyxcr
tqygulawyi,-0.26,qpgybogvht,0.208,hzhnuovnmj,122,0.4635
-0.3605,wxcwapuunw,-0.214,CaT,159,0.449,148
qkwsemebep,-0.4225,Dog,105,govutzceey,DOG,dmmqpuujiz
gppiixcpap,vnmkvasewj,792,-326,-802,doG,185
630,Dog,xysqcagtcg,pmvwrwmwhg,75,-0.0365,pjuhwpcztu
lgroeusrse,-405,0.3345,-0.348,huwvkwvkgm,0.33,wjblvgixdk
0.445,717,bnttexkxer,0.164,lgunyejjkt,rfanguffbh,0.3975
-951,xwmrqkbjjm,ontovkqktj,CaT,-13,wdjhytpqqj,xqwedhpscx
-255,-506,fyftdhaunj,0.439,-0.459,DOG,DOG
0.119,-0.099,-0.42,jxmabiodfs,dOg,-128,CAt
92,0.313,gcpjevpkkm,0.406,cfdphirtmq,-0.4325,-0.4395
zksttdglky,94,ckolyufdjl,CaT,0.0115,xgjnmkxjyd,734
-0.2425,CaT,0.091,doG,cjgwzjavqi,-464,632
-0.0325,-0.0485,cAT,bzjcaztdnk,munkjgflmi,dog,cAt
94,Cat,dog,-0.371,pwerrgwyna,DOG,-0.1615
wbmjofdkqx,957,522,mwlsidjbmu,-117,lqtbihxyxs,-0.375
452,85,0.0155,0.3705,wvyejyqzar,qukcacuglq,ihrwssckvv
nmvybftzvd,0.269,kqcuyddemu,CAt,cphdocyuix,-338,fykynhswqr
dytuwsvewa,nvtbolxqfj,itjigtapkm,dOg,DoG,239,0.162
-422,yeepvivseu,zsgdybbpqi,-0.429,0.1305,770,0.453
870,0.2615,mrmmfuwpyd,-336,0.113,toaxfzxaxy,sybbekmnum
dog,-667,0.35,-148,kjxpewnpzu,0.1855,534
doG,-0.1465,301,vfmcujzenz,pbmtxehkxz,infyxkunea,caT
-0.167,fbqwrwebbz,-788,-587,999,wiixmyhlzh,ywqutfogpu
cat,-939,huqjxpdwyn,qcxtuoalqx,-0.183,0.2025,0.0665
DOG,zrbxnututt,rzhqywxnsw,0.044,-845,vycbvxpfaj,cjflbzrxos
157,-460,-0.481,-0.233,muxjinebdy,dOg,ykrffoeaog
-0.2265,-0.484,0.2515,xhvviazkzr,-28,-263,dsdgnggcgx
doG,820,0.3875,dog,DoG,cxrxhqqbng,ftgtdlkafd
-0.2395,0.393,-587,ebdhxzoylt,CAt,0.0655,681
