szgkiwdzzz,oqmijhczgf,rjdpsvscpz
ahmajvveef,-871,-0.3085
574,-0.3305,CAT
dgbykmdyhz,etkiyvxzih,-621
687,0.449,235
jehpasfngd,-0.474,fyjduepfhi
781,gwhlmpoeqz,-0.4225
rjupafnmvm,dterhruedx,-905
-0.386,0.0665,0.3975
-0.3155,0.169,kxdpeukejc
0.0475,-0.005,0.0215
-0.0535,caT,cAT
tfxpazwqqx,vzzyjpsvki,0.118
-0.415,-0.178,447
-0.013,0.449,-0.174
DOG,-0.1445,CAT
-0.1075,-389,ujkngbzycq
0.457,-651,ygksyfgpcv
cAt,169,dOG
-507,-0.121,btnbxzxoqg
zikptfjyns,-542,otnohghjqn
DoG,lkbzyvaacv,CAT
-0.466,DoG,-713
-0.016,udoahorkwp,Cat
-192,aapurkkdah,-0.186
546,cAt,cbmjqcbujz
-768,caT,Cat
-723,-0.059,0.103
CAt,aiycrqeitm,-0.2335
-871,ciycigwwpb,-456
0.3625,-0.3105,0.466
-0.13,0.2,Cat
238,ngwttfhtlg,617
nldsqiuovk,ctuoyiyrqk,wsyjikcftl
-209,cAT,-0.317
DOG,-241,-0.4985
-976,-0.241,neyelyktih
0.3685,-0.2145,htggqkjohx
pdgptkbwrk,0.348,0.035
-0.084,-862,kwilmwucsw
CaT,-0.075,swgokpfzbw
0.27,bxmyyqknao,lotjupxlje
-0.3355,0.028,-0.1505
-0.1285,0.3305,200
CaT,900,359
rjkjxglqop,0.197,jfvbhkkxkq
0.249,-0.024,ohvvyrwmsc
387,dOG,woffpzxuoy
owlcsduure,0.3405,eunqbspvzb
0.24,0.159,uxiuhxmntx
cAT,-373,335
0.3085,-0.028,-0.333
0.342,-172,-0.467
Dog,xzkdkwzqnu,0.3925
sqfnbziehi,-0.1545,0.0945
ggeonuyexh,mfgaituzpi,caT
-0.3155,ewyexmhcly,0.23
fyzkiwzxmh,mwgjtvtkjd,scfqtztoqg
-0.239,bjyfxuhxnh,-0.0395
-0.1795,-868,-971
gyhgvxuxyp,19,-917
optwbhzzgq,afwcxrksju,-0.1535
115,-0.177,hkmbokmnly
henjuqjuxz,-0.4685,-971
-0.3005,kmszwcevzq,CaT
-0.2845,Cat,vyuilyynit
-0.022,230,658
0.3845,393,DoG
qdvfwihmfw,-0.0355,0.3955
-201,51,wkyznwyrxp
-0.4745,0.002,400
zjkdtamtxi,CAT,dryzvwxpvc
0.309,aefqtcmgbk,ygrbcnnitd
-290,0.2645,0.0525
sarfpdswaw,vlfzaghczv,lmfscxtdnv
953,0.2615,CaT
-0.057,0.35,gnbzmhfpqd
-786,riwringykl,-319
vjmfurvmwa,835,caT
DOG,-0.2775,dOg
0.376,yikexvevjg,665
0.034,dog,609
bswkuyjkpo,0.0305,-0.0365
slmblcieiv,-0.0115,-26
-678,0.1695,wviwbmiwhl
qhjjfzwrvz,0.2155,-0.304
-847,iajezhihke,-0.198
hnmwdawfnn,-56,-0.0325
-523,sipuxfdfyr,goiwurxmfx
-0.2865,136,-0.241
170,bvhlqxrvoj,-0.467
dOG,ipbkktfjpo,ytipqeonig
920,cAt,953
pcrjjymafe,bjibfgqymq,ewofxkqhve
-607,rbtxdokoyj,xyqkqbtbmg
jxidjyeqcy,-463,-0.2305
0.309,294,riovxednvi
644,810,acajmwshgp
0.116,-493,CaT
