dmgurswtma,efahxoepss,obultmlnjk,rbucniupjl,iugoserumk,nqmamckeox
DOG,cAT,idilblxwlm,-44,-0.311,-396
cdfkmlwerv,dOg,pkocasvxaz,0.2495,dog,gdshggvixq
0.33,icuauzqule,-199,945,DOg,cAT
540,dOG,0.28,vowgcoeixl,dOg,cAT
-0.173,-0.4435,bjutnjapyo,ggtqrnanuu,-0.122,iacppjlxsa
-667,wjelhjkqat,xmeienuiqq,bymixgsvgh,-308,728
0.302,qlqiqpyjos,eujngxltyu,878,0.1,lcjoffepsw
gdotvedptm,lgfiuwefms,0.44,-0.0745,-702,cat
-39,keulsnhkwc,cfnwzffczv,wrysyzbdue,-0.465,164
-0.021,0.0295,yibzwcglst,13,phqlyaywme,90
36,263,0.457,Cat,zjeiibospr,hkgwlnyicr
-0.1305,0.047,-681,CaT,-350,-643
0.414,-106,0.298,frehzgppct,-14,-0.488
wsgtrswimg,0.23,549,tlststwkqk,jjrahupwsn,-134
ontogjejta,-610,0.3065,-203,538,zzhetbyukd
nezbtwxcnu,DoG,-0.423,-546,caT,0.1615
220,270,28,dog,0.2255,-0.365
nhdmycxhwy,dog,mzbfbwwhkv,-0.154,bvanmpqiad,907
dymhqhckrt,CAt,DoG,-0.3715,0.1445,eqkacuohls
CAt,0.009,0.468,-0.098,0.2465,0.242
-0.4695,-626,0.2625,hbyvrirgyr,dOg,caT
-0.4975,827,CAt,cat,pmgxcwpfty,-0.0645
-0.1725,-638,rwelkdxtkl,cAT,0.206,vmyuprwtgc
izwvflnjmf,321,-505,-806,-0.234,CAT
-0.319,eicaeueohq,-0.0465,dOg,-0.116,mpjfqtjvxm
CaT,164,jshbtuttng,-0.1985,-26,cAT
-0.253,434,0.024,0.0095,-649,702
-644,50,0.3085,oahigwlspo,287,bvxbfqsmsv
cAT,ekvwadpngg,-409,874,DOg,nwmnbtwyce
hszoaieeor,194,fyhirvbpnq,0.292,-0.1905,656
sodnydqxpb,-57,cat,0.252,ffojdxggui,906
DOg,767,425,gswxokwgrf,dOg,xwabxmnkhy
0.3805,jjzclqnlkv,qeikhgelkm,259,Dog,-0.344
219,vswndecvwe,-0.3525,743,-0.2485,0.2945
-0.4305,wqfllhfdte,fghpdbdked,xdxppavney,wfemnshnfe,dog
-0.2265,hfzxilksmt,CAT,-591,caT,qvzrhtblnm
DoG,0.356,-995,nagvgabemc,-155,tbnophuncw
jeusnyforn,221,-750,0.1335,lcquejoffi,-0.286
udvlqwefut,0.426,0.4665,119,cAT,pawwjatblo
-0.2025,-544,-488,jyvhxocpqx,675,ijtrkytbdw
-0.335,CaT,cuwhzfxcvj,155,mxukydotmt,445
