hcrcmnheoa,qvrdmttypj,exyqselwwd,Pet,labjubmwfy
vkounbzucx,cat,-0.3765,cAT,785
cat,-0.2295,-505,CaT,-802
-40,-0.4825,ujevnrmtmy,CaT,0.324
ygykgbkzrx,927,-0.0895,0.369,dOg
90,469,fsuhimzdzd,CaT,145
-0.4465,wqdbpktcda,914,CAt,473
-0.467,-0.1075,-0.279,-55,yyjoqofszj
hivdneseei,62,tzufrkyeac,CAt,CAt
hnvebpedvj,847,546,DOG,-0.3355
-126,tpvkxulmpr,-304,fhugrdbotc,-154
zogrysxcei,fqwwvonosk,-0.281,CAT,-0.0605
-0.1045,qxwgudssyu,jxemhuwcqt,dOG,nfezwsczpg
0.409,-987,-148,doG,184
cAT,-268,0.4895,DoG,CAT
zanboxqaxi,-693,Dog,CaT,cat
qvazahdlrf,-372,cat,DOg,676
-0.27,-480,362,-529,587
-0.1775,-906,939,dpaqmbkeyq,-965
-618,oqtrxjnxxo,rynamqflpg,-823,-0.194
0.053,0.411,-116,pjnaqzoswe,lmnntrbydr
146,-0.3585,swkpvjgipz,caT,jpauujwjey
fbislejiwz,-764,-0.259,smjuyraeoq,CaT
-387,cat,corfpkzsxr,dOg,kiyxgczhit
gpabosmvca,cAt,bgogdmnmps,dOG,-181
0.3795,wvzvdkitsj,caT,444,DOg
wanykgipyp,-0.4185,omduvqisyq,-0.316,olnqwvbyhq
410,0.173,0.361,bwvhgyotax,73
-51,dOG,-17,dOG,-557
0.1005,zrmnmlnmrh,-0.275,doG,0.4195
CaT,-0.2985,265,caT,CaT
mgvkjqaxbc,caT,ejkvitbfuh,Dog,cbgmangbzp
-0.326,0.3325,-518,CAt,CAt
dOg,-657,dOG,mstbavwzda,784
qrxgfdwnjb,-826,-0.1675,caT,dOG
296,rbnzooihqr,838,dOg,-0.2455
ildcknurjn,iyoitubspz,dOG,Cat,-0.0335
747,rytiypqdjn,0.406,CAt,-0.298
krvkcctiew,vrzcztlknr,0.3185,-247,-0.0675
ctlggbhgvw,-105,-0.44,0.097,0.0435
caT,0.0625,dog,caT,270
oxsajulwla,cat,0.4215,0.4935,iyfnvnluyx
cAt,vqbiymqpsb,0.239,DOG,569
0.1675,caT,0.2105,sbqmyfleds,0.0245
-0.217,ibvpimzgyq,mjrltajjbi,dOG,vhexmsjuou
-0.2875,-744,104,Cat,271
602,CAT,-993,dOG,cAT
-0.4455,-0.255,-663,Dog,fekzdenzym
cAT,CAt,bjosamipmb,ucmrmsjhhd,poojgrnkfk
-0.1795,dOg,ccgjsuouzj,dOg,-0.49
cAT,DOg,cAt,CAT,-515
-11,-0.148,cat,CAT,-374
468,kohdsclhny,0.223,159,-0.3835
CAT,-0.121,najexefgsh,CaT,cAt
-0.1665,bsvdlkuvso,109,dog,wimfeutakm
-0.444,DoG,0.4245,caT,CAT
ntwtcyxkel,0.211,alqsuvixvv,cat,tnatgznbsv
-29,DOg,grzukxhggt,DOg,gbdztzqrjq
-0.3405,0.079,258,Dog,CaT
773,612,Dog,DoG,0.463
-0.097,-855,923,-0.0255,0.3325
0.2955,DOg,388,920,-0.48
0.2575,yajhtggilj,goisbdqwtv,0.3345,-0.189
kriogudgwm,0.4015,-697,cAt,cAT
bfhwsglbzs,CAt,-376,-612,0.4355
-0.333,dog,qveuiijazb,Dog,dOg
-221,0.2825,499,252,zowsvblqkj
644,-133,0.292,-0.305,590
-3,-0.1595,CAT,doG,xadcdtiecv
CAT,-0.4905,8,CAt,-176
dOG,-0.217,CAt,cAt,CaT
ytwneyfckz,doG,cAT,CaT,779
0.4565,0.071,-50,dOG,garfnwhzdh
mrwjivzgnq,6,lfobqfmdsc,DoG,893
860,-0.489,-0.377,-611,51
