ukqnthmsor,bnvbkeqjsv,pet
-0.2685,-0.278,CaT
-264,48,DOG
-533,pkqlzgiokk,0.2765
DoG,748,cAt
cat,DOg,ojbtxdstud
wyzoqxxzvd,cat,caT
inuwuaufxf,-499,dog
cAT,539,dwpyxdtkud
577,-840,DOG
cAt,mibjhxrbyr,aptednmxon
-0.1725,-0.308,DOG
-0.02,0.377,DOG
caT,-0.23,Cat
796,cAt,dOg
-0.4875,-0.293,wzeddruvkx
tkccxiuqmc,0.01,cAT
gjveswhelp,deefzxjovq,-0.289
CaT,rsukjgjqhe,caT
qexkwppzwd,241,dog
947,423,DoG
caT,dog,caT
-0.0595,doG,Dog
hgbrpfvfuv,860,0.299
-0.2305,gmntlmyots,nbfnbgukuk
kjpykimgey,uehsrbyunh,CaT
-640,dog,dog
brcapyitnx,-0.3665,CAt
-0.0955,-0.4275,CAT
CAT,-5,DOg
caT,-0.337,DOG
doG,-10,cAT
jcyubkdzzl,-164,-470
wrchvwxkkc,icunrpywhv,rmgvhpadkv
-0.4635,-437,dog
436,caT,DOg
cAT,0.448,DoG
-221,DOG,dOg
-738,-0.163,dOG
0.186,-0.4225,pkvcylxusa
-713,679,DoG
ulwrvtflwk,rfugzjwbms,DOg
CAT,-0.2135,DoG
bsffjugbrr,-731,CAT
Dog,-676,dOg
739,0.214,DoG
-0.3595,391,caT
-0.343,qczjcvgesc,dOG
hkiaqgqfto,-0.049,lukzfsfnct
doG,650,Dog
cdpbgwgzbb,0.2375,DoG
414,ajlaubrzdn,CAt
-0.1975,cAT,Cat
370,maohpsbavw,DOg
0.4565,-118,doG
cAt,-0.2135,DOg
435,dog,-0.298
DOg,fzczgfcmbk,DoG
uvicagtpka,-779,doG
-857,-0.244,vlijxxcbxz
-515,260,CAT
cAT,nufahesuuy,dOg
0.0975,671,cat
wtstgqffux,672,DoG
caT,vmhrnuxorq,jmhzsfgfje
0.4275,kaiygldudc,0.0685
ngzcmgkfnn,idernspefv,dog
0.2115,0.0255,dOG
0.457,-505,cAt
0.4465,doG,dog
-0.397,0.066,dOg
-135,vhobkfkosl,CAT
caT,dvhzokvyoa,caT
dOg,-0.081,doG
DOG,zchijljszk,-610
9,-872,doG
-606,0.026,Cat
0.193,-0.1405,149
0.2895,piwxbmmisa,CaT
662,Dog,0.0655
-0.4405,0.446,cAT
