khudcykgdl,hggdbeuwau,ljdbanrids,frpnhfrqqx,ccenvxsozx,zdbbllmgdi
cAt,sgvowrwbjr,-522,825,pedwrnrfdo,899
806,-0.2025,585,hqqfzvkxum,-0.4785,boprayhipi
DOG,0.2825,321,473,108,-848
dOG,486,caT,vhhwmlanro,pugfzzvsgd,DOg
485,dog,510,-0.399,548,732
aybhgjslcj,fawrbbehfz,209,CAt,-0.0435,0.459
-0.3805,0.4235,frsalhkujy,-913,-600,ojzxzitqew
-0.2655,0.1275,-474,-129,-0.4695,lqknjzzjfk
ctkusrbfjc,-0.3375,namnmngcvd,0.4245,-76,psetxctttt
ehwatnoica,814,0.1495,-0.3595,-65,-360
cAT,-680,drwgwwpnpo,0.252,cbfeekjqut,0.283
-701,-0.4495,344,hihtqabxwp,469,kajvfqahia
-0.2,tissfsavql,809,orppbjvrau,0.1035,-0.222
565,-496,qcrlutoqhm,CAT,rfjmuvbhbw,doG
-0.0295,Dog,zslbvnyveo,-795,nvntggvigm,xtwemliahh
-605,hpjzqqxtms,-510,0.465,efhhdakces,caT
-186,-0.3265,0.3125,CAt,586,792
0.1755,caT,549,Cat,-373,qiswblskbh
