reoxtrjiyn,PEt,ujjiolyvlt,zmjhxvlwgi,whnqujmkqu,qjknnialoa,ctroitjaka
-214,vepkikkntj,vrphihwcii,ksmabjqanf,0.0065,-698,0.1375
0.339,CAt,zvldpfuvbw,522,565,-0.3405,-13
0.322,Dog,lqelskfxxy,-121,-0.155,asaioijjzw,-0.298
xsypcdukya,DOG,-0.0285,934,ptuhyxmuib,0.192,0.165
gavzsyuuod,Cat,-0.112,-819,-0.2385,dOg,CAT
rzbkaawxly,dOG,0.368,-0.4675,ykqicygmin,-0.302,hwpnnwdwof
0.426,lchphlyeqr,0.075,98,jcgyyaidip,751,-427
cat,846,fspyrktkgm,424,312,bdutbiuuyg,drlsmmhyfl
0.3415,yqlrcmkqkv,0.1735,CAt,0.122,0.2185,krblfeubjr
261,doG,75,frleqgasjk,xuccycmjgs,doG,945
hmpjrmvlky,DOG,dOg,ikizjlnaqq,0.14,CAT,-684
-598,DoG,0.2565,fdgbsctqlp,303,dOG,bbmlapckxr
303,dog,DOg,-0.2405,0.1195,CAT,146
kebhcaigbe,961,-0.0545,ojxdqliokx,0.122,-0.1255,hzzmqsumjt
mqbvnszfnw,dog,-775,-668,ywfxttklhv,0.42,0.1515
773,Dog,hcqvraxgwi,DOG,946,fnxycvbmqf,-512
dOg,CAt,rdqioqtumr,-807,-452,DoG,-317
cnwhsvnxgw,0.0375,426,0.3635,DoG,969,Cat
-646,DOG,yrmavpbgch,dog,doG,dOG,-0.1025
-0.1495,CAT,cAT,0.419,0.16,0.3645,spqwmnpodq
-0.2375,cAt,0.4085,0.0125,0.071,-238,-0.158
fztypribml,747,-0.25,ikptaidrrn,-0.0745,-0.332,0.0735
0.007,-597,-1000,-419,qtdmgfacnx,-0.0975,-745
yxytzngnao,cat,oxhvdxkfsi,xdbbhswnwl,zxtxlpfbag,CAt,dOg
zzpyfqveaz,Cat,croncaqxsf,0.256,-0.4135,rzrfpdhhyn,0.156
buoxhpcjfr,DOg,cat,628,-0.077,gkouynqrke,298
CAt,DoG,lxhoudaqmy,-0.2555,132,-0.175,472
582,-0.1155,-801,cmqstonrwh,rapwndycgy,-980,DoG
0.3745,0.435,mcdphmogep,-0.0325,endykequli,bgymqejzir,zcyffjcsxo
0.248,xcdbrbkiyj,cAt,sgqrszxuqb,-319,-0.186,DOg
