lipuuzgsgl,otfuvdemhb,iiihlbqfzr,kwquawmhed,Pet,uvfbpixpvn
-531,0.28,0.325,0.3055,dog,0.424
sgrozagyqd,-0.4355,17,0.1955,dOg,vqikqhzjxn
701,aokyiobpoq,615,bfxlhntnjg,cat,0.4305
-0.3395,yyccbigday,CaT,Dog,cAT,-0.1785
289,oakqbkmadr,0.4725,-689,cAt,0.2155
0.0465,-562,nusrzvnarm,385,DoG,vubzggpvtn
-885,603,0.3895,akqrvihris,cAT,msvxrnnerv
0.1055,0.335,cAt,kxiozyodvd,caT,-331
-265,tdlmbolkgt,0.326,rofizvzxep,0.484,-0.2795
Cat,0.1835,tejjjknixg,-0.3995,DoG,740
-0.3245,uzimhjdfkv,-665,DOg,253,0.017
-600,-0.011,caT,rechatutpl,xqverifpsv,-616
0.3495,udnxtcturu,0.262,393,dOG,fmdpqurgla
rametjfiqk,0.239,qknrcykwiy,-0.4195,378,-416
fywzyepbwu,-0.214,DOg,723,cat,0.3465
368,-0.38,-969,136,cAt,0.0015
-435,tegbpmvwdd,zswdduuctb,qkcupaohjr,cat,0.363
720,gtbudqflez,-131,xdnhelpgfj,Dog,jdsjdhcjak
527,caT,rdsvlbcrkq,cAT,dOG,rasyjceewe
CAt,-17,asfwjoucyg,-771,CaT,685
zvsjraqpdg,DOG,igtegfvtos,0.4465,dog,-0.093
wbdotgbwmj,-0.461,970,0.05,CaT,0.3465
cAT,qkasfrcqtd,-0.26,Cat,DOg,etimauqjmu
eorrnlxvmm,0.219,-0.423,CAt,ysgkazfyir,CAT
dOg,wlcguonyvq,reqezvyzdd,-450,CAT,-0.071
-430,621,bybstrgvfu,906,cAT,dkggrxphce
hgjwmsoyal,0.2285,-41,cAt,raoqtntydg,-467
184,-0.058,0.3015,dfsgjhqxnn,Dog,-0.3005
vxvwfhxzqp,jahxsifphr,sbhbjrcrdn,-0.1925,bxkwkiyttu,dog
769,0.13,ewlesbareh,ksexbzdlet,dOG,319
tbsgxwjfdi,dOg,-0.2995,-983,cat,fzmdwpdnzv
doG,noejhtptdl,febjmhsvwy,61,841,jvtszpankf
445,gyvppvfhww,dOg,-571,0.4805,-0.4355
341,-0.4615,rudsrkgkrm,dOG,cAt,-0.2275
-0.197,394,0.392,DoG,802,dvfglrkksi
-881,ynlusdeylr,hyzjmwwmmn,liyfvriryz,-212,373
-475,215,lxmrpnscph,0.4405,DoG,dog
794,Dog,jcyphnfpgl,cefdtdspuj,CaT,-726
0.354,22,xqxbyrhngt,186,0.2825,-66
irdqsqslpl,-0.0845,-0.007,-946,884,-0.465
272,0.3145,-0.275,849,913,igsjbhbrri
-87,cvmeipkkdf,-0.4635,400,DOG,CAT
DOg,367,dOG,0.1575,cAt,lvotcavlik
uvxawprjsa,0.3155,DoG,qxplozmmom,DoG,216
-0.2295,bibbezsgrm,rpuwplygbl,0.344,doG,flvncqjurk
ftzyxvppkl,0.322,0.0295,CaT,-247,cat
0.2635,dog,-0.076,0.479,Dog,dOg
ztwkrofsed,-0.0995,wtenucngld,804,0.128,-843
326,bblayofbcu,gpawdiqgif,-0.1465,cAT,-294
973,cAt,0.388,ppwqxqrxql,cAt,hxjazlulre
0.417,782,-0.1245,CAT,0.18,0.179
490,fyltuwijxl,DoG,-0.212,huhsxopwru,xtekffuqry
867,acygmawkes,ovspvxbveg,-698,cAT,oncbenapsu
bjvwejhrqa,cat,0.13,dOg,cAT,0.232
981,-744,epetlvjdsx,-725,dog,0.1065
313,-248,doG,jnkeleauom,cat,-0.1645
dktugvvlfs,veqgpaccfr,xtiuckqqvn,0.258,CAt,-0.4465
CAT,-0.459,0.3225,ltyubenmzi,cAT,-79
ctnbgykmxo,vyxphpzlxk,572,sbbunvgjjf,855,-892
0.083,908,-0.0155,826,Dog,cAt
-770,0.117,cxkpdfihmw,437,doG,suuueezcsb
0.4725,-0.3735,dOG,hzqqhlhrhn,wpylcptpfw,rfbgejowdn
jkkffqjnsi,-526,-0.025,0.1735,CAt,qifmdcfhqs
-88,mngiwizwlo,-348,-67,cat,-167
dog,-0.2375,drnlnyuhyf,-773,wdfjvojxrv,-118
30,-0.2945,DoG,Cat,-0.029,-0.4085
DOG,yzdyywbxkb,429,210,caT,-462
-0.113,-0.458,0.147,-421,-0.0825,ihfjwzvflb
snsvnkrfii,-0.4455,mbdzrepoow,1,-737,499
pgvzzsgnpf,DOg,gxlbknclnw,681,DOg,-655
0.0685,opzdvtbrmk,-0.0555,867,cAT,doG
sjtblyjsxx,Cat,443,mmhefiavay,CAT,0.1925
712,cggxqpnmxn,kidlfcjtsf,-515,dOg,leevlgxsmb
jldizhkaeu,yrwqtcwuwz,451,cAt,0.278,CAT
-169,dog,DoG,457,CAT,0.2015
919,858,lvewfjyajn,-861,CAt,-0.0645
ewtkesvixr,lxjijclgiy,110,lccnljjgqj,852,-48
523,0.491,314,smupcbkmip,dOg,-0.144
-0.1835,-0.452,CAt,73,DOg,-755
nnhkiefkjl,rridpvyzvb,-0.213,173,cat,-350
ofdnqmbtno,zirhczaxen,vsehsswclh,0.1425,DOG,caT
634,-0.203,-0.2445,78,dOg,92
91,911,0.0365,hinooqjdiw,-914,lggxvcyqas
-385,qwrseathuo,0.1275,-207,doG,sdzelwfjzd
-411,Dog,sgobfofrbv,CAt,DOG,733
-0.3155,0.1315,dOG,-542,CAT,dbbzdfmesh
131,lvjneyjiox,dOG,kduoqavici,doG,dktwbuqlzo
325,-871,cAT,caT,cAT,0.3105
0.1045,0.1575,751,-0.082,DOG,utedxnnybf
