pwupjpggry,lrewrecjdu,vrvfinimny,ujddqqzqxr,qumxpaakkm,nzigwufbnr,ceazoirxxb
0.03,-0.334,-0.2655,wahefeuedy,-0.153,73,nctdzlhobq
0.2095,bnonraawru,50,-0.0235,0.4335,gxgjgztccr,-0.132
lvflozwbry,-0.063,532,jvehoqkhbb,bswuydkcyo,109,CaT
zpdszeeere,nulvxjnuac,270,0.38,-0.273,ktdfkxxbip,atpgcckzdi
777,jypfhsbncu,429,0.1705,tltpujatkh,-0.0925,fobwtbrsyo
eybejyghhf,-0.374,0.353,-0.2605,-342,-0.435,doG
987,250,ezdqspkgcm,-472,-357,-838,-516
-0.247,0.088,617,505,doG,nxvtpmiedf,kotdrttyyr
617,-0.0425,-791,gpbjkujqvv,bnchsrbyta,DoG,-860
-0.031,tlqaztkiee,dog,-0.1595,-212,142,-767
845,0.498,-0.394,-129,-414,dzfdwpfdhu,dpxzihfuhb
0.2715,-81,-902,-0.2835,dOG,380,0.292
-0.4415,-977,0.2375,eybedzcgfd,ucdpktkfuz,cat,sbdcnrtoti
gglkrbrtsf,0.3235,cAt,-802,-220,-251,vicjlksrmk
gxdtpxkxpy,620,575,0.309,0.3895,kmmpdrsrak,kgzialltso
0.4075,0.3135,dOG,Cat,DOG,ndzxpzjkgt,0.2565
scounjbrou,951,732,0.1325,utwviwbhup,948,pesuppbcbt
-0.2095,159,156,0.0175,dog,0.3685,ogtqwqdwdr
999,88,czrouekvue,230,-410,618,-0.1745
383,DoG,-264,DoG,943,okggzvvhxz,npdznkoaro
CAT,-785,cetwgmxirm,CAt,bejheirxqg,ducjlzkwnn,eeekeqczed
-109,-797,cAt,oqrkguicvi,bdgtaewgpv,150,0.0675
ellsbylosw,maqvaprtio,cAt,lklejtaxog,qokaeognlu,0.455,644
txoezvfeca,ugmzieqeiy,viipsfciay,tnajrgxwwk,-737,0.4245,njvncoheyn
0.073,0.4355,-0.378,Cat,voegodkncu,-816,mphpreahbe
-752,-0.177,vcakethety,mykhpicknq,CAt,jvuqeituoe,975
-0.1645,0.413,121,0.4495,-471,eusowmpvht,0.0175
dog,0.104,0.309,0.294,euluvqtduu,0.4535,inoufvnhmq
zcwjcexglj,Cat,Dog,0.4885,0.2245,-0.395,CAt
864,-0.205,dOg,CaT,fqcetnykzd,phsvgmjaqq,wygrdmmryi
0.352,336,0.472,-949,-682,-0.481,269
cgwfrrqxgg,idqvemzmxj,DOG,doG,-401,caT,DOg
cAt,gtsbgynapf,0.4935,-972,-0.3905,740,-0.186
giinrjoxwz,-0.3815,300,wlyncrhmmb,xzaejhazga,dphwlgbipx,ghirhuurxy
dtjbjxjzgr,-772,806,cisjkttjwt,0.189,705,zbrmflggzf
oodfdqngez,osabrtsxrf,-0.412,pcchwvjsjg,hvuirxdwhv,zudgoldhzx,dog
861,DOg,Dog,rzcrgukfbb,doG,hsyrmytzup,0.294
qmtmzhmspt,uiqrecsoxv,0.053,-238,728,DOG,-306
DoG,bqdfkgrkov,hxpubxistn,qhlocsldln,wkfgocotob,fknazlolrh,nigyivdkhj
qgskezuwsk,-0.262,0.2625,CaT,jtxdgrlutd,633,-0.365
-319,cAT,jezksxqiqn,468,-0.037,-0.194,ewejunqtuv
0.1305,-494,dOG,0.4705,qfqrdskhye,DOG,srkwqeuutf
-937,CAT,gxfqeruzih,-0.0975,vaqcxjtraw,0.4085,0.056
0.1285,cAT,kzgrwygiup,-0.1615,-622,0.077,-95
dryprjktac,450,0.393,132,dog,-679,uqcnafdmcp
657,tstisyvwpy,cAT,0.451,cAT,0.4585,0.034
154,0.4325,aiqsucrrne,-53,649,ulgfkvqnpi,cat
350,-281,-87,caT,-853,Dog,pdrclhurdh
yrgstkzlew,-974,hrfkjslxce,-0.337,-65,CAT,CaT
avxkwzrwkv,-452,0.347,-0.255,jrazprexhe,-0.007,voqgkazrwu
yjdewauivk,0.3815,0.182,hugvrcqbzm,-0.066,0.486,-247
-0.4035,0.0605,-979,247,-0.2665,twcywqtsql,jfpnzmxndc
0.3315,mmrgygktex,0.312,-864,ukyveevhqt,-0.4105,avfjqccnho
cat,0.3215,kuouuyfkef,814,kpjxdfczkk,-88,-0.0625
-0.1295,0.4925,730,DOg,0.4185,0.2495,0.1635
jmjiysemkk,0.378,dOg,483,873,stqnfvtjeh,-555
-349,-400,bbccgqtppe,0.0325,0.115,-66,qrsrsodndz
0.161,zdyzznfzzx,0.0015,xbytgipbxx,-0.356,dog,wulcvposce
atsawlvqij,tuqbeyjwgn,-0.1835,cnaxwovdos,-0.14,0.2325,dOg
DOg,etllteswjv,cAT,iuslotzein,158,ooowqlwqgs,fqroxvvlyx
dog,wzfbyqvbav,cat,0.1215,679,oletsamsan,mgzqfqhxml
ogpnzsvugq,-0.4975,-0.266,-115,-0.4065,-0.3925,-83
-326,caT,doG,htuaxodkyf,0.128,0.0845,-0.085
wezhhbwicy,580,-532,-264,nmipyquzhm,Cat,CAT
-583,-462,-613,bqaxvlhfqm,703,886,sounymoqxh
-999,prqnovgxpi,ldkdhndegg,louatmgkdx,-333,pseoshoirv,0.2745
CaT,0.314,-0.1955,510,829,0.2045,984
-46,413,0.333,0.1465,-0.011,-446,0.279
473,0.1195,0.3155,335,dog,-0.1795,177
552,701,qdcbjnnkzq,evrwapzqwp,rvgwjanzft,-489,tcdpsgsocj
DOg,mfhdsbvkqg,820,-103,oywozbfyzz,-494,Dog
0.0695,266,cAt,DoG,Dog,-0.0215,-699
qqmpndyuwa,701,659,dOG,332,-0.466,DOg
jgbiualsms,urgncmadjx,-0.0205,-130,-981,caT,frtzqzmecm
273,654,-175,dog,0.238,ytjvyiipfg,hvsrdzslkp
sxvzlbuzxo,qmhnbsldlk,idrhfvphrk,886,-0.3795,0.434,mwyhzcxxrv
doG,0.4615,caT,500,nfuumhjhho,-980,cAt
xqcyggjqea,0.072,caT,0.358,0.4655,201,Dog
hknelwquvk,myqxaazuii,mievtrtnma,914,0.322,-0.1195,-0.172
377,giqorwkfag,981,581,-888,-454,vfgncjnksw
gfrglukcpn,0.0385,186,-739,0.2435,273,-0.0835
0.183,DOG,-0.0515,lrdouetndk,263,568,-0.2225
