eayymlvwuf,pmxenziimt,cbryhwpkhn,nooeywrucl,mjyxdbfrxw,qcejulflwk
mdddilemnx,-0.4675,0.437,358,ddfmhsptxy,wqainfaste
-0.12,332,jmbghvqjyi,441,zribezmfif,ytvwngexls
-558,ptntyoizuv,jwoqtxdrhy,0.0125,478,-0.329
0.0005,CAt,832,dog,Dog,-0.058
-33,-108,Cat,DoG,wqdkhkpomt,-292
sfhirxiluv,0.1425,xzxlrtlumj,891,-669,hfvpvwnnze
bntwzdwkjt,yiqlqkdkah,CAT,-0.0115,989,921
ybbolsogmj,caT,DoG,-0.417,tymqmkhekj,soiptreojg
0.2655,CAt,-649,DOg,dtartroszx,nrdjrnmuar
0.267,-371,52,-287,0.246,-510
DoG,-0.2085,-996,75,0.4835,923
-914,ydlppsxiep,fqzynwwbjm,858,doG,-0.431
-0.222,-199,0.4055,cAt,0.4835,-0.3035
14,dbojkojfqa,857,369,0.0365,cAt
-0.118,httcnhqnod,839,bmdkxjcnut,dOg,0.104
-0.2235,0.223,0.248,-354,-21,-0.2345
DOG,-0.0715,-760,368,DOG,gkcumznnjt
-173,389,-0.05,bcyipbldov,-219,-0.0825
-0.4995,jtlqqyulur,-0.1695,0.4965,868,-92
CAT,435,-0.2005,154,rxmkoopfxt,-418
lptuxabthk,-0.4745,189,-0.479,-202,-524
0.096,-585,-0.4705,-903,pxjmfewlwl,-440
24,CAt,cdctxzxmsg,-188,pzeitojzho,rnkggqrlxi
-0.0055,doG,ogpjhelkch,hlpfjgvkis,-514,-0.1235
-0.093,CaT,564,0.3435,-0.3385,-266
-0.079,DOG,0.0295,-735,ikylyuvxgo,926
-0.0025,-0.3565,pimuyprnpo,-0.245,iywbojgfnt,caT
-924,-370,gsuhiwkvov,cAt,-268,zczryhxzfe
wwlugpxuiu,-0.454,doG,-0.479,ditlwqccbf,dOg
-0.2795,DoG,-688,0.165,CAt,-0.202
95,-0.3495,-316,-820,0.2555,850
pbxytlmqvl,-0.43,pjtdsstmwk,skskyygysn,hwugccflpj,0.4095
CaT,0.0775,-0.072,0.3045,0.48,-0.4355
0.168,-0.0505,461,wcsgsswewa,kfcsfrxffv,-119
0.145,caT,-0.123,-566,onewrmhuiz,221
mzyggvsmub,-997,0.4535,868,0.079,ykbsrkxyze
yytxzyilny,-545,0.364,tiiqyxbjoi,ofusorduwt,-0.4255
-354,eslstlnzfn,wxyijwwuaj,987,rtqnwdxzpj,0.4405
0.2695,wtqikvagxn,srpldqftoa,dog,jfffhwrybo,caT
CaT,0.223,jlthfofdre,ebhtlkfssb,cszztlqlor,Dog
-101,-646,0.2045,-0.266,-688,CaT
dgqjaepbcq,-587,dog,-21,-891,-857
-870,CAt,-451,doG,nrwuxhqcoq,gcdgjpejov
-834,0.1695,227,cAT,0.099,CAt
462,0.299,776,urkuzwopwz,-942,179
kgayvhkdhb,yshmiayemh,-975,362,-0.453,-0.1785
-0.14,92,ckjztjaein,CAT,zcytdmjyxc,-267
uwzmqknunp,CAT,-346,cAT,CAt,-0.3115
nhmzdyqvft,-107,eapwbosjsg,0.335,0.116,-0.435
mjpqpmrxkx,kkihsfqgbx,842,DOG,634,-0.071
jvlaaakwll,cAT,-447,0.119,ltjiwomamc,DOg
bdhfzlsqfe,-0.319,462,fwvqizufvj,807,rpssjnsdzc
Cat,-700,dOg,ibplxzblcn,kzvwkqinhm,-0.41
