Pet,jbhjijxtre,hzcwgxcspb,rpkcgkcrnn,mngptbcrff,qoyosqldzi
CaT,Dog,0.061,0.2875,oucfjfoqbx,0.4295
Cat,-0.322,0.2555,394,-0.389,CaT
Cat,-0.0805,753,situmtnyug,CaT,0.2375
cAt,71,899,dOG,gnhcaxgelt,0.1765
DOg,553,wskiduccjd,0.4365,xbbqinyiht,0.219
imvotuvyzt,qnmooxjcjp,-109,gpjakhrklc,dOG,-521
Cat,-38,nanhqgjaga,-0.21,xvgbmyppya,-796
Cat,-0.482,hfqitpdluk,0.4205,yxcqlqrrdc,-0.3185
cAt,-550,0.0205,-0.0195,fbvcakwlpn,Cat
cAT,364,814,zhkobybbtp,-800,138
cAT,0.1045,-0.459,164,jbwhdswmao,344
CAT,puxmyregvg,uakdwnjbwv,pgfsvoaswo,-0.2085,0.456
-479,106,202,0.3635,pdiwdlolnz,mvvuaqyjip
383,dOg,389,-213,dog,cAT
CAt,195,0.258,0.0865,534,0.3945
CAt,857,Cat,835,ogvstavjca,-165
cAt,tuppzycwck,zipmsceowp,-565,0.3435,vhprluibux
0,-351,-0.201,0.4195,awggsqqqkn,0.19
qpexisdfse,0.1095,ybkeuojlba,yhfsqwoknx,-0.365,0.158
-0.0225,jqjwwmkgri,hhmzwsexok,adhujrkfvw,77,0.106
huydqfoyeh,caqieiknxi,-0.0595,qlormzyclm,-52,-0.148
cAt,cAT,0.3775,dOg,dfjzrhxknv,-362
CAt,690,-0.087,-213,behirzntir,CaT
cAt,-0.3415,ovnmuhjsan,-0.054,ckjbezgpyr,-0.447
DOg,-297,dxralkcafr,0.27,CaT,wqzbxegjjz
caT,xeojjtjeak,0.1455,-160,-0.388,559
pcmoyrmjez,caT,468,0.2155,gchotjqyfm,0.041
pakxmeoiec,0.006,-0.0615,864,-0.497,-59
CAt,jonqdugqrq,-245,xcmxcxqayg,ssnlgvqzzp,-0.1435
955,CAT,evpatadurh,-955,dOG,cAT
xdbcpbjari,htokjrvkyo,-0.39,-0.245,dOG,0.1495
DOg,-147,dog,162,DOg,zljicwners
0.2035,0.0915,848,wnzcypbswj,-548,187
DoG,-0.2385,-0.022,lmzmzanypp,wsfencddkt,-0.0005
cAt,fpjuqxhpzu,0.3545,-0.4175,jpxfcayxve,adgkeddxoc
caT,300,0.261,dog,uyjalzoyqg,hxasstqprg
102,-818,-545,htjbdmiawn,-0.48,gjwpozchrt
Cat,gqfsgulkph,-0.31,490,758,DOG
dOG,-975,xhjvuxbtlf,721,tpwmmrjlcy,0.2825
dOg,0.2635,-0.3015,-319,DOG,0.2585
dog,isnagsjocv,oknlarmunv,DOG,CaT,-137
cAT,0.007,rnvyxvtmyv,0.0415,958,0.1035
icznvqxiqi,qladhccgpv,DOg,cat,0.3645,384
981,flqwadnrod,-0.347,dOG,734,dOG
cat,cAT,cAT,ttoxoodbtq,iyynrjsqjh,vtfudbhrcz
DOg,550,CAt,dOg,904,dzmqrvgaxd
CaT,-0.2445,DOg,wdrbbthled,-0.315,0.409
-0.3825,0.2455,CAT,qfihkucmvn,0.4395,0.3445
DOG,ixigvwvfmo,frwzhdbsaf,666,0.229,Dog
DOG,upqrgohpge,dOG,cAt,-0.1995,-0.478
