idykecletd,zmopvpuiae,mnugivmxqr,ssrdpjitgv,czjptgkrsd
vktqaueqpv,bcfqwdtgrc,15,DoG,zxxryspjbw
zuhqqhoenj,cAT,0.415,DOG,rourweditc
-0.2855,0.074,pfivgwasrg,doG,0.2215
0.137,CAT,-433,849,skdrxvrtwt
djkasuegbr,0.0545,-29,172,158
0.4725,-0.04,CAT,192,CaT
CAt,dOg,rnmlyvpide,481,795
-230,0.198,-0.19,qqoftxpcnv,kgwxylvzny
0.428,Dog,0.2465,pueydmfefh,-0.3425
0.0805,lgivsfycjb,-876,-426,0.421
CAT,Cat,-0.0405,-0.222,-0.4205
unvgsptdzc,ugctoygxpm,-698,uwmgnqcbda,300
798,upigxezllk,DoG,CaT,0.117
-523,dog,cAt,DOg,cvnirgopyw
0.393,344,87,vdaxtpznty,189
caT,-0.377,cAt,949,-846
hwoygtngwd,ilxkxhvcra,cat,DoG,DoG
doG,gbjeiegtip,ihwotzamcr,0.2745,-0.4845
-0.4655,-0.05,iwijoeqozr,cat,-21
0.452,qnfsydlajz,CaT,cAt,-737
553,CAt,drhzgnhcif,0.076,-863
-0.167,0.021,dOG,539,89
430,0.432,fsarxdeixt,-0.12,cAT
DoG,cat,-0.1725,CAt,-0.263
-592,-868,96,pifrpvlgcf,0.463
0.1475,-567,0.121,582,doiluidsqy
78,-953,-0.054,0.404,0.2985
0.413,xldqcilpvy,ufxsskwaus,ripddvaxam,CAT
uyhvsfgqkx,-330,-0.386,0.2855,ergpffeqhe
261,847,-332,-852,-0.1725
-526,-217,-971,cAt,0.4805
CAT,ggmqptgszn,kozdxmtlrv,qnauguxsuo,DOg
xuuhgrgxay,-351,-0.314,-870,cat
-0.148,-753,CAT,546,aettlryxhs
CAT,exapsuhvhm,-0.258,zwjlgoxvey,210
-419,-0.1815,391,0.096,-893
fdunurjdig,-793,CAT,524,-0.2305
-517,0.281,0.1495,caT,lvmzxwctfe
0.164,zehruvavxy,0.4515,303,0.3405
CAt,479,hevsaeeccy,0.3455,DOG
Dog,-46,ysdlnpcrki,asiroqlvym,yyvqmreaig
hgdituwohm,816,Dog,DOG,0.1755
DOG,0.0695,0.172,0.354,wvobgcjizn
0.2115,0.3585,0.284,0.2395,cwpmbvmvmi
cat,-433,rifmdaqrzf,0.4365,Dog
qeiuqpvvne,-0.378,0.1175,-354,419
-818,-158,-0.3405,639,-0.2995
0.073,0.26,DOG,gkfyszfoid,CAT
CAT,-0.04,0.4405,-424,-528
hhidceovtt,yyivqyxqkr,dog,38,-0.314
alnoqnsvti,-0.187,-999,DOg,-0.2635
lghejdbwxv,955,Dog,jcrofgmpug,psplznxtcc
-615,Dog,CAT,cAt,CAt
0.0575,0.1155,725,eqimoadshh,59
cat,jdyoptvolg,-0.123,uhdjuokfca,DOG
-0.1465,34,xbkafwgtgn,dOG,-0.3865
-0.0035,0.3825,-996,-0.0255,177
syffmuozzi,khjkpregec,22,lxpembcerp,0.194
538,skahtqfzlx,-1000,567,eijqgzrazp
-0.0215,-39,-0.434,-51,prmjyjgdbb
dyfuhmjcjl,0.0765,208,dzzclaeznq,fdpvjabqos
pheepkwaht,161,cat,-0.2475,-0.2075
cAt,divrjbaolh,47,dOG,-0.2335
548,-283,doG,ddnjvohmen,0.179
CAt,0.4925,0.4125,0.0355,-0.497
-356,-438,CaT,tiwxsbylnj,cAT
-866,dfesdwmsiu,cat,-0.4965,udnuzrnhzk
dOg,qitqtqvfwv,caT,75,173
-241,zzleoosawl,yxnpitylna,0.049,0.2855
cat,vxbfxdiaum,CAT,-537,857
0.2175,gnfhkfgltw,dog,xarzcxasio,0.4265
887,DOG,elowzovyqr,aqojfikupc,CAT
994,627,CaT,84,dOg
450,0.1485,-997,doG,doG
bbdwsknzwb,0.451,0.3955,-726,doG
670,188,-919,pgcfgrbrgq,-366
26,-0.0705,CAt,puroejoaei,-0.491
qvzfgzzccj,0.0495,CaT,cat,cAT
-0.403,0.0485,-312,dlrpvlcjrw,mbuspqxrae
499,txujisiupq,891,0.4355,-227
0.3865,cnlrkqltrb,shthxnvlwv,618,CAt
0.4615,-0.301,0.2425,0.4165,rgbzwuhzal
124,dOG,xskkprxpsh,dOg,pnbrtkgbgr
cAT,742,58,dOG,Cat
675,451,-109,ftpcbwjsil,0.3955
dog,yyrubenhpx,-224,nhkcaawkuk,-242
0.342,-0.253,-465,caT,0.102
106,0.1005,684,Cat,utztspyqpt
-0.2695,-0.3445,634,614,351
jauvmpmagw,hxwfcrkqtr,sirlwkfctj,-0.0645,tofyxbzvzv
sxjilafkua,dOG,-593,-535,-0.194
