btyfqdmmop,tdytogqvlm,wchskhufiy,PET,lckmobdfyo
-0.052,937,-320,caT,ulbmihnktv
0.152,-0.3415,dOg,dOg,822
qzlijfjbwm,CaT,CAt,CAT,0.0005
dfnoenlsen,352,0.2275,caT,0.44
dOg,CAt,cAT,cat,646
DoG,587,427,dfsnrhtfst,-0.263
0.267,sqdkvixdqq,647,dog,CaT
0.215,dOG,-0.1155,DOG,DoG
bypehdjjqn,jhibvuuzxm,aahjmwvpzb,doG,fkvgfjoupo
0.0855,0.3585,418,CAt,220
biscfrreco,-798,0.148,-624,czykvuhqlg
CAt,-0.3205,uvaqdbbaig,caT,hbkvxlaynh
-0.248,buyoxnhnds,pqqqnyxkkh,caT,fgvgztddga
-338,CAT,ikubwlbbwt,caT,CAt
-655,dnkgvnmxbt,-0.044,-773,anjopakewc
