rnqfbgxcta,scyfvdcapm,nwdxnhrjlu,mmedtsdlfd,hkkdhfhkxb,vzbpcbaypq,zizpxrfmrf
455,0.077,5,760,nnleahdrkm,190,-0.078
cdpbzdrzef,0.33,bwgxheqwsp,992,-99,0.2885,0.0565
0.3175,critdybnsg,eaygfwqalo,824,468,pqunjzrmvs,-178
-195,eglgyxstux,sosjjkrmlz,-178,-941,-0.348,0.1875
dOg,0.405,0.07,-115,uxitoqpxso,-980,DoG
btvvpzhikb,CaT,vxmllccfip,0.065,-874,-333,jggrosvouh
-445,-0.345,ciphwxathm,CAt,0.377,0.456,-0.2405
gaxyjhtpzy,cfqhonmlxz,0.1895,DOG,dOg,-0.2785,-267
-0.0295,zlrowtnlvc,-0.2135,DOg,970,-0.4475,-771
987,-581,0.12,xvlkggubep,-0.486,0.348,-833
22,-892,-0.291,-0.015,0.1005,heikkuznox,-65
zyttbotjjn,745,-685,403,kiegdjvkjm,-169,632
-0.0465,977,-574,937,-0.082,-0.368,-0.0185
0.247,-0.283,CAT,-0.086,842,-0.4375,-0.315
xlsdswrmrd,-0.1295,lgmxbluuid,wlypumtazw,cmoajqmtsx,976,dmglwhybur
mxejgggetq,dheqljcnpa,hpctwfjzea,dOg,-58,119,effawygoql
ybercuhhci,gzbkhjjkfw,xnquakazyk,nyxwypwqnk,0.173,-0.029,12
cAT,-584,-0.348,-111,cat,wyyizxymuu,0.151
Cat,awsgjbbupp,-0.471,0.3515,-592,zkbeaswxsi,83
buxmxvztci,tjizqtzfdb,skfuwqmjem,0.349,-190,0.1855,ftndgpjplv
-0.471,0.3185,-970,CAt,0.492,0.227,Dog
aqutposljw,cAT,-897,130,mnihzdoqsx,cAt,mtetlmilkw
0.248,xbhebysvpv,577,-0.287,500,Dog,0.2525
ptulbahlkk,ojwaqxuufe,ckxibdetdc,DoG,dog,0.1515,dobdvodrvy
-0.4945,849,701,cAT,fovrticqzc,-649,0.3265
-916,0.4185,vgaxifkrqy,xtxutcdlmg,xjezortmbk,xramqstiqe,577
zgzyolzlbx,aqcsaxvqwo,dOg,-0.4405,-172,-0.481,ckmbfcsuzk
yhrqpdtkgc,-0.1425,sorpuvpzoy,qaguzykckr,0.13,993,cAT
0.4605,iogljqxhhb,-0.2655,CaT,wzpfrnxgbx,-714,tkqmtdvgwo
DOg,-315,mnpfghikci,caT,91,0.318,956
cAT,0.3745,adnapcrfmn,743,354,peqtnhayvz,CaT
-879,yxonbkyhlg,zsdrtixmcx,uujthmugdf,-0.3515,bpmehwthfe,dnavekvuhe
-836,0.402,DOG,0.393,sgnjdqvcod,0.3515,qvocadbaya
0.4265,-0.478,-804,lehogfghau,665,uwxebgpqij,0.3175
122,-844,-0.4415,agwiztwwzm,-0.005,hfgqdpqeid,351
-0.0195,-0.205,mwpmekgcgh,CAt,-642,DoG,orkdbokkkd
-0.2205,dOg,Dog,-334,CaT,-736,0.2205
292,dog,edxizftcgo,axclvipnyn,dOG,349,0.3895
-0.0355,92,-0.384,zqmcspadma,-929,0.188,0.253
xmvgefdnjr,gauihbxkmf,ozhlqpocbp,caT,fouspntxkn,woqoycwppk,0.2325
CAT,Cat,715,caT,676,0.2045,-0.074
52,0.301,yocissmfgt,xufyosgdpx,0.164,dvddnnbdnl,-0.2525
507,-0.187,-0.0785,-192,-194,dOg,305
nuplhrceoq,cqyibrnynr,furxkmoauc,-0.3035,qkiyvfgqsu,0.0005,wjxoctzewj
